IF2-WT-1-1,IF2-WT-1-2,IF2-WT-2-1,IF2-WT-2-2,IF2-WT-3-1,IF2-DSM5456-1-1,IF2-DSM5456-1-2,IF2-DSM5456-2-1,IF2-DSM5456-2-2,IF2-DSM5456-3-1,IF2-DSM15908-1-1,IF2-DSM15908-1-2,IF2-DSM15908-2-1,IF2-DSM15908-2-2,IF2-DSM15908-3-1,IF2-H-salinum-1-1,IF2-H-salinum-1-2,IF2-H-salinum-2-1,IF2-H-salinum-2-2,IF2-H-salinum-3-1,IF2-G-aggregans-1-1,IF2-G-aggregans-1-2,IF2-G-aggregans-2-1,IF2-G-aggregans-2-2,IF2-G-aggregans-3-1,IF2-T-modestius-1-1,IF2-T-modestius-1-2,IF2-T-modestius-2-1,IF2-T-modestius-2-2,IF2-T-modestius-3-1,IF2-P-aerophilum-1-1,IF2-P-aerophilum-1-2,IF2-P-aerophilum-2-1,IF2-P-aerophilum-2-2,IF2-P-aerophilum-3-1,IF2-S-osmophilus-1-1,IF2-S-osmophilus-1-2,IF2-S-osmophilus-2-1,IF2-S-osmophilus-2-2,IF2-S-osmophilus-3-1,time
0.183,0.18,0.212,0.205,0.177,0.193,0.225,0.213,0.189,0.181,0.219,0.188,0.203,0.188,0.216,0.182,0.201,0.214,0.195,0.176,0.212,0.201,0.215,0.196,0.205,0.2,0.215,0.188,0.206,0.21,0.212,0.209,0.192,0.223,0.215,0.222,0.192,0.203,0.206,0.222,0
0.173,0.178,0.211,0.18,0.177,0.186,0.216,0.209,0.177,0.178,0.212,0.182,0.199,0.176,0.21,0.177,0.192,0.204,0.185,0.173,0.204,0.193,0.209,0.186,0.198,0.19,0.208,0.178,0.199,0.205,0.202,0.198,0.183,0.21,0.207,0.208,0.179,0.193,0.195,0.215,20
0.172,0.179,0.201,0.182,0.181,0.186,0.212,0.207,0.172,0.179,0.21,0.184,0.197,0.174,0.207,0.175,0.189,0.2,0.18,0.172,0.201,0.19,0.21,0.18,0.197,0.188,0.206,0.174,0.195,0.202,0.197,0.194,0.179,0.208,0.206,0.205,0.178,0.191,0.193,0.212,40
0.172,0.178,0.199,0.184,0.185,0.184,0.21,0.208,0.172,0.179,0.211,0.184,0.195,0.173,0.207,0.175,0.188,0.198,0.18,0.171,0.199,0.187,0.205,0.177,0.195,0.186,0.203,0.173,0.193,0.202,0.197,0.192,0.178,0.207,0.205,0.205,0.177,0.187,0.191,0.212,60
0.172,0.178,0.201,0.184,0.185,0.182,0.211,0.208,0.173,0.178,0.211,0.182,0.195,0.172,0.205,0.176,0.188,0.198,0.179,0.17,0.198,0.184,0.203,0.178,0.196,0.186,0.205,0.172,0.192,0.202,0.196,0.193,0.177,0.206,0.203,0.202,0.176,0.186,0.191,0.211,80
0.172,0.178,0.202,0.184,0.187,0.183,0.211,0.208,0.174,0.178,0.212,0.183,0.193,0.172,0.206,0.176,0.188,0.199,0.178,0.17,0.199,0.185,0.204,0.178,0.195,0.186,0.202,0.172,0.191,0.201,0.195,0.192,0.176,0.203,0.203,0.202,0.176,0.186,0.19,0.21,100
0.171,0.177,0.205,0.185,0.188,0.183,0.208,0.208,0.174,0.18,0.212,0.183,0.193,0.173,0.205,0.177,0.189,0.199,0.18,0.171,0.2,0.188,0.205,0.179,0.195,0.187,0.202,0.173,0.191,0.201,0.197,0.193,0.176,0.204,0.204,0.203,0.176,0.186,0.19,0.21,120
0.171,0.177,0.209,0.187,0.192,0.183,0.209,0.21,0.176,0.181,0.212,0.184,0.193,0.174,0.205,0.178,0.19,0.199,0.181,0.172,0.201,0.186,0.205,0.178,0.196,0.188,0.204,0.173,0.193,0.202,0.197,0.192,0.175,0.204,0.203,0.204,0.177,0.187,0.192,0.21,140
0.173,0.18,0.214,0.19,0.193,0.184,0.203,0.21,0.179,0.181,0.206,0.186,0.19,0.177,0.208,0.177,0.196,0.199,0.182,0.173,0.194,0.187,0.206,0.186,0.201,0.185,0.201,0.176,0.192,0.203,0.196,0.198,0.176,0.208,0.202,0.204,0.177,0.189,0.197,0.211,160
0.174,0.179,0.212,0.189,0.194,0.187,0.211,0.208,0.179,0.187,0.21,0.185,0.194,0.179,0.206,0.18,0.194,0.201,0.183,0.173,0.203,0.193,0.209,0.182,0.197,0.19,0.207,0.176,0.194,0.205,0.195,0.195,0.178,0.203,0.204,0.207,0.179,0.187,0.194,0.213,180
0.174,0.179,0.215,0.191,0.196,0.188,0.212,0.212,0.18,0.187,0.21,0.187,0.197,0.18,0.205,0.183,0.194,0.203,0.184,0.175,0.206,0.187,0.211,0.185,0.201,0.19,0.206,0.177,0.195,0.206,0.197,0.195,0.176,0.204,0.205,0.21,0.181,0.188,0.195,0.214,200
0.176,0.183,0.22,0.196,0.2,0.19,0.206,0.213,0.184,0.194,0.207,0.19,0.193,0.183,0.208,0.179,0.198,0.202,0.185,0.177,0.203,0.19,0.213,0.19,0.207,0.188,0.21,0.18,0.196,0.211,0.199,0.198,0.177,0.209,0.205,0.212,0.183,0.191,0.201,0.215,220
0.177,0.185,0.218,0.196,0.201,0.195,0.218,0.21,0.184,0.196,0.214,0.191,0.2,0.184,0.206,0.187,0.199,0.205,0.189,0.178,0.21,0.197,0.216,0.192,0.204,0.193,0.213,0.182,0.199,0.213,0.199,0.196,0.178,0.205,0.206,0.214,0.185,0.191,0.199,0.216,240
0.179,0.187,0.217,0.199,0.202,0.199,0.22,0.212,0.184,0.198,0.214,0.195,0.202,0.187,0.205,0.188,0.199,0.207,0.191,0.179,0.213,0.2,0.222,0.196,0.208,0.194,0.217,0.185,0.202,0.216,0.2,0.196,0.18,0.206,0.208,0.216,0.188,0.194,0.199,0.218,260
0.18,0.185,0.216,0.201,0.205,0.203,0.224,0.212,0.187,0.201,0.217,0.197,0.2,0.19,0.203,0.189,0.201,0.207,0.194,0.18,0.22,0.202,0.226,0.2,0.212,0.197,0.218,0.186,0.203,0.217,0.201,0.197,0.179,0.206,0.209,0.219,0.191,0.195,0.202,0.221,280
0.182,0.191,0.215,0.203,0.209,0.208,0.229,0.212,0.191,0.208,0.22,0.201,0.204,0.192,0.209,0.194,0.205,0.209,0.197,0.183,0.225,0.204,0.231,0.205,0.212,0.199,0.227,0.189,0.208,0.221,0.201,0.198,0.18,0.207,0.21,0.225,0.197,0.199,0.204,0.222,300
0.184,0.192,0.214,0.206,0.214,0.213,0.238,0.213,0.193,0.212,0.226,0.206,0.207,0.198,0.211,0.197,0.205,0.215,0.201,0.185,0.233,0.215,0.239,0.213,0.216,0.2,0.231,0.194,0.211,0.225,0.199,0.201,0.181,0.207,0.21,0.229,0.202,0.201,0.206,0.225,320
0.186,0.194,0.22,0.209,0.219,0.221,0.243,0.215,0.195,0.223,0.228,0.211,0.213,0.203,0.211,0.198,0.208,0.219,0.205,0.187,0.245,0.225,0.247,0.22,0.221,0.205,0.242,0.197,0.214,0.23,0.202,0.2,0.18,0.207,0.212,0.239,0.21,0.204,0.21,0.229,340
0.188,0.196,0.223,0.211,0.225,0.233,0.256,0.217,0.198,0.234,0.242,0.218,0.219,0.211,0.216,0.205,0.213,0.223,0.21,0.191,0.258,0.238,0.262,0.233,0.228,0.209,0.253,0.203,0.22,0.239,0.203,0.2,0.18,0.206,0.213,0.251,0.222,0.21,0.216,0.233,360
0.191,0.197,0.228,0.217,0.234,0.247,0.269,0.219,0.202,0.253,0.247,0.229,0.228,0.221,0.216,0.21,0.218,0.229,0.217,0.195,0.279,0.258,0.28,0.252,0.235,0.216,0.268,0.211,0.23,0.249,0.204,0.202,0.181,0.207,0.214,0.268,0.24,0.218,0.223,0.24,380
0.195,0.201,0.238,0.223,0.245,0.267,0.288,0.224,0.206,0.276,0.265,0.243,0.243,0.236,0.221,0.219,0.226,0.241,0.227,0.2,0.305,0.283,0.304,0.275,0.247,0.225,0.295,0.223,0.242,0.263,0.206,0.203,0.181,0.208,0.216,0.291,0.262,0.231,0.234,0.248,400
0.201,0.208,0.255,0.233,0.265,0.294,0.309,0.231,0.212,0.317,0.283,0.263,0.261,0.257,0.23,0.227,0.239,0.254,0.241,0.208,0.34,0.319,0.342,0.312,0.268,0.236,0.313,0.242,0.258,0.284,0.208,0.21,0.183,0.212,0.217,0.328,0.298,0.248,0.251,0.26,420
0.206,0.213,0.263,0.243,0.283,0.337,0.356,0.235,0.218,0.352,0.313,0.291,0.292,0.281,0.234,0.246,0.251,0.272,0.258,0.218,0.384,0.36,0.38,0.349,0.285,0.255,0.351,0.262,0.279,0.307,0.212,0.209,0.183,0.209,0.222,0.363,0.339,0.27,0.27,0.279,440
