sample,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,group,Fold.doubling,AVERAGE-tgen,Fold.growth,AVERAGE-r
IF2.WT.1.1,1.272973331,0.002340644,0.513910328,12.25280705,1.348770676,15.37860937,15.18983333,0.042139184,,IF2-WT,0.984344151,1.370222675,1.014503886,0.506563193
IF2.WT.1.2,1.231422093,0.001783222,0.53958413,12.11313256,1.284595194,15.0480397,14.89133333,0.036238321,,IF2-WT,0.937508347,1.370222675,1.065186214,0.506563193
IF2.WT.2.1,1.230209742,0.003769161,0.501693302,11.53098702,1.381615376,15.74602579,15.58983333,0.039348422,,IF2-WT,1.008314489,1.370222675,0.99038641,0.506563193
IF2.WT.2.2,1.266353824,0.004040189,0.491660868,11.68368362,1.409807503,16.01582365,15.84616667,0.043253218,,IF2-WT,1.028889339,1.370222675,0.970581508,0.506563193
IF2.WT.3.1,1.264960495,0.005826001,0.485967337,11.0621611,1.426324626,16.77960589,16.62466667,0.040821987,,IF2-WT,1.040943674,1.370222675,0.959341981,0.506563193
IF2.DSM5456.1.1,1.339526456,0.007497533,0.492358515,10.52055432,1.407809878,18.49033829,18.2545,0.053030984,,IF2-DSM5456,1.027431456,1.370222675,0.971958723,0.506563193
IF2.DSM5456.1.2,1.307385893,0.007808199,0.483610041,10.57591834,1.433277065,17.97354097,17.7575,0.051341401,,IF2-DSM5456,1.046017623,1.370222675,0.954688473,0.506563193
IF2.DSM5456.2.1,1.283228225,0.002496724,0.508668154,12.26773722,1.362670683,15.48344496,15.26883333,0.045995321,,IF2-DSM5456,0.994488493,1.370222675,1.004155376,0.506563193
IF2.DSM5456.2.2,1.375063453,0.003060631,0.500270343,12.20421278,1.385545215,16.67854458,16.48766667,0.046526665,,IF2-DSM5456,1.011182519,1.370222675,0.987577365,0.506563193
IF2.DSM5456.3.1,1.351515556,0.00775875,0.498373069,10.34245949,1.390819897,18.89581083,18.66466667,0.052355153,,IF2-DSM5456,1.015032025,1.370222675,0.983831979,0.506563193
IF2.DSM15908.1.1,1.301272365,0.00470091,0.525906942,10.6857736,1.318003482,17.75212639,17.54033333,0.049415207,,IF2-DSM15908,0.961889995,1.370222675,1.03818625,0.506563193
IF2.DSM15908.1.2,1.331293827,0.005914619,0.494799661,10.93781422,1.4008643,17.82494812,17.59733333,0.049399032,,IF2-DSM15908,1.022362515,1.370222675,0.976777759,0.506563193
IF2.DSM15908.2.1,1.290451683,0.004871666,0.512418408,10.88081373,1.352697657,17.35285504,17.14316667,0.047791797,,IF2-DSM15908,0.987210095,1.370222675,1.011558706,0.506563193
IF2.DSM15908.2.2,1.421571654,0.005807858,0.501772188,10.95360141,1.381398168,19.01208743,18.78,0.052827957,,IF2-DSM15908,1.008155968,1.370222675,0.990542136,0.506563193
IF2.DSM15908.3.1,1.269018296,0.002087512,0.536725278,11.93977647,1.291437554,15.72680953,15.52733333,0.046344157,,IF2-DSM15908,0.942501958,1.370222675,1.059542591,0.506563193
IF2.H.salinum.1.1,1.365810342,0.004477758,0.500691322,11.41840618,1.384380257,17.63462126,17.41116667,0.050244671,,IF2-H-salinum,1.010332322,1.370222675,0.988408413,0.506563193
IF2.H.salinum.1.2,1.333164079,0.00380962,0.507933959,11.52693022,1.364640359,17.06944983,16.86183333,0.04777875,,IF2-H-salinum,0.995925979,1.370222675,1.002706012,0.506563193
IF2.H.salinum.2.1,1.352160552,0.004973328,0.490224101,11.42678387,1.41393942,17.44648849,17.2095,0.051654997,,IF2-H-salinum,1.031904847,1.370222675,0.967745204,0.506563193
IF2.H.salinum.2.2,1.350918526,0.004218203,0.510110168,11.30344759,1.358818593,17.59746803,17.39783333,0.045603892,,IF2-H-salinum,0.991677206,1.370222675,1.007002038,0.506563193
IF2.H.salinum.3.1,1.365147371,0.002568222,0.530382805,11.82904267,1.306880944,17.06874149,16.8695,0.046096969,,IF2-H-salinum,0.953772673,1.370222675,1.047021994,0.506563193
IF2.G.aggregans.1.1,1.309234137,0.006918978,0.517206176,10.12677545,1.340175762,18.58792729,18.39166667,0.047228731,,IF2-G-aggregans,0.978071511,1.370222675,1.021010177,0.506563193
IF2.G.aggregans.1.2,1.348249669,0.007688587,0.497988259,10.36391191,1.391894623,18.8213614,18.5905,0.051984943,,IF2-G-aggregans,1.01581637,1.370222675,0.983072331,0.506563193
IF2.G.aggregans.2.1,1.327586654,0.00790555,0.494512238,10.34874352,1.401678516,18.55238292,18.32833333,0.050400017,,IF2-G-aggregans,1.022956737,1.370222675,0.976210362,0.506563193
IF2.G.aggregans.2.2,1.401111538,0.008688733,0.482190336,10.52856733,1.437497041,19.32767474,19.088,0.053390775,,IF2-G-aggregans,1.049097397,1.370222675,0.95188585,0.506563193
IF2.G.aggregans.3.1,1.336815534,0.004278753,0.521061336,11.01823876,1.330260244,17.79408846,17.5865,0.047437603,,IF2-G-aggregans,0.970835083,1.370222675,1.028620601,0.506563193
IF2.T.modestius.1.1,1.331675558,0.002872025,0.549754792,11.16318944,1.26082972,17.53486521,17.34266667,0.044590235,,IF2-T-modestius,0.920164104,1.370222675,1.085263989,0.506563193
