sample,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,group,Fold.doubling,AVERAGE-tgen,Fold.growth,AVERAGE-r
EcoliMG1655_noIPTG_37_1,0.653729102,0.006265328,1.193149427,3.887218005,0.580939122,13.1430345,13.117125,0.019427986,,EcoliMG1655,0.938978907,0.618692409,1.060151735,1.125451563
EcoliMG1655_noIPTG_37_2,0.657553503,0.005272942,1.21784171,3.956085869,0.569160323,13.17559875,13.15175,0.019721779,,EcoliMG1655,0.919940692,0.618692409,1.082091625,1.125451563
EcoliMG1655_noIPTG_37_3,0.636556303,0.009292726,1.01396528,4.154121396,0.683600508,12.62378682,12.601375,0.023134657,,EcoliMG1655,1.104911743,0.618692409,0.900940843,1.125451563
EcoliMG1655_noIPTG_37_4,0.636550829,0.006596725,1.129097852,4.037802097,0.613894694,12.70108067,12.68175,0.02333167,,EcoliMG1655,0.992245396,0.618692409,1.003239846,1.125451563
EcoliMG1655_noIPTG_37_5,0.614008863,0.007491793,1.073203544,4.09421375,0.645867398,12.21530547,12.193875,0.019335539,,EcoliMG1655,1.043923262,0.618692409,0.953575951,1.125451563
SL598R_noIPTG_37_1,0.700122937,0.0033874,1.348995393,3.948377574,0.51382472,14.03608363,14.047375,0.023681332,,SL598R,0.83050109,0.618692409,1.198625901,1.125451563
SL598R_noIPTG_37_2,0.72881581,0.00632853,1.12379388,4.215747987,0.616792094,14.41341966,14.404375,0.021245862,,SL598R,0.996928498,0.618692409,0.998527095,1.125451563
SL598R_noIPTG_37_3,0.683841068,0.00711654,1.09893405,4.144782453,0.630745021,13.57130339,13.556375,0.022505288,,SL598R,1.019480782,0.618692409,0.976438335,1.125451563
SL598R_noIPTG_37_4,0.720551664,0.008327347,1.074643701,4.139835403,0.645001855,14.30248059,14.310875,0.023424171,,SL598R,1.042524275,0.618692409,0.954855577,1.125451563
SL598R_noIPTG_37_5,0.848735419,0.022085099,0.720436052,5.028175142,0.962121729,16.071,15.98275,0.031332919,,SL598R,1.555088951,0.618692409,0.640130661,1.125451563
WTIF2_30m_noIPTG_37_1,0.780668639,0.000855773,0.979621631,6.956567982,0.707566226,13.30439888,13.351,0.021766752,,SL598R-pTrcHisB-WTIF2,1.143647822,0.618692409,0.870425404,1.125451563
WTIF2_30m_noIPTG_37_2,0.803430416,0.000122348,1.225606991,7.171648115,0.5655542,13.52030992,13.588,0.015685973,,SL598R-pTrcHisB-WTIF2,0.914112071,0.618692409,1.088991327,1.125451563
WTIF2_30m_noIPTG_37_3,0.730888915,0.000472672,1.043824187,7.03467873,0.664045908,12.3993123,12.41625,0.019051924,,SL598R-pTrcHisB-WTIF2,1.073305408,0.618692409,0.927471445,1.125451563
WTIF2_30m_noIPTG_37_4,0.669200336,8.21E-05,1.289829051,6.982031364,0.537394611,11.38836665,11.453625,0.01378412,,SL598R-pTrcHisB-WTIF2,0.868597388,0.618692409,1.146054698,1.125451563
WTIF2_30m_noIPTG_37_5,0.706483572,0.000346342,1.074926277,7.088987669,0.644832297,11.94703013,11.97925,0.014759877,,SL598R-pTrcHisB-WTIF2,1.042250216,0.618692409,0.955106655,1.125451563
