IF2-WT-1-1,IF2-WT-1-2,IF2-WT-1-3,IF2-DSM5456-1-1,IF2-DSM5456-1-2,IF2-DSM5456-1-3,IF2-DSM15908-1-1,IF2-DSM15908-1-2,IF2-DSM15908-1-3,IF2-H-salinum-1-1,IF2-H-salinum-1-2,IF2-H-salinum-1-3,IF2-G-aggregans-1-1,IF2-G-aggregans-1-2,IF2-G-aggregans-1-3,IF2-T-modestius-1-1,IF2-T-modestius-1-2,IF2-T-modestius-1-3,IF2-P-aerophilum-1-1,IF2-P-aerophilum-1-2,IF2-P-aerophilum-1-3,IF2-S-osmophilus-1-1,IF2-S-osmophilus-1-2,IF2-S-osmophilus-1-3,time
0.023,0.007,0.016,0.013,0.02,0.009,0.014,0.015,0.007,0.022,0.019,0.021,0.015,0.01,0.023,0.019,0.021,0.014,0.022,0.024,0.012,0.02,0.008,0.017,0
0.022,0.013,0.019,0.015,0.03,0.011,0.029,0.014,0.014,0.021,0.024,0.02,0.015,0.008,0.021,0.019,0.017,0.02,0.022,0.025,0.017,0.018,0.015,0.02,60
0.022,0.02,0.015,0.014,0.019,0.012,0.016,0.015,0.014,0.02,0.016,0.018,0.012,0.008,0.019,0.018,0.014,0.017,0.018,0.02,0.012,0.017,0.015,0.018,120
0.02,0.016,0.015,0.013,0.019,0.011,0.015,0.018,0.021,0.019,0.02,0.021,0.016,0.013,0.018,0.02,0.019,0.019,0.013,0.022,0.012,0.017,0.015,0.024,240
0.02,0.019,0.02,0.025,0.028,0.02,0.021,0.023,0.031,0.023,0.03,0.029,0.031,0.03,0.023,0.036,0.028,0.025,0.017,0.021,0.014,0.025,0.022,0.05,360
0.023,0.032,0.037,0.048,0.046,0.04,0.035,0.046,0.055,0.042,0.059,0.052,0.06,0.053,0.034,0.06,0.059,0.055,0.021,0.022,0.018,0.052,0.04,0.074,480
0.024,0.06,0.061,0.075,0.081,0.078,0.069,0.085,0.086,0.074,0.085,0.081,0.091,0.084,0.045,0.092,0.096,0.095,0.022,0.024,0.018,0.078,0.072,0.103,600
0.028,0.086,0.077,0.092,0.106,0.094,0.089,0.093,0.098,0.094,0.103,0.107,0.121,0.097,0.095,0.105,0.113,0.102,0.027,0.014,0.019,0.097,0.093,0.125,720
0.033,0.096,0.093,0.119,0.121,0.106,0.109,0.114,0.119,0.119,0.118,0.112,0.126,0.101,0.103,0.122,0.129,0.132,0.037,0.02,0.0125,0.101,0.108,0.12,840
0.051,0.104,0.103,0.135,0.137,0.119,0.126,0.121,0.125,0.132,0.129,0.136,0.13,0.136,0.127,0.168,0.152,0.15,0.069,0.018,0.027,0.106,0.111,0.173,960
0.085,0.105,0.117,0.167,0.167,0.175,0.164,0.178,0.175,0.164,0.161,0.16,0.16,0.164,0.147,0.198,0.191,0.187,0.097,0.019,0.039,0.109,0.124,0.207,1080
0.102,0.105,0.117,0.192,0.19,0.236,0.199,0.209,0.211,0.198,0.193,0.194,0.193,0.194,0.192,0.219,0.211,0.237,0.11,0.027,0.073,0.177,0.189,0.252,1200
0.137,0.189,0.216,0.253,0.251,0.248,0.247,0.262,0.205,0.213,0.269,0.264,0.25,0.222,0.211,0.264,0.247,0.26,0.144,0.125,0.15,0.234,0.208,0.258,1560
0.17,0.207,0.24,0.257,0.267,0.243,0.247,0.264,0.206,0.252,0.253,0.258,0.262,0.239,0.255,0.267,0.258,0.26,0.216,0.198,0.183,0.249,0.243,0.262,1920
0.251,0.235,0.256,0.277,0.269,0.266,0.264,0.26,0.26,0.269,0.267,0.268,0.269,0.248,0.278,0.269,0.271,0.26,0.233,0.235,0.21,0.258,0.256,0.269,2160
0.286,0.25,0.254,0.297,0.303,0.308,0.266,0.273,0.26,0.328,0.301,0.268,0.275,0.265,0.279,0.301,0.288,0.26,0.23,0.231,0.21,0.286,0.255,0.286,3160
