sample,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,group,Fold.doubling,AVERAGE-tgen,Fold.growth,AVERAGE-r
IF2.WT.1.1,0.271724335,0.00309251,0.159746459,27.94652704,4.339045676,6.730067644,6.638166667,0.014167076,,IF2-WT,1.030979894,4.208661779,0.961247478,0.166186609
IF2.WT.1.2,0.242822054,0.01161095,0.150455478,19.88217788,4.606991971,7.893309721,7.8145,0.013716442,,IF2-WT,1.094645332,4.208661779,0.905340565,0.166186609
IF2.WT.1.3,0.246076946,0.006035522,0.18835789,19.55399438,3.679947689,8.118375341,8.0315,0.012029634,,IF2-WT,0.874374773,4.208661779,1.133411957,0.166186609
IF2.DSM5456.1.1,0.268299363,0.006736004,0.221081154,16.5514318,3.135261268,9.659250469,9.614166667,0.010150513,,IF2-DSM5456,0.744954437,4.208661779,1.330318706,0.166186609
IF2.DSM5456.1.2,0.26526521,0.007298857,0.212366569,16.78753599,3.263918531,9.483247149,9.3835,0.011665319,,IF2-DSM5456,0.775524075,4.208661779,1.277880153,0.166186609
IF2.DSM5456.1.3,0.266132636,0.004652166,0.254477819,15.83252589,2.723801948,9.784412929,9.807833333,0.018294356,,IF2-DSM5456,0.647189556,4.208661779,1.531277527,0.166186609
IF2.DSM15908.1.1,0.247958006,0.004092131,0.254000357,16.09270369,2.728922068,9.052651938,9.036333333,0.008514981,,IF2-DSM15908,0.648406123,4.208661779,1.52840448,0.166186609
IF2.DSM15908.1.2,0.256304698,0.004699208,0.251308662,15.83896165,2.758150772,9.420338831,9.352333333,0.01133532,,IF2-DSM15908,0.655351016,4.208661779,1.512207656,0.166186609
IF2.DSM15908.1.3,0.2344764,0.008878797,0.225357539,14.35535205,3.075766551,8.943120275,9.047166667,0.016476879,,IF2-DSM15908,0.730818182,4.208661779,1.356051132,0.166186609
IF2.H.salinum.1.1,0.271179982,0.00909913,0.187475521,17.92486933,3.697267667,9.374056513,9.238333333,0.019026308,,IF2-H-salinum,0.878490091,4.208661779,1.12810245,0.166186609
IF2.H.salinum.1.2,0.266972127,0.008077308,0.208609179,16.62133569,3.322707005,9.584475097,9.543166667,0.013539618,,IF2-H-salinum,0.789492523,4.208661779,1.255270689,0.166186609
IF2.H.salinum.1.3,0.252495522,0.005901201,0.231326446,16.13558984,2.996402666,9.1983535,9.158166667,0.010486407,,IF2-H-salinum,0.711960909,4.208661779,1.391968029,0.166186609
IF2.G.aggregans.1.1,0.260980758,0.010128824,0.203644581,15.76019151,3.403710416,9.581848719,9.531833333,0.013318305,,IF2-G-aggregans,0.808739356,4.208661779,1.225397053,0.166186609
IF2.G.aggregans.1.2,0.243776734,0.00797211,0.221185357,15.31319466,3.133784213,9.069546677,9.033666667,0.010497234,,IF2-G-aggregans,0.744603482,4.208661779,1.330945729,0.166186609
IF2.G.aggregans.1.3,0.252101911,0.00486516,0.224997378,17.45907805,3.080690039,8.854472275,8.803666667,0.013108878,,IF2-G-aggregans,0.731988029,4.208661779,1.353883922,0.166186609
IF2.T.modestius.1.1,0.262260091,0.0058224,0.251919636,15.0253198,2.751461499,9.848529811,9.7925,0.010448045,,IF2-T-modestius,0.65376161,4.208661779,1.515884091,0.166186609
IF2.T.modestius.1.2,0.258269323,0.007895464,0.23289042,14.84246054,2.976280349,9.73456671,9.7015,0.011059089,,IF2-T-modestius,0.707179741,4.208661779,1.401378978,0.166186609
IF2.T.modestius.1.3,0.249619601,0.004916813,0.272224433,14.3535386,2.546234271,9.545492944,9.5065,0.010862693,,IF2-T-modestius,0.604998549,4.208661779,1.638064792,0.166186609
IF2.P.aerophilum.1.1,0.222859655,0.002341182,0.205311492,22.13867956,3.3760759,6.794049908,6.689666667,0.01088471,,IF2-P-aerophilum,0.802173251,4.208661779,1.235427412,0.166186609
IF2.P.aerophilum.1.2,0.217708214,1.26388067124352e-05,0.372350544,26.19596263,1.861544695,5.762886402,5.851,0.008045879,,IF2-P-aerophilum,0.442312733,4.208661779,2.240556847,0.166186609
IF2.P.aerophilum.1.3,0.19513798,0.000149111,0.308549076,23.25725232,2.246473041,5.738482707,5.755,0.005979379,,IF2-P-aerophilum,0.533773717,4.208661779,1.856642228,0.166186609
IF2.S.osmophilus.1.1,0.259819048,0.007790344,0.186112074,18.68045397,3.724353643,8.790264131,8.7345,0.015302575,,IF2-S-osmophilus,0.88492586,4.208661779,1.119898139,0.166186609
IF2.S.osmophilus.1.2,0.246850777,0.008545964,0.197742785,16.83040634,3.505296939,8.803269025,8.7795,0.012778649,,IF2-S-osmophilus,0.832876844,4.208661779,1.189883991,0.166186609
IF2.S.osmophilus.1.3,0.25746946,0.007113762,0.256320507,13.8921836,2.704220542,9.955149697,9.941166667,0.013606296,,IF2-S-osmophilus,0.642536912,4.208661779,1.542365591,0.166186609
