sample,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,group,Fold.doubling,AVERAGE-tgen,Fold.growth,AVERAGE-r
IF2.WT.1.1,1.237961034,0.006297843,0.585042809,9.017995741,1.184780275,13.9999746,13.81933333,0.047061177,,IF2-WT,0.970909141,1.220279247,1.027756421,0.56924267
IF2.WT.1.2,1.365725575,0.027314025,0.519316969,7.494148441,1.334728541,17.48501561,17.27316667,0.056396751,,IF2-WT,1.093789429,1.220279247,0.912294521,0.56924267
IF2.WT.2.1,1.256381715,0.006652418,0.589751132,8.877815755,1.175321493,14.38367108,14.20116667,0.046133953,,IF2-WT,0.963157815,1.220279247,1.036027625,0.56924267
IF2.WT.2.2,1.262300118,0.021162374,0.574437578,7.087904982,1.206653615,16.68364326,16.50183333,0.049213999,,IF2-WT,0.988834005,1.220279247,1.009125999,0.56924267
IF2.WT.3.1,1.259404438,0.021137786,0.577664863,7.046309821,1.19991231,16.69784559,16.51933333,0.049631948,,IF2-WT,0.98330961,1.220279247,1.014795435,0.56924267
IF2.DSM5456.1.1,1.396764359,0.049556987,0.530730846,6.222863964,1.306023921,19.61540049,19.40633333,0.065122035,,IF2-DSM5456,1.070266437,1.220279247,0.932345507,0.56924267
IF2.DSM5456.1.2,0.79638408,0.0052242,0.957822225,5.241263209,0.72366997,12.01361261,11.96166667,0.017561187,,IF2-DSM5456,0.593036366,1.220279247,1.682625486,0.56924267
IF2.DSM5456.2.1,1.380620751,0.030813991,0.547072715,6.909041138,1.26701106,18.47852388,18.26833333,0.058340154,,IF2-DSM5456,1.038295999,1.220279247,0.961053596,0.56924267
IF2.DSM5456.2.2,1.399417006,0.069588608,0.336082932,8.778203324,2.062428983,16.04288151,15.8295,0.072434621,,IF2-DSM5456,1.690128705,1.220279247,0.590403619,0.56924267
IF2.DSM5456.3.1,1.284859191,0.034362778,0.545282725,6.591666646,1.271170256,17.59354235,17.40133333,0.055276333,,IF2-DSM5456,1.041704396,1.220279247,0.957909084,0.56924267
IF2.DSM15908.1.1,1.374161003,0.040169619,0.499184972,7.017077819,1.388557789,18.22057864,17.99983333,0.063038404,,IF2-DSM15908,1.137901667,1.220279247,0.876928238,0.56924267
IF2.DSM15908.1.2,1.429344907,0.0422532,0.492006281,7.096016005,1.408817746,18.83782655,18.59966667,0.06795282,,IF2-DSM15908,1.154504389,1.220279247,0.864317289,0.56924267
IF2.DSM15908.2.1,1.414130789,0.046349211,0.493822956,6.854159191,1.403634991,18.96956451,18.74083333,0.066992263,,IF2-DSM15908,1.150257201,1.220279247,0.867508678,0.56924267
IF2.DSM15908.2.2,1.357461395,0.03184621,0.537720368,6.934298521,1.289047658,18.130617,17.9205,0.059081672,,IF2-DSM15908,1.056354651,1.220279247,0.94462414,0.56924267
IF2.DSM15908.3.1,1.0433322,0.041935214,0.487209225,6.512654564,1.42268895,14.33425674,14.11566667,0.084162631,,IF2-DSM15908,1.165871627,1.220279247,0.855890203,0.56924267
IF2.H.salinum.1.1,1.395467993,0.027129111,0.549731746,7.132106663,1.260882577,18.37384285,18.15433333,0.059464375,,IF2-H-salinum,1.033273802,1.220279247,0.965724768,0.56924267
IF2.H.salinum.1.2,1.449327616,0.036833551,0.516805818,7.056234678,1.341213967,19.17360798,18.94033333,0.065567968,,IF2-H-salinum,1.099104135,1.220279247,0.90788313,0.56924267
IF2.H.salinum.2.1,1.442391116,0.037505775,0.520469078,6.96144344,1.33177399,19.21711016,18.9885,0.064497141,,IF2-H-salinum,1.091368221,1.220279247,0.914318453,0.56924267
IF2.H.salinum.2.2,1.368294246,0.026599789,0.555858056,7.053572892,1.246985941,18.123827,17.92283333,0.055990369,,IF2-H-salinum,1.021885723,1.220279247,0.97648698,0.56924267
IF2.H.salinum.3.1,1.312446417,0.025374212,0.569165204,6.898510159,1.217831264,17.58856865,17.39466667,0.054130958,,IF2-H-salinum,0.997993916,1.220279247,0.999863914,0.56924267
IF2.G.aggregans.1.1,1.34648743,0.039036765,0.534640852,6.567643612,1.296472535,18.46283615,18.2565,0.060607021,,IF2-G-aggregans,1.062439223,1.220279247,0.939214292,0.56924267
IF2.G.aggregans.1.2,1.379967871,0.042396832,0.535596529,6.444285503,1.29415921,19.08755445,18.88083333,0.06181309,,IF2-G-aggregans,1.060543489,1.220279247,0.940893149,0.56924267
IF2.G.aggregans.2.1,1.384527047,0.046850979,0.509700157,6.575860645,1.359911647,18.95652901,18.75416667,0.061384249,,IF2-G-aggregans,1.114426596,1.220279247,0.895400475,0.56924267
IF2.G.aggregans.2.2,0.784165357,0.006520499,1.005077023,4.757166757,0.689645833,12.20777566,12.166,0.015885391,,IF2-G-aggregans,0.565154111,1.220279247,1.765638936,0.56924267
IF2.G.aggregans.3.1,1.350177981,0.022438003,0.549048351,7.431909068,1.262451986,17.38007042,17.1625,0.05798129,,IF2-G-aggregans,1.034559908,1.220279247,0.964524234,0.56924267
IF2.T.modestius.1.1,1.412004885,0.034641168,0.541266064,6.804202299,1.280603436,19.04012259,18.8275,0.060606331,,IF2-T-modestius,1.049434741,1.220279247,0.950852934,0.56924267
IF2.T.modestius.1.2,1.419548547,0.0428714,0.484845439,7.155317551,1.42962504,18.62196059,18.385,0.067464571,,IF2-T-modestius,1.171555645,1.220279247,0.851737694,0.56924267
IF2.T.modestius.2.1,1.369722482,0.035347478,0.514481068,7.057579939,1.347274416,18.11736641,17.906,0.061317297,,IF2-T-modestius,1.10407058,1.220279247,0.903799196,0.56924267
IF2.T.modestius.2.2,1.383617354,0.031263476,0.533017738,7.067591137,1.300420475,18.29758876,18.07966667,0.059967907,,IF2-T-modestius,1.065674499,1.220279247,0.936362937,0.56924267
IF2.T.modestius.3.1,1.2970867,0.01151381,0.562356458,8.38509531,1.23257619,15.48011854,15.3395,0.053367237,,IF2-T-modestius,1.010077155,1.220279247,0.987902853,0.56924267
IF2.P.aerophilum.1.1,1.434522273,0.022041276,0.521217075,7.981676601,1.329862765,17.68050981,17.438,0.063074751,,IF2-P-aerophilum,1.089802001,1.220279247,0.915632475,0.56924267
IF2.P.aerophilum.1.2,1.353082594,0.016270474,0.564878357,7.804673175,1.227073354,16.92535511,16.713,0.055491923,,IF2-P-aerophilum,1.005567666,1.220279247,0.992333124,0.56924267
IF2.P.aerophilum.2.1,1.31608984,0.001753789,0.597695718,11.07471303,1.15969909,12.19092218,12.0135,0.046013481,,IF2-P-aerophilum,0.950355497,1.220279247,1.049984039,0.56924267
IF2.P.aerophilum.2.2,0.955661068,0.001692762,0.586196185,10.80571508,1.182449149,9.108391425,8.9145,0.071582462,,IF2-P-aerophilum,0.968998819,1.220279247,1.029782579,0.56924267
IF2.P.aerophilum.3.1,1.366257185,0.004388884,0.586514229,9.782435809,1.181807953,14.41252293,14.20516667,0.052425051,,IF2-P-aerophilum,0.968473368,1.220279247,1.030341294,0.56924267
IF2.S.osmophilus.1.1,1.333979438,0.035711071,0.536938729,6.692245674,1.290924166,18.13115263,17.9385,0.056675604,,IF2-S-osmophilus,1.05789242,1.220279247,0.943251019,0.56924267
IF2.S.osmophilus.1.2,1.316651164,0.027728126,0.569592301,6.740110451,1.2169181,17.84933504,17.66383333,0.052123077,,IF2-S-osmophilus,0.997245592,1.220279247,1.000614203,0.56924267
IF2.S.osmophilus.2.1,1.333937922,0.028587716,0.562890676,6.788617542,1.231406399,18.01762792,17.81883333,0.055962878,,IF2-S-osmophilus,1.009118529,1.220279247,0.988841325,0.56924267
IF2.S.osmophilus.2.2,1.302726792,0.02707169,0.571223251,6.744694956,1.213443568,17.65536172,17.477,0.052060271,,IF2-S-osmophilus,0.994398267,1.220279247,1.003479327,0.56924267
