IF2-WT-1-1,IF2-WT-1-2,IF2-WT-2-1,IF2-WT-2-2,IF2-WT-3-1,IF2-DSM5456-1-1,IF2-DSM5456-1-2,IF2-DSM5456-2-1,IF2-DSM5456-2-2,IF2-DSM5456-3-1,IF2-DSM15908-1-1,IF2-DSM15908-1-2,IF2-DSM15908-2-1,IF2-DSM15908-2-2,IF2-DSM15908-3-1,IF2-H-salinum-1-1,IF2-H-salinum-1-2,IF2-H-salinum-2-1,IF2-H-salinum-2-2,IF2-H-salinum-3-1,IF2-G-aggregans-1-1,IF2-G-aggregans-1-2,IF2-G-aggregans-2-1,IF2-G-aggregans-2-2,IF2-G-aggregans-3-1,IF2-T-modestius-1-1,IF2-T-modestius-1-2,IF2-T-modestius-2-1,IF2-T-modestius-2-2,IF2-T-modestius-3-1,IF2-P-aerophilum-1-1,IF2-P-aerophilum-1-2,IF2-P-aerophilum-2-1,IF2-P-aerophilum-2-2,IF2-P-aerophilum-3-1,IF2-S-osmophilus-1-1,IF2-S-osmophilus-1-2,IF2-S-osmophilus-2-1,IF2-S-osmophilus-2-2,IF2-S-osmophilus-3-1,time
0.23,0.223,0.212,0.202,0.196,0.21,0.209,0.214,0.206,0.215,0.206,0.225,0.176,0.212,0.202,0.189,0.177,0.188,0.195,0.194,0.2,0.206,0.185,0.187,0.197,0.191,0.2,0.188,0.205,0.225,0.204,0.19,0.215,0.197,0.202,0.227,0.219,0.266,0.207,0.219,0
0.198,0.225,0.205,0.193,0.189,0.199,0.2,0.197,0.196,0.216,0.198,0.206,0.171,0.207,0.192,0.184,0.171,0.181,0.186,0.189,0.194,0.197,0.179,0.181,0.193,0.183,0.19,0.181,0.193,0.217,0.192,0.182,0.205,0.184,0.186,0.212,0.204,0.225,0.194,0.205,20
0.195,0.226,0.204,0.19,0.187,0.198,0.202,0.196,0.19,0.215,0.196,0.196,0.167,0.208,0.194,0.182,0.175,0.18,0.179,0.191,0.194,0.198,0.179,0.181,0.192,0.183,0.19,0.179,0.191,0.215,0.188,0.181,0.206,0.182,0.184,0.207,0.202,0.222,0.194,0.203,40
0.193,0.227,0.204,0.188,0.187,0.199,0.201,0.196,0.185,0.215,0.193,0.2,0.168,0.209,0.193,0.18,0.176,0.181,0.178,0.193,0.198,0.2,0.177,0.185,0.192,0.184,0.189,0.177,0.191,0.214,0.187,0.184,0.206,0.18,0.184,0.207,0.205,0.221,0.194,0.204,60
0.191,0.225,0.204,0.188,0.186,0.201,0.207,0.195,0.186,0.216,0.196,0.204,0.17,0.211,0.197,0.181,0.175,0.184,0.178,0.195,0.207,0.202,0.182,0.193,0.192,0.186,0.19,0.178,0.193,0.216,0.191,0.184,0.204,0.179,0.184,0.208,0.204,0.22,0.195,0.207,80
0.194,0.227,0.206,0.192,0.185,0.202,0.212,0.2,0.192,0.217,0.194,0.203,0.174,0.219,0.199,0.179,0.177,0.19,0.179,0.199,0.22,0.206,0.188,0.203,0.193,0.19,0.192,0.181,0.197,0.216,0.19,0.187,0.197,0.179,0.187,0.21,0.209,0.216,0.198,0.21,100
0.189,0.221,0.205,0.191,0.19,0.212,0.208,0.199,0.195,0.221,0.199,0.211,0.179,0.222,0.205,0.184,0.175,0.188,0.183,0.2,0.242,0.217,0.191,0.221,0.197,0.194,0.194,0.184,0.201,0.218,0.192,0.185,0.205,0.178,0.181,0.215,0.212,0.225,0.202,0.217,120
0.19,0.225,0.205,0.198,0.194,0.223,0.221,0.208,0.206,0.234,0.206,0.219,0.191,0.237,0.216,0.189,0.181,0.196,0.192,0.209,0.278,0.226,0.208,0.251,0.204,0.203,0.201,0.193,0.209,0.217,0.197,0.188,0.205,0.178,0.183,0.223,0.221,0.232,0.211,0.231,140
0.196,0.235,0.208,0.208,0.196,0.237,0.237,0.223,0.225,0.249,0.212,0.224,0.211,0.261,0.23,0.197,0.192,0.21,0.2,0.215,0.334,0.249,0.235,0.298,0.209,0.221,0.211,0.208,0.226,0.22,0.201,0.19,0.199,0.178,0.186,0.234,0.226,0.24,0.225,0.248,160
0.192,0.237,0.206,0.219,0.209,0.273,0.258,0.235,0.251,0.275,0.229,0.248,0.242,0.298,0.254,0.212,0.207,0.224,0.218,0.237,0.399,0.285,0.266,0.365,0.225,0.246,0.229,0.229,0.251,0.223,0.21,0.195,0.205,0.178,0.184,0.252,0.237,0.265,0.246,0.281,180
0.195,0.251,0.21,0.24,0.226,0.318,0.294,0.266,0.295,0.319,0.253,0.282,0.293,0.354,0.29,0.237,0.236,0.256,0.246,0.264,0.477,0.339,0.316,0.459,0.246,0.287,0.26,0.267,0.291,0.231,0.224,0.203,0.207,0.18,0.187,0.277,0.261,0.295,0.282,0.324,200
0.202,0.272,0.213,0.274,0.247,0.377,0.34,0.307,0.351,0.379,0.289,0.328,0.359,0.435,0.331,0.275,0.277,0.303,0.288,0.308,0.545,0.411,0.388,0.538,0.278,0.344,0.3,0.314,0.345,0.233,0.242,0.216,0.206,0.18,0.188,0.316,0.293,0.332,0.327,0.384,220
0.2,0.293,0.214,0.319,0.288,0.462,0.405,0.362,0.43,0.459,0.343,0.403,0.445,0.512,0.385,0.325,0.331,0.361,0.353,0.369,0.626,0.485,0.468,0.629,0.329,0.423,0.361,0.383,0.423,0.25,0.271,0.233,0.212,0.18,0.189,0.367,0.334,0.391,0.393,0.461,240
0.202,0.329,0.218,0.38,0.338,0.532,0.478,0.432,0.501,0.534,0.409,0.49,0.515,0.594,0.462,0.396,0.402,0.445,0.438,0.453,0.71,0.556,0.56,0.716,0.397,0.505,0.439,0.461,0.5,0.267,0.305,0.259,0.213,0.181,0.189,0.441,0.391,0.467,0.472,0.538,260
0.208,0.376,0.224,0.452,0.405,0.609,0.549,0.495,0.577,0.614,0.48,0.572,0.589,0.68,0.538,0.473,0.472,0.515,0.515,0.529,0.792,0.632,0.632,0.802,0.479,0.59,0.509,0.537,0.576,0.289,0.349,0.286,0.212,0.181,0.191,0.515,0.469,0.541,0.55,0.619,280
0.214,0.443,0.231,0.525,0.472,0.682,0.618,0.564,0.653,0.697,0.551,0.654,0.665,0.761,0.608,0.55,0.545,0.59,0.602,0.613,0.868,0.707,0.714,0.887,0.544,0.686,0.585,0.616,0.67,0.326,0.413,0.331,0.211,0.182,0.193,0.597,0.544,0.619,0.641,0.706,300
0.224,0.504,0.241,0.596,0.546,0.75,0.692,0.628,0.728,0.773,0.614,0.74,0.737,0.838,0.685,0.635,0.618,0.671,0.686,0.699,0.944,0.773,0.796,0.966,0.627,0.775,0.669,0.696,0.751,0.372,0.477,0.385,0.209,0.183,0.195,0.696,0.621,0.711,0.734,0.795,320
0.238,0.572,0.252,0.672,0.622,0.816,0.76,0.692,0.796,0.847,0.687,0.82,0.806,0.909,0.759,0.722,0.693,0.745,0.762,0.78,1.016,0.841,0.873,1.041,0.715,0.865,0.75,0.773,0.833,0.443,0.546,0.449,0.213,0.184,0.199,0.79,0.712,0.801,0.826,0.883,340
0.258,0.644,0.27,0.744,0.697,0.873,0.824,0.746,0.864,0.919,0.754,0.89,0.871,0.979,0.821,0.798,0.756,0.808,0.829,0.853,1.061,0.9,0.944,1.075,0.791,0.943,0.82,0.842,0.899,0.512,0.625,0.517,0.212,0.183,0.203,0.881,0.789,0.876,0.905,0.955,360
0.282,0.711,0.291,0.811,0.764,0.93,0.891,0.807,0.93,0.986,0.816,0.959,0.934,1.034,0.885,0.871,0.824,0.873,0.9,0.927,1.103,0.96,1.01,1.122,0.863,1.022,0.892,0.909,0.965,0.592,0.708,0.583,0.212,0.184,0.205,0.963,0.867,0.951,0.986,1.028,380
0.318,0.774,0.32,0.877,0.828,0.984,0.951,0.856,0.989,1.045,0.865,1.02,0.992,1.074,0.941,0.94,0.882,0.935,0.963,0.997,1.143,1.019,1.07,1.159,0.933,1.072,0.957,0.97,1.017,0.679,0.787,0.657,0.212,0.184,0.21,1.038,0.937,1.017,1.058,1.068,400
0.366,0.835,0.364,0.942,0.892,1.033,1.004,0.905,1.042,1.087,0.921,1.081,1.047,1.114,1.004,1.005,0.938,0.992,1.028,1.049,1.187,1.07,1.116,1.192,0.984,1.119,1.016,1.029,1.06,0.762,0.864,0.732,0.212,0.185,0.217,1.11,1.007,1.079,1.104,1.113,420
0.432,0.898,0.424,0.999,0.954,1.08,1.051,0.951,1.09,1.118,0.963,1.128,1.094,1.152,1.052,1.054,0.988,1.045,1.074,1.091,1.22,1.106,1.136,1.226,1.018,1.158,1.073,1.081,1.092,0.843,0.932,0.798,0.212,0.185,0.228,1.159,1.064,1.126,1.149,1.151,440
0.496,0.955,0.479,1.054,1.011,1.118,1.095,1,1.132,1.155,1.005,1.172,1.138,1.191,1.099,1.095,1.037,1.095,1.116,1.136,1.267,1.146,1.164,1.263,1.06,1.202,1.122,1.129,1.126,0.919,0.999,0.867,0.212,0.183,0.245,1.205,1.12,1.166,1.196,1.194,460
0.569,1.012,0.549,1.104,1.06,1.15,1.132,1.037,1.161,1.191,1.042,1.21,1.176,1.225,1.138,1.131,1.077,1.139,1.156,1.178,1.315,1.181,1.192,1.304,1.088,1.242,1.161,1.17,1.162,0.995,1.056,0.928,0.214,0.185,0.271,1.246,1.173,1.204,1.237,1.242,480
0.64,1.065,0.623,1.147,1.1,1.175,1.165,1.072,1.192,1.222,1.078,1.244,1.21,1.267,1.171,1.161,1.118,1.178,1.188,1.214,1.35,1.219,1.216,1.337,1.127,1.283,1.206,1.205,1.192,1.053,1.113,0.981,0.219,0.184,0.307,1.289,1.222,1.241,1.281,1.276,500
