sample,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,group,Fold.doubling,AVERAGE-tgen,Fold.growth,AVERAGE-r
IF2.WT.1.1,1.421358944,0.005611892,0.525243937,10.52944037,1.319667171,19.61150155,19.39033333,0.049396233,,IF2-WT,0.865324249,1.525055114,1.134475379,0.462983989
IF2.WT.1.2,1.433994432,0.008020264,0.489960298,10.57358974,1.414700708,19.71843385,19.54583333,0.044904863,,IF2-WT,0.92763907,1.525055114,1.05826618,0.462983989
IF2.WT.2.1,1.450239107,0.011106385,0.478642942,10.16263978,1.448150845,20.5310323,20.39433333,0.043054541,,IF2-WT,0.949572794,1.525055114,1.033821801,0.462983989
IF2.WT.2.2,1.501110822,0.012797566,0.467365088,10.17650627,1.483095761,21.22776187,21.08166667,0.046027532,,IF2-WT,0.972486664,1.525055114,1.009462743,0.462983989
IF2.WT.3.1,1.964392852,0.02754573,0.353707682,12.02396617,1.959661084,24.17295003,23.96033333,0.043118919,,IF2-WT,1.284977223,1.525055114,0.763973896,0.462983989
IF2.DSM5456.1.1,1.637565992,0.018171932,0.401337762,11.18740752,1.727091856,21.50259907,21.17683333,0.065221607,,IF2-DSM5456,1.132478322,1.525055114,0.866850196,0.462983989
IF2.DSM5456.1.2,1.79829952,0.029156561,0.351425876,11.68260736,1.972385156,22.72581182,22.4205,0.071291074,,IF2-DSM5456,1.293320575,1.525055114,0.759045418,0.462983989
IF2.DSM5456.2.1,1.587056335,0.005161502,0.434091947,13.18879798,1.596775027,17.70395503,17.4025,0.06480106,,IF2-DSM5456,1.047027752,1.525055114,0.937596022,0.462983989
IF2.DSM5456.2.2,1.026705029,0.005522913,0.438075564,11.91532028,1.582254839,12.74714324,12.86216667,0.037143582,,IF2-DSM5456,1.037506661,1.525055114,0.946200244,0.462983989
IF2.DSM5456.3.1,1.791052636,0.036189165,0.381203814,10.18191953,1.818311242,25.27130882,25.00433333,0.062342888,,IF2-DSM5456,1.192292151,1.525055114,0.823362843,0.462983989
IF2.DSM15908.1.1,1.429230655,0.007831575,0.492197853,10.56736291,1.408269411,19.66210395,19.44633333,0.042884839,,IF2-DSM15908,0.923421979,1.525055114,1.063099079,0.462983989
IF2.DSM15908.1.2,1.646292113,0.020490399,0.38822009,11.26628947,1.785449023,21.48554129,21.20233333,0.074127208,,IF2-DSM15908,1.170743934,1.525055114,0.838517311,0.462983989
IF2.DSM15908.2.1,1.018941755,0.010447066,0.548107031,8.337592141,1.264620123,16.27985944,16.1925,0.047432401,,IF2-DSM15908,0.829229128,1.525055114,1.183857419,0.462983989
IF2.DSM15908.2.2,1.026259209,0.014208771,0.512895186,8.317243612,1.351440215,16.40930446,16.33783333,0.04271459,,IF2-DSM15908,0.886158279,1.525055114,1.107803288,0.462983989
IF2.DSM15908.3.1,1.44563351,0.004299064,0.460961343,12.61478302,1.503699153,16.94549617,16.83716667,0.041867693,,IF2-DSM15908,0.985996597,1.525055114,0.995631281,0.462983989
IF2.H.salinum.1.1,1.689047761,0.030478134,0.380904059,10.49267191,1.819742174,23.31949761,23.0445,0.076861361,,IF2-H-salinum,1.193230433,1.525055114,0.822715402,0.462983989
IF2.H.salinum.1.2,1.747954477,0.020963128,0.414217089,10.649901,1.673391078,23.88165678,23.545,0.071408443,,IF2-H-salinum,1.097265969,1.525055114,0.894668278,0.462983989
IF2.H.salinum.2.1,1.785126708,0.025833317,0.387478916,10.89350247,1.788864251,23.94979613,23.5615,0.082779356,,IF2-H-salinum,1.172983347,1.525055114,0.836916448,0.462983989
IF2.H.salinum.2.2,0.983177423,0.002930481,0.670404537,8.670344157,1.033923762,15.39515995,15.3025,0.028995382,,IF2-H-salinum,0.677958293,1.525055114,1.448008034,0.462983989
IF2.H.salinum.3.1,1.65160337,0.014513839,0.40674649,11.61798011,1.704125782,20.98785258,20.7325,0.064801385,,IF2-H-salinum,1.117419145,1.525055114,0.878532518,0.462983989
IF2.G.aggregans.1.1,1.716575738,0.032591421,0.39379598,10.01754461,1.760168251,24.50607594,24.21916667,0.072051503,,IF2-G-aggregans,1.154166978,1.525055114,0.850560686,0.462983989
IF2.G.aggregans.1.2,1.674806542,0.022890071,0.424061322,10.09049381,1.634544687,23.80904651,23.47766667,0.073569081,,IF2-G-aggregans,1.071793847,1.525055114,0.915930856,0.462983989
IF2.G.aggregans.2.1,1.52428606,0.01739495,0.491994488,9.068443039,1.408851516,23.23419584,22.99866667,0.05286329,,IF2-G-aggregans,0.923803673,1.525055114,1.062659831,0.462983989
IF2.G.aggregans.2.2,1.822669249,0.049938733,0.327057759,10.91391136,2.1193418,24.37310285,23.95116667,0.097150044,,IF2-G-aggregans,1.389682105,1.525055114,0.706412677,0.462983989
IF2.G.aggregans.3.1,1.420717951,0.011498214,0.497153206,9.672269444,1.394232547,20.80796602,20.664,0.046273956,,IF2-G-aggregans,0.91421781,1.525055114,1.073802156,0.462983989
IF2.T.modestius.1.1,1.645964539,0.019446493,0.432424893,10.23652934,1.602930801,23.16616429,22.90333333,0.060709104,,IF2-T-modestius,1.051064179,1.525055114,0.93399535,0.462983989
IF2.T.modestius.1.2,1.628952237,0.018384864,0.436272575,10.25233849,1.588793843,22.90289979,22.60166667,0.066721732,,IF2-T-modestius,1.041794378,1.525055114,0.942305964,0.462983989
IF2.T.modestius.2.1,1.047437155,0.008489111,0.553289805,8.688357596,1.252774178,16.37205284,16.3195,0.037546934,,IF2-T-modestius,0.821461576,1.525055114,1.195051703,0.462983989
IF2.T.modestius.2.2,1.890684708,0.029839919,0.37946967,10.8913547,1.82662077,25.36554005,25.001,0.079736459,,IF2-T-modestius,1.197740825,1.525055114,0.819617262,0.462983989
IF2.T.modestius.3.1,1.732229791,0.042049045,0.33686418,10.96511382,2.057645848,23.08708842,22.66783333,0.100259591,,IF2-T-modestius,1.349227204,1.525055114,0.727593583,0.462983989
IF2.P.aerophilum.1.1,1.404230403,0.004536048,0.490274078,11.69132402,1.413795287,17.74884488,17.758,0.04150202,,IF2-P-aerophilum,0.927045373,1.525055114,1.058943914,0.462983989
IF2.P.aerophilum.1.2,1.397668144,0.002487451,0.546528881,11.58131091,1.268271824,17.82094355,17.76966667,0.035593275,,IF2-P-aerophilum,0.8316236,1.525055114,1.18044877,0.462983989
IF2.P.aerophilum.2.1,1.614494842,0.000513641,0.480846795,16.74689354,1.441513571,12.33353024,12.23533333,0.036474255,,IF2-P-aerophilum,0.94522064,1.525055114,1.038581908,0.462983989
IF2.P.aerophilum.2.2,1.622456679,0.000695629,0.461713747,16.79440303,1.501248738,12.33661677,12.39333333,0.037923307,,IF2-P-aerophilum,0.984389826,1.525055114,0.997256402,0.462983989
IF2.P.aerophilum.3.1,1.636009725,0.002613161,0.540441936,11.91220693,1.282556245,20.31992069,20.39216667,0.041028126,,IF2-P-aerophilum,0.840990095,1.525055114,1.167301566,0.462983989
IF2.S.osmophilus.1.1,1.430476604,0.00913746,0.540312696,9.340835983,1.282863028,21.430254,21.22416667,0.045802513,,IF2-S-osmophilus,0.841191257,1.525055114,1.16702242,0.462983989
IF2.S.osmophilus.1.2,1.389136649,0.009148573,0.529000357,9.482474261,1.310296243,20.61353838,20.42816667,0.044123681,,IF2-S-osmophilus,0.8591796,1.525055114,1.142588878,0.462983989
IF2.S.osmophilus.2.1,1.406679976,0.009990113,0.516431752,9.566151642,1.342185444,20.75461279,20.55183333,0.046609407,,IF2-S-osmophilus,0.880089796,1.525055114,1.115441925,0.462983989
IF2.S.osmophilus.2.2,1.693361192,0.017759477,0.428190888,10.6191151,1.61878078,23.19255253,22.89416667,0.058237161,,IF2-S-osmophilus,1.061457232,1.525055114,0.924850315,0.462983989
IF2.S.osmophilus.3.1,1.697041462,0.01338671,0.476261786,10.15084541,1.455391132,24.04420138,23.90683333,0.043279012,,IF2-S-osmophilus,0.954320351,1.525055114,1.028678739,0.462983989
