sample,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,group,Fold.doubling,AVERAGE-tgen,Fold.growth,AVERAGE-r
WT,0.391906937,0.00086296,3.484026459,1.755499517,0.198950033,0.240311026,0.240333333,0.010170701,,WT,0.919570631,0.216351008,1.075467421,3.239546256
WT,0.378013635,0.000763437,3.54196695,1.751239661,0.195695553,0.232605257,0.233,0.008392255,,WT,0.904528038,0.216351008,1.093352794,3.239546256
WT,0.343788706,0.000513006,3.782342477,1.720098268,0.183258704,0.219212177,0.219333333,0.006652986,,WT,0.847043448,0.216351008,1.167553163,3.239546256
WT,0.355095511,0.000854937,3.45523711,1.744222982,0.200607703,0.221558787,0.221666667,0.007097872,,WT,0.927232578,0.216351008,1.066580575,3.239546256
WT,0.467074772,0.005365762,2.890133533,1.541415409,0.239832234,0.383625213,0.376,0.015678313,,WT,1.108533009,0.216351008,0.892141462,3.239546256
WT,0.511300745,0.005050407,2.939130905,1.567661539,0.235834062,0.407187147,0.400333333,0.014963583,,WT,1.090052984,0.216351008,0.907266226,3.239546256
WT,0.492419768,0.006156309,2.814766496,1.552268449,0.246253883,0.400820226,0.3935,0.014182423,,WT,1.138214632,0.216351008,0.868876773,3.239546256
WT,0.484439811,0.006054118,3.008766121,1.452315808,0.230375893,0.435758531,0.428,0.015290511,,WT,1.06482468,0.216351008,0.928761587,3.239546256
dN,0.375646778,0.001706085,3.071695437,1.75469745,0.22565622,0.235910099,0.234833333,0.005393081,,dN,1.043009792,0.216351008,0.948186935,3.239546256
dN,0.373056271,0.001301405,3.145190497,1.797916507,0.220383211,0.219522841,0.218166667,0.004904199,,dN,1.01863732,0.216351008,0.970873773,3.239546256
dN,0.348017977,0.001301127,3.237959833,1.724937254,0.21406911,0.225362464,0.223666667,0.004278198,,dN,0.989452796,0.216351008,0.999510295,3.239546256
dN,0.349029522,0.001288898,3.211006185,1.743275716,0.215866037,0.22077186,0.219833333,0.003017796,,dN,0.997758406,0.216351008,0.991190102,3.239546256
dN,0.364969655,0.001569158,3.144307575,1.731690173,0.220445095,0.235385455,0.2345,0.003363299,,dN,1.018923355,0.216351008,0.970601228,3.239546256
dN,0.402898666,0.001982637,2.966435296,1.789799409,0.23366334,0.243015817,0.242333333,0.004687005,,dN,1.08001965,0.216351008,0.915694687,3.239546256
dN,0.39841869,0.002096375,2.970466095,1.764712294,0.233346269,0.248573732,0.248,0.004183985,,dN,1.07855411,0.216351008,0.916938935,3.239546256
dN,0.390268237,0.002369961,2.917512133,1.747334528,0.237581593,0.250127477,0.248833333,0.004687185,,dN,1.098130279,0.216351008,0.900592831,3.239546256
dG,0.164503909,0.00159932,2.324549543,1.989024642,0.298185592,0.082202874,0.0825,0.005937123,,dG,1.378249145,0.216351008,0.717554052,3.239546256
dG,0.147444599,0.000645531,2.743492876,1.978042773,0.252651351,0.069354136,0.069333333,0.004421744,,dG,1.167784487,0.216351008,0.846875661,3.239546256
dG,0.163147666,0.000998901,2.5937561,1.962256232,0.267236839,0.080501671,0.080333333,0.005073476,,dG,1.235200341,0.216351008,0.800654133,3.239546256
dG,0.14908637,0.000719295,2.8204462,1.889478746,0.245757987,0.079211805,0.079333333,0.004062899,,dG,1.135922541,0.216351008,0.870630013,3.239546256
dG,0.38360391,0.001160328,2.981709169,1.944481515,0.232466395,0.183873988,0.184333333,0.002285179,,dG,1.074487228,0.216351008,0.920409506,3.239546256
dG,0.382338566,0.001249833,2.911380542,1.964711213,0.238081958,0.179130784,0.18,0.002201333,,dG,1.100443026,0.216351008,0.898700099,3.239546256
dG,0.366741348,0.001297062,2.918608175,1.932774731,0.237492373,0.180449573,0.180833333,0.001933565,,dG,1.097717894,0.216351008,0.900931163,3.239546256
dG,0.360423208,0.001733769,2.794077746,1.90837896,0.24807727,0.186883027,0.187,0.003026724,,dG,1.146642542,0.216351008,0.862490462,3.239546256
N-Gs,0.328080246,0.000974457,2.978011936,1.953034092,0.232755004,0.155211695,0.156833333,0.00306687,,N-Gs,1.075821213,0.216351008,0.919268225,3.239546256
N-Gs,0.300872814,0.000547144,3.239172551,1.947383448,0.213988965,0.139350095,0.14,0.002512394,,N-Gs,0.989082357,0.216351008,0.999884643,3.239546256
N-Gs,0.299092693,0.000507964,3.239206632,1.968506399,0.213986713,0.133663162,0.134666667,0.003790099,,N-Gs,0.989071948,0.216351008,0.999895163,3.239546256
N-Gs,0.307284226,0.000435327,3.334085474,1.966959971,0.207897244,0.13626006,0.136,0.002795631,,N-Gs,0.9609257,0.216351008,1.029182858,3.239546256
N-Gs,0.184874227,0.000135201,3.459523666,2.086974988,0.200359138,0.064486869,0.065333333,0.003646056,,N-Gs,0.926083681,0.216351008,1.067903772,3.239546256
N-Gs,0.182164399,0.000128811,3.507799585,2.067853236,0.197601705,0.065576921,0.0665,0.004197098,,N-Gs,0.913338499,0.216351008,1.082805834,3.239546256
N-Gs,0.204735266,0.000190715,3.297522546,2.116062099,0.210202408,0.069120903,0.071,0.005976481,,N-Gs,0.971580442,0.216351008,1.017896423,3.239546256
N-Gs,0.216022748,0.000273647,3.100906093,2.150994417,0.223530529,0.070641661,0.073833333,0.006957885,,N-Gs,1.033184596,0.216351008,0.957203833,3.239546256
NG-Gs,0.34190961,0.000582619,3.335980471,1.910401889,0.207779148,0.166800591,0.168666667,0.004939825,,NG-Gs,0.960379847,0.216351008,1.029767815,3.239546256
NG-Gs,0.336523988,0.000370747,3.509028177,1.940651638,0.197532521,0.153602032,0.155666667,0.004046839,,NG-Gs,0.913018722,0.216351008,1.083185082,3.239546256
NG-Gs,0.321426303,0.000284653,3.602665488,1.950879906,0.192398429,0.142911352,0.1445,0.003903432,,NG-Gs,0.889288341,0.216351008,1.112089534,3.239546256
NG-Gs,0.344929083,0.000476576,3.333267495,1.974964243,0.207948261,0.150844578,0.152166667,0.004277839,,NG-Gs,0.961161507,0.216351008,1.02893036,3.239546256
NG-Gs,0.341959413,0.000407281,3.384473376,1.98900995,0.204802078,0.145046829,0.147,0.004278585,,NG-Gs,0.946619476,0.216351008,1.044736858,3.239546256
NG-Gs,0.329706687,0.000446254,3.332217967,1.981778148,0.208013758,0.142487499,0.143166667,0.003104324,,NG-Gs,0.961464242,0.216351008,1.028606386,3.239546256
NG-Gs,0.341762533,0.000420468,3.42123102,1.958146387,0.202601688,0.152530413,0.1535,0.003796097,,NG-Gs,0.936449013,0.216351008,1.056083398,3.239546256
NG-Gs,0.348354493,0.000629811,3.236119244,1.951024238,0.214190865,0.160411825,0.162166667,0.003171908,,NG-Gs,0.990015562,0.216351008,0.998942132,3.239546256
