sample,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,group,Fold.doubling,AVERAGE-tgen,Fold.growth,AVERAGE-r
EcoliMG1655_noIPTG_25_1,0.679518105,0.005235567,0.977796979,4.968489508,0.708886605,12.92688076,12.898375,0.028685242,,WT-25,0.819677623,0.864835863,1.200881001,0.814233033
EcoliMG1655_noIPTG_25_2,0.674171277,0.006764196,0.885694657,5.184356351,0.78260287,12.67729081,12.637,0.03242737,,WT-25,0.904914913,0.864835863,1.087765567,0.814233033
EcoliMG1655_noIPTG_25_3,0.647437415,0.013250927,0.714015766,5.417633179,0.970772934,12.01217026,11.952625,0.02981106,,WT-25,1.122493846,0.864835863,0.876918201,0.814233033
EcoliMG1655_noIPTG_25_4,0.668144464,0.014137778,0.70559445,5.434094675,0.982359173,12.38445709,12.324,0.031349478,,WT-25,1.135890884,0.864835863,0.866575564,0.814233033
EcoliMG1655_noIPTG_25_5,0.619603589,0.010005895,0.788063311,5.214840942,0.879557734,11.6265518,11.564125,0.025596193,,WT-25,1.017022734,0.864835863,0.967859666,0.814233033
dNIF2_noIPTG_25_1,0.607600842,0.000684609,0.709139912,9.571169235,0.977447706,8.766034617,8.840125,0.017356401,,dN-25,1.130211809,0.864835863,0.870929923,0.814233033
dNIF2_noIPTG_25_2,0.530513463,0.000465057,0.726264692,9.691457465,0.954400218,7.59025624,7.657375,0.016012812,,dN-25,1.103562258,0.864835863,0.891961714,0.814233033
dNIF2_noIPTG_25_3,0.534368175,0.001243949,0.598957753,10.11834903,1.157255544,7.416051717,7.431,0.01199394,,dN-25,1.338121594,0.864835863,0.735609745,0.814233033
dNIF2_noIPTG_25_4,0.528059044,0.000844783,0.634077967,10.15061643,1.09315765,7.312086727,7.363875,0.012379437,,dN-25,1.264005919,0.864835863,0.778742623,0.814233033
dNIF2_noIPTG_25_5,0.571067765,0.00115325,0.618886171,10.02268692,1.119991386,7.980289144,8.02225,0.01456569,,dN-25,1.295033466,0.864835863,0.760084824,0.814233033
dG1IF2_noIPTG_25_1,0.571527235,0.00145958,0.470068844,12.69517518,1.474565245,6.463875906,6.585375,0.020341235,,dG1-25,1.705023239,0.864835863,0.577314878,0.814233033
dG1IF2_noIPTG_25_2,0.581250959,0.001035418,0.496596458,12.7439374,1.395795659,6.544875101,6.680875,0.021186017,,dG1-25,1.613942851,0.864835863,0.609894758,0.814233033
dG1IF2_noIPTG_25_3,0.54498546,0.00108593,0.476618109,13.04257513,1.454303073,5.97550747,6.1275,0.020879307,,dG1-25,1.681594317,0.864835863,0.585358355,0.814233033
dG1IF2_noIPTG_25_4,0.531682232,0.000854467,0.498059182,12.91355677,1.391696419,5.897008386,6.049625,0.022920746,,dG1-25,1.609202947,0.864835863,0.611691202,0.814233033
dG1IF2_noIPTG_25_5,0.530111767,0.00082247,0.490251251,13.1911525,1.413861117,5.733607415,5.867,0.019264189,,dG1-25,1.634831737,0.864835863,0.602101893,0.814233033
EcoliMG1655_noIPTG_30_1,0.691012625,0.018602194,0.727407699,4.932020061,0.952900528,13.15029198,13.094875,0.027568311,,WT-30,0.965740192,0.986704847,1.02860019,0.707182155
EcoliMG1655_noIPTG_30_2,0.680140456,0.015789482,0.775692369,4.820811337,0.893585149,13.02394709,12.978375,0.024116601,,WT-30,0.905625579,0.986704847,1.096877747,0.707182155
EcoliMG1655_noIPTG_30_3,0.695483438,0.032334199,0.620330902,4.869779332,1.117382961,13.25138481,13.183875,0.040521972,,WT-30,1.13243891,0.986704847,0.877186872,0.707182155
EcoliMG1655_noIPTG_30_4,0.689927646,0.0257953,0.664948761,4.885021708,1.042406906,13.1484184,13.0815,0.037521982,,WT-30,1.056452606,0.986704847,0.940279327,0.707182155
EcoliMG1655_noIPTG_30_5,0.646762929,0.019440239,0.747531044,4.647453814,0.92724869,12.49010514,12.4315,0.035432828,,WT-30,0.939742713,0.986704847,1.057055864,0.707182155
dNIF2_noIPTG_30_1,0.541242496,0.00183007,0.751036058,7.571042866,0.922921307,8.889612062,8.9275,0.015255665,,dN-30,0.935357022,0.986704847,1.062012175,0.707182155
dNIF2_noIPTG_30_2,0.554292086,0.00215465,0.739340207,7.501511206,0.937521285,9.14206558,9.177,0.014308348,,dN-30,0.950153724,0.986704847,1.045473506,0.707182155
dNIF2_noIPTG_30_3,0.566475284,0.002126937,0.718646798,7.765969042,0.964517177,9.193218851,9.218625,0.012774433,,dN-30,0.977513367,0.986704847,1.016211725,0.707182155
dNIF2_noIPTG_30_4,0.583906803,0.002435926,0.707398658,7.739954998,0.979853684,9.490908528,9.549875,0.015210269,,dN-30,0.993056522,0.986704847,1.000306149,0.707182155
dNIF2_noIPTG_30_5,0.562077468,0.002890918,0.6955953,7.568925589,0.996480541,9.23137873,9.29375,0.014640137,,dN-30,1.009907415,0.986704847,0.983615459,0.707182155
dG1IF2_noIPTG_30_1,0.602920855,0.00365771,0.552756245,9.224433953,1.253983446,8.902169034,8.935,0.010826737,,dG1-30,1.270879991,0.986704847,0.78163206,0.707182155
dG1IF2_noIPTG_30_2,0.596607879,0.003482204,0.556533162,9.231688711,1.245473276,8.804904425,8.826125,0.010285872,,dG1-30,1.262255151,0.986704847,0.786972859,0.707182155
dG1IF2_noIPTG_30_3,0.587767021,0.003820407,0.53185,9.456524543,1.3032757,8.541451698,8.560375,0.009185508,,dG1-30,1.320836423,0.986704847,0.752069316,0.707182155
dG1IF2_noIPTG_30_4,0.593442715,0.004392047,0.521151984,9.399785255,1.330028863,8.656496833,8.668625,0.008009846,,dG1-30,1.347950066,0.986704847,0.73694165,0.707182155
dG1IF2_noIPTG_30_5,0.556387104,0.003497448,0.550350818,9.199813309,1.259464251,8.228551243,8.2665,0.009563906,,dG1-30,1.276434646,0.986704847,0.778230635,0.707182155
EcoliMG1655_noIPTG_37_1,0.995043451,0.084308336,0.560578493,4.245206291,1.236485504,19.49975461,19.417125,0.056962602,,NA,,,,
EcoliMG1655_noIPTG_37_2,0.674536764,0.014689252,1.261459131,3.016263147,0.549480489,14.14252864,14.114375,0.025413679,,WT-37,0.977103397,0.562356544,1.020460816,1.236166162
EcoliMG1655_noIPTG_37_3,0.656349783,0.016330783,1.1437671,3.20733654,0.606021261,13.63280146,13.602625,0.025011865,,WT-37,1.077645967,0.562356544,0.925253526,1.236166162
EcoliMG1655_noIPTG_37_4,0.666204689,0.010328858,1.325518618,3.131626906,0.522925269,13.89475469,13.885625,0.026869087,,WT-37,0.929882074,0.562356544,1.072281914,1.236166162
EcoliMG1655_noIPTG_37_5,0.63315922,0.012327706,1.2139198,3.228557981,0.570999155,13.14137458,13.123,0.023280078,,WT-37,1.015368562,0.562356544,0.982003744,1.236166162
dNIF2_noIPTG_37_1,0.570444888,0.000647704,1.265966189,5.35527923,0.547524244,10.63527374,10.675625,0.034788927,,dN-37,0.973624741,0.562356544,1.024106813,1.236166162
dNIF2_noIPTG_37_2,0.588246482,0.000409771,1.349437242,5.386397647,0.513656478,10.94908233,11.02275,0.044085033,,dN-37,0.913400019,0.562356544,1.09163095,1.236166162
dNIF2_noIPTG_37_3,0.578106098,0.000666033,1.232876802,5.487183538,0.562219339,10.70183155,10.737125,0.029663492,,dN-37,0.999756018,0.562356544,0.997339063,1.236166162
dNIF2_noIPTG_37_4,0.572218537,0.000493582,1.304648625,5.407375664,0.531290316,10.63866581,10.708,0.042834954,,dN-37,0.944757062,0.562356544,1.055399075,1.236166162
