sample,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,group,Fold.doubling,AVERAGE-WT-DT,Fold.growth,AVERAGE-WT-RATE
WT.IF2.pH5.01,0.738926914,0.046405488,0.771433309,3.503765558,0.898518605,15.0830926,15.02625,0.038129912,,WT-pH5,1.029553363,0.872726599,0.968764261,0.796306532
WT.IF2.pH5.02,0.721904279,0.036061955,0.802401156,3.670744111,0.863841204,14.62967296,14.553125,0.041773502,,WT-pH5,0.98981881,0.872726599,1.007653616,0.796306532
WT.IF2.pH5.03,0.690480474,0.036418176,0.741804087,3.893392692,0.934407336,13.8327839,13.754,0.040023771,,WT-pH5,1.070675899,0.872726599,0.931555949,0.796306532
WT.IF2.pH5.04,0.694436081,0.026508322,0.865469379,3.72829053,0.800891629,14.04617775,13.97675,0.036854447,,WT-pH5,0.917689033,0.872726599,1.086854552,0.796306532
WT.IF2.pH5.05,0.687580229,0.032513328,0.800424728,3.751867189,0.865974221,13.88060399,13.8225,0.031727611,,WT-pH5,0.992262895,0.872726599,1.005171622,0.796306532
dN.IF2.pH5.01,0.744292676,0.002169283,1.029971364,5.66532153,0.672977138,13.64425767,13.636125,0.036296541,,dN-pH5,0.771120233,0.872726599,1.293435784,0.796306532
dN.IF2.pH5.02,0.769658702,0.00206911,1.054146713,5.612251503,0.657543368,14.15032517,14.14475,0.037728042,,dN-pH5,0.753435692,0.872726599,1.323795135,0.796306532
dN.IF2.pH5.03,0.745737083,0.00373091,0.904797627,5.849601226,0.766079795,13.53129168,13.534,0.027103813,,dN-pH5,0.877800443,0.872726599,1.13624288,0.796306532
dN.IF2.pH5.04,0.746785517,0.002219836,1.026123037,5.667320163,0.675501042,13.68841325,13.6785,0.026253896,,dN-pH5,0.774012208,0.872726599,1.288603064,0.796306532
dN.IF2.pH5.05,0.74288131,0.003641088,0.884908403,6.004395875,0.783298224,13.3644733,13.326,0.029863271,,dN-pH5,0.897529908,0.872726599,1.111266036,0.796306532
dG1.IF2.pH5.01,0.707885808,0.001570865,0.870608555,7.016281355,0.79616399,12.02072737,12.009,0.022194257,,dG1-pH5,0.912271943,0.872726599,1.093308318,0.796306532
dG1.IF2.pH5.02,0.746386098,0.001455161,0.910197867,6.853647107,0.761534613,12.79619928,12.796625,0.024629193,,dG1-pH5,0.872592418,0.872726599,1.143024489,0.796306532
dG1.IF2.pH5.03,0.700944339,0.001638525,0.858685279,7.052981527,0.807219126,11.87700663,11.866125,0.021148919,,dG1-pH5,0.924939297,0.872726599,1.078335094,0.796306532
dG1.IF2.pH5.04,0.95997203,0.010875205,0.576024996,7.758387882,1.203328302,15.57264997,15.46875,0.040525736,,dG1-pH5,1.378814744,0.872726599,0.72337093,0.796306532
dG1.IF2.pH5.05,0.6957622,0.003125633,0.773801301,6.979658377,0.895768952,11.83806363,11.870375,0.019171798,,dG1-pH5,1.026402717,0.872726599,0.971737981,0.796306532
WT.IF2.pH7.01,0.599470971,0.032485223,0.861456665,3.319434381,0.804622227,12.3586289,12.298625,0.052178067,,WT-pH7,1.038903484,0.774491798,0.937283244,0.919099611
WT.IF2.pH7.02,0.610405792,0.018612293,1.06214372,3.256937286,0.652592646,12.64388958,12.598375,0.047175526,,WT-pH7,0.842607562,0.774491798,1.155635045,0.919099611
WT.IF2.pH7.03,0.621712782,0.039499974,0.73012869,3.685016167,0.949349327,12.57419035,12.498375,0.055584205,,WT-pH7,1.225770667,0.774491798,0.794395604,0.919099611
WT.IF2.pH7.04,0.611877365,0.017353919,1.127258336,3.13498838,0.614896478,12.751211,12.726,0.04121972,,WT-pH7,0.793935429,0.774491798,1.226481138,0.919099611
WT.IF2.pH7.05,0.594516224,0.030636261,0.814510642,3.575959507,0.850998311,12.10380663,12.041125,0.041438088,,WT-pH7,1.098782857,0.774491798,0.886204969,0.919099611
dN.IF2.pH7.01,0.523517003,0.004650396,0.908335586,5.190476523,0.763095921,9.841962816,9.851,0.017661548,,dN-pH7,0.985285994,0.774491798,0.988288511,0.919099611
dN.IF2.pH7.02,0.541192995,0.00433586,0.914999631,5.266463476,0.757538207,10.13370103,10.153125,0.020903925,,dN-pH7,0.978110045,0.774491798,0.995539135,0.919099611
dN.IF2.pH7.03,0.539496596,0.004516637,0.88297808,5.407225608,0.785010632,10.02560179,10.040375,0.02024602,,dN-pH7,1.013581595,0.774491798,0.960699003,0.919099611
dN.IF2.pH7.04,0.544064492,0.004479908,0.880387967,5.442142884,0.787320143,10.09156153,10.1145,0.019975249,,dN-pH7,1.016563565,0.774491798,0.957880905,0.919099611
dN.IF2.pH7.05,0.547032034,0.004567059,0.845821664,5.648063096,0.819495658,10.03367527,10.03125,0.015106984,,dN-pH7,1.0581076,0.774491798,0.920272029,0.919099611
dG1.IF2.pH7.01,0.534464681,0.002206156,0.844365745,6.497039834,0.820908693,9.352096299,9.37825,0.016006976,,dG1-pH7,1.059932069,0.774491798,0.918687959,0.919099611
dG1.IF2.pH7.02,0.564023418,0.00144001,0.929687391,6.419243338,0.745570164,9.914407609,9.95575,0.013798129,,dG1-pH7,0.962657276,0.774491798,1.011519731,0.919099611
dG1.IF2.pH7.03,0.528711091,0.001681231,0.864495858,6.648650477,0.801793524,9.171903278,9.189,0.010996616,,dG1-pH7,1.03525115,0.774491798,0.940589951,0.919099611
dG1.IF2.pH7.04,0.55179013,0.001251669,0.939997883,6.474928455,0.737392278,9.66882846,9.709,0.014580132,,dG1-pH7,0.95209824,0.774491798,1.022737767,0.919099611
dG1.IF2.pH7.05,0.533393964,0.001376049,0.89140421,6.683231936,0.777590203,9.235114002,9.274125,0.016700713,,dG1-pH7,1.004000565,0.774491798,0.969866813,0.919099611
