ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Oxygen tolerance
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,Abyssibacter profundi,2831460164,aerobe
,,,,,GCA_003151135,
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,Acanthopleuribacter pedis,442870.4,aerobe
,,,,,GCA_017377855,
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,Acaricomes phytoseiuli,1120917.3,aerobe
,,,,,2517572146,
,,,,,GCA_000376245,
2,L 40,"DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,Acetobacter aceti,2547132264,aerobe
,,,,,2784746776,
,,,,,887700.1,
,,,,,887700.6,
,,,,,887700.7,
,,,,,GCA_000193495,
,,,,,GCA_000963905,
,,,,,GCA_004341595,
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,Acetobacter nitrogenifigens,1120919.3,aerobe
,,,,,1120919.6,
,,,,,2522572157,
,,,,,2927201423,
,,,,,GCA_000429165,
,,,,,GCA_007991375,
8,,"DSM 4492, ATCC 12876, CCUG 18126, IMET 10752, LMD 31.3, LMG 1282, LMG 1583, NCIMB 8622, PDDCC 8809, KCTC 12329, JCM 7639, BCRC 11568, CCM 3610, ICMP 8809, IFO 13752, NBRC 13752, NCCB 31003, VTT E-042463",1,Acetobacter orleanensis,104099.3,aerobe
,,,,,104099.5,
,,,,,104099.6,
,,,,,1231342.3,
,,,,,2728368908,
,,,,,2854545835,
,,,,,435.1,
,,,,,438.25,
,,,,,GCA_000964205,
,,,,,GCA_001581005,
11,,"DSM 11825, LTH 2458, CIP 105762",1,Acetobacter pomorum,2828617574,aerobe
,,,,,65959.23,
156528,"LiPuma AU4014, Vandamme R-31134","CCUG 62438, LMG 26852, CIP 110713, DSM 115985",1,Achromobacter aegrifaciens,1287736.3,aerobe
,,,,,2900112703,
,,,,,GCA_902859735,
156530,,"CCUG 62440, LMG 26854",0,Achromobacter aegrifaciens,1287736.4,aerobe
,,,,,2900120893,
,,,,,GCA_902859965,
140509,,"LMG 3411, CCUG 62454",1,Achromobacter agilis,1353888.3,aerobe
,,,,,2882181859,
,,,,,GCA_900496965,
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,Achromobacter aloeverae,2881412998,aerobe
,,,,,GCA_004121055,
130142,"AU15230, AU 15230, R-46662","DSM 29601, CCUG 61966, LMG 26690, CIP 110841",1,Achromobacter animicus,1389935.3,aerobe
,,,,,2902242375,
,,,,,GCA_902859585,
156477,,"CCUG 61965, LMG 26689",0,Achromobacter animicus,1389935.4,aerobe
,,,,,2900094115,
,,,,,GCA_902860025,
156478,,"CCUG 61967, LMG 26691",0,Achromobacter animicus,1389935.5,aerobe
,,,,,2900137357,
,,,,,GCA_902860125,
156534,"Vandamme R-47433, LiPuma AU11412","CCUG 62444, LMG 26857, CIP 110712",1,Achromobacter anxifer,1287737.4,aerobe
,,,,,GCA_903652925,
156535,,"CCUG 62445, LMG 26858",0,Achromobacter anxifer,1287737.3,aerobe
,,,,,2902253905,
,,,,,GCA_902860145,
140506,,"LMG 3458, CCUG 62433",1,Achromobacter deleyi,1353891.6,aerobe
,,,,,GCA_902859705,
136807,Aulb.court,"CIP 60.83, CCUG 61949, LMG 1860, JCM 20672, IAM 12595",0,Achromobacter denitrificans,32002.37,aerobe
,,,,,GCA_902859985,
134918,"Vandamme R-47430, LiPuma AU4012, AU4012, R-47430","CIP 110711, LMG 26840, CCUG 62421, DSM 115983",1,Achromobacter dolens,1287738.5,aerobe
,,,,,2900088174,
,,,,,GCA_902859745,
156522,,"CCUG 62422, LMG 26841",0,Achromobacter dolens,1287738.7,aerobe
,,,,,2900142850,
,,,,,GCA_902860115,
156523,,"CCUG 62423, LMG 26842",0,Achromobacter dolens,1287738.6,aerobe
,,,,,2900106755,
,,,,,GCA_902859975,
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84, Gilardi 3038",1,Achromobacter insolitus,217204.13,aerobe
,,,,,217204.3,
,,,,,217204.5,
,,,,,2751185845,
,,,,,2855745187,
,,,,,GCA_001971645,
,,,,,GCA_002209555,
,,,,,GCA_902859615,
152561,,"CCUG 47056, LMG 5997",0,Achromobacter insolitus,217204.15,aerobe
,,,,,GCA_902860175,
152562,,"CCUG 47058, LMG 6000",0,Achromobacter insolitus,217204.14,aerobe
,,,,,GCA_902860165,
