ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Oxygen tolerance
158563,Su22,"VKM B-2510, CECT 8731, DSM 21847",1,Anoxynatronum buryatiense,2706794923,aerotolerant
2091,"A169/B, 02766","DSM 7289, ATCC 43158, CCUG 17801, LMG 7536, NCTC 11885, WDCM 00066, MCCM 00660, CIP 104014, LMG 9904, CCM 3933",1,Arcobacter cryaerophilus,1032070.4,aerotolerant
,,,,,1032070.5,
,,,,,2847260338,
,,,,,GCA_003660105,
,,,,,GCA_006165035,
2095,"WCDM 00067, 449/80","DSM 7302, ATCC 51132, CCUG 10374, LMG 6621, WRI 449/80, JCM 33358, CIP 103538, CIP 103588, NCTC 12713, WDCM 00067, CECT 8223, CIP 1035838T",1,Arcobacter skirrowii,1032239.3,aerotolerant
,,,,,1032239.4,
,,,,,1032239.5,
,,,,,2814123187,
,,,,,28200.27,
,,,,,2843847787,
,,,,,2873822735,
,,,,,GCA_003544835,
,,,,,GCA_004115735,
,,,,,GCA_008802155,
12636,,"LMG 16711, DSM 1897, ATCC 6919, CCUG 1794, JCM 6425, KCTC 3314, NCTC 737, BCRC 10723, CECT 5684, CGMCC 1.5003, CIP 53.117, KCTC 5008, LMG 3591, NBRC 107605, NRRL B-4224, VKM Ac-1450, VPI 0389",1,Cutibacterium acnes subsp. acnes,1122995.3,aerotolerant
,,,,,1122995.5,
,,,,,1734925.62,
,,,,,1747.234,
,,,,,1747.45,
,,,,,1747.866,
,,,,,2515154214,
,,,,,2518285594,
,,,,,2619619216,
,,,,,2888212034,
133242,,"ATCC 11828, JCM 6473, CCUG 6369, BCRC 16146, KCTC 3320, VPI 0391",1,Cutibacterium acnes subsp. defendens,1091045.3,aerotolerant
,,,,,2511231219,
,,,,,GCA_000231215,
132605,,"DSM 29427, CCUG 66358, NTS 31307302",1,Cutibacterium namnetense,1574624.3,aerotolerant
4167,"JS, JS1","DSM 19430, JCM 14597, KCTC 5573",1,Desulfovibrio psychrotolerans,415242.3,aerotolerant
,,,,,GCA_013340305,
160818,JV5,"DSM 106771, TISTR 2629",1,Propionibacterium ruminifibrarum,GCA_900289195,aerotolerant
