ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Oxygen tolerance
2903,R-24608,"DSM 19327, LMG 24103",1,Acidovorax caeni,2634166357,facultative aerobe
,,,,,2740892283,
,,,,,343013.6,
,,,,,GCA_001298675,
,,,,,GCA_900116825,
1766,T6,"DSM 22365, LMG 21773, NCIMB 13939, JCM 15959",1,Aeriscardovia aeriphila,218139.3,facultative aerobe
,,,,,218139.4,
,,,,,2788500099,
,,,,,2824784629,
,,,,,GCA_002259595,
,,,,,GCA_013408435,
272,A55,"DSM 18362, CECT 7289, LMG 24688, MDC 47",0,Aeromonas dhakensis,196024.5,facultative aerobe
,,,,,2639762872,
,,,,,GCA_000819705,
166301,WN023,"KCTC 52855, ACCC 19978",1,Aliifodinibius salipaludis,GCA_002287075,facultative aerobe
1408,JW/BP-GSL-QD,"DSM 23721, ATCC BAA-2118, NBRC 11149",1,Amphibacillus cookii,2901114716,facultative aerobe
,,,,,767787.3,
,,,,,GCA_016908375,
23742,J1,"DSM 27991, CGMCC 1.10434, JCM 17099",1,Amphibacillus marinus,2617270769,facultative aerobe
,,,,,872970.3,
,,,,,GCA_900110345,
565,E-112,"DSM 23212, CCTCC AB 209236, KCTC 13720",1,Anoxybacillus eryuanensis,2861220268,facultative aerobe
566,"T-11, T11","DSM 23211, CCTCC AB 209237, KCTC 13721",1,Anoxybacillus tengchongensis,2861217274,facultative aerobe
,,,,,576944.3,
,,,,,GCA_014201585,
557,TH 13,"DSM 17075, JCM 12111, NCIMB 13956",1,Anoxybacteroides voinovskiense,230470.4,facultative aerobe
,,,,,230470.5,
,,,,,2829825107,
,,,,,GCA_014196205,
,,,,,GCA_014646615,
4301,,"DSM 18102, CCM 7368, CECT 7151, CGMCC 1.6291, CG 12, CIP 109713",1,Aquisalimonas asiatica,2617270766,facultative aerobe
,,,,,406100.9,
,,,,,GCA_900110585,
24797,110S,"DSM 23922, ATCC BAA-2145, JCM 17282, KCTC 23289, NBRC 107679",1,Ardenticatena maritima,2651869644,facultative aerobe
,,,,,2671180960,
,,,,,872965.11,
,,,,,GCA_001293545,
,,,,,GCA_001306175,
133984,P7-3-5,"CGMCC 1.12213, KACC 16457",1,Algibacter luteus,1178825.6,facultative aerobe
,,,,,2667528186,
,,,,,GCA_000283015,
,,,,,GCA_900141715,
158604,4M3-2,"CFCC 11187, KCTC 42087",1,Aureimonas populi,1701758.3,facultative aerobe
,,,,,GCA_017815515,
13889,d8-1,"DSM 23864, BCRC 17657, LMG 24005",1,Azonexus hydrophilus,1121032.3,facultative aerobe
,,,,,2524023152,
,,,,,GCA_000429605,
140877,CC-HIH038,"BCRC 80909, JCM 30827, CECT 9207",1,Azospirillum agricola,2918249483,facultative aerobe
,,,,,2928819513,
,,,,,GCA_017876095,
134118,COC8,"IAM 15130, CCTCC AB 204051, JCM 21588, BCRC 17901, NBRC 102291, CIP 108863",1,Azospirillum oryzae,GCA_008364795,facultative aerobe
1738,T16,"DSM 22366, LMG 21775, NCIMB 13940, JCM 15958",1,Bifidobacterium psychraerophilum,1435464.3,facultative aerobe
,,,,,1435464.5,
,,,,,218140.3,
,,,,,2597490219,
,,,,,2627853606,
,,,,,GCA_000741705,
,,,,,GCA_000771565,
,,,,,GCA_002813205,
1786,BI-42,"DSM 9653, CCUG 55771, ATCC 700366",1,Bosea thiooxidans,2595698224,facultative aerobe
,,,,,53254.5,
,,,,,GCA_900168195,
2318,EMB102,"DSM 17977, KCTC 12609",1,Brevundimonas aveniformis,1121123.3,facultative aerobe
,,,,,2524614798,
,,,,,GCA_000428765,
