ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Oxygen tolerance
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,Abiotrophia defectiva,2562617177,facultative anaerobe
,,,,,46125.34,
,,,,,592010.4,
,,,,,GCA_000160075,
164491,HSLZ-75,"JCM 33270, CICC 6269",1,Acetilactobacillus jinshanensis,GCA_004359375,facultative anaerobe
159212,N93,"DSM 106692, NCTC 14351, ATCC TSD-139",1,Acholeplasma equirhinis,GCA_017052655,facultative anaerobe
12633,"14X, 0179","DSM 4900, ATCC 25562, VPI 0399, CIP 103025, NCIMB 11858",1,Acidipropionibacterium acidipropionici,1111734.3,facultative anaerobe
,,,,,2513237117,
,,,,,GCA_000427845,
12634,4,"DSM 20272, ATCC 4875, NCDO 570, NCIB 8070, JCM 6432, IFO 12425, NBRC 12425, NCIMB 8070, VPI 10402, CIP 53.164",0,Acidipropionibacterium acidipropionici,1171373.8,facultative anaerobe
,,,,,2518285597,
,,,,,2521172602,
,,,,,GCA_000310065,
12651,29,"CCUG 48883, CIP 103028, NCIMB 8071, DSM 20535, ATCC 4868, NCDO 850, NCIB 8071",1,Acidipropionibacterium jensenii,1122997.3,facultative anaerobe
,,,,,2523533551,
,,,,,GCA_000425285,
160797,MG,"DSM 107098, JCM 33084",1,Acidithiobacillus ferrianus,2895580592,facultative anaerobe
,,,,,GCA_010378095,
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,Acidithiobacillus ferridurans,1232575.2,facultative anaerobe
,,,,,1232575.4,
,,,,,1232575.7,
,,,,,2824077352,
,,,,,GCA_003966655,
,,,,,GCA_018854555,
132357,M20,"DSM 100412, JCM 30830",1,Acidithiobacillus ferriphilus,1689834.8,facultative anaerobe
,,,,,GCA_018854775,
2898,,"DSM 12644, CIP 106824, CCUG 49021, BSB 411",1,Acidovorax defluvii,2756170235,facultative anaerobe
,,,,,86669.4,
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702, ANC 4215",1,Acinetobacter indicus,1341679.3,facultative anaerobe
,,,,,1341679.5,
,,,,,2579779046,
,,,,,2663763131,
,,,,,GCA_000488255,
,,,,,GCA_000830155,
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,Acinetobacter piscicola,2791355509,facultative anaerobe
,,,,,GCA_002233755,
11676,"11-61, P243","DSM 19761, ATCC 51571, CCUG 12396, CIP 103283, NCTC 11408",1,Actinobacillus capsulatus,1120931.3,facultative anaerobe
,,,,,2519899771,
,,,,,GCA_000374285,
11690,"F 154, 8-11272","DSM 22436, CCUG 19799, NCTC 13195, CIP 107709",1,Actinobacillus equuli subsp. haemolyticus,GCA_029773665,facultative anaerobe
138198,"NM305, NM 305","CIP 105314, CCUG 38923, DSM 113419",1,Actinobacillus minor,637911.3,facultative anaerobe
,,,,,GCA_000175195,
11684,"NM319, NM 319","DSM 22435, CCUG 38924, CIP 105315",1,Actinobacillus porcinus,GCA_900773985,facultative anaerobe
,,,,,GCA_901764995,
144739,CNPA62,"CCUG 26436, MCCM 00283, CCM 5976, CIP 104142",0,Actinobacillus salpingitidis,155517.3,facultative anaerobe
,,,,,2833360074,
,,,,,GCA_000771895,
177,"M1327/95/1, M1327/96/1","DSM 15435, CCUG 37421, CIP 106647",1,Actinomyces bowdenii,131109.7,facultative anaerobe
,,,,,GCA_017592395,
149,Sh8/4303,"DSM 20671, ATCC 43322, NCTC 11490, CCUG 32758, CIP 103126",1,Actinomyces denticolens,2808606642,facultative anaerobe
,,,,,52767.4,
,,,,,52767.5,
,,,,,52767.7,
,,,,,GCA_001995055,
,,,,,GCA_002072185,
,,,,,GCA_900445045,
140372,pika_113,"DSM 104049, CGMCC 4.7372",1,Actinomyces gaoshouyii,1960083.5,facultative anaerobe
,,,,,GCA_002072175,
,,,,,GCA_014646495,
151,Jr 277 (CDC W855),"DSM 43320, ATCC 12102, JCM 12964, CCUG 18307, IMET 10792, CCUG 2271, NIH 277, WVU 46, CIP 103259, KCTC 15377, NCTC 12972",1,Actinomyces israelii,1120944.3,facultative anaerobe
,,,,,1659.4,
,,,,,2565956542,
,,,,,2843235134,
,,,,,GCA_000711965,
,,,,,GCA_900637225,
166249,2129,"CGMCC 4.7483, DSM 106426",1,Actinomyces lilanjuaniae,GCA_003606385,facultative anaerobe
192,4401292,"DSM 23047, CCUG 53522, KCTC 15158, CSUR P18, JCM 16130, CIP 109360",1,Actinomyces massiliensis,1167628.4,facultative anaerobe
,,,,,2548876973,
,,,,,GCA_000269805,
154,,"DSM 43013, ATCC 12104, CCUG 2238, NCTC 10301, CDC W826, JCM 8349, NIH 279, WVU 45, CCUG 18310, CIP 103128",1,Actinomyces naeslundii,1655.49,facultative anaerobe
,,,,,2531839542,
,,,,,GCA_001956585,
187,R5292,"KCTC 15234, DSM 17234, CCUG 46090, CIP 107639, Hall R5292, JCM 17565",1,Actinomyces oricola,2867461147,facultative anaerobe
,,,,,GCA_004104015,
159350,410,"DSM 106201, CGMCC 1.16361",1,Actinomyces qiguomingii,2867002583,facultative anaerobe
,,,,,CP025228,
,,,,,GCA_004102025,
176,AO 96-06841,"DSM 15433, CCUG 36733, CIP 106352",1,Actinomyces radicidentis,111015.3,facultative anaerobe
,,,,,2687453525,
,,,,,GCA_001553565,
178,,"DSM 15434, CCUG 38702, CIP 106421",1,Actinomyces urogenitalis,525246.3,facultative anaerobe
,,,,,643886015,
,,,,,GCA_000159035,
157,,"DSM 43327, ATCC 15987, CCUG 14476, NCTC 10951, WVU 745, NIH T-6, JCM 8353, CCUG 35450, CECT 488, CIP 103147, KCTC 15382, NBIMCC 71",1,Actinomyces viscosus,1656.7,facultative anaerobe
,,,,,1656.9,
,,,,,2868063378,
,,,,,2868359304,
,,,,,GCA_004525795,
,,,,,GCA_900637975,
140287,VUL7,"DSM 103437, CGMCC 4.7366",1,Actinomyces vulturis,2791355098,facultative anaerobe
,,,,,GCA_001687305,
196,"2298, 2298/06","DSM 24894, CCM 7951, CCUG 61299, CIP 110333, LMG 26472",1,Actinomyces weissii,675090.3,facultative anaerobe
,,,,,GCA_016598775,
2385,M,"DSM 3133, ATCC 43279, CFBP 4259, CIP 103003, JCM 9966, LMG 16154, NBRC 105374, NBRC 15517, BCRC 14866, IFO 15517, KCTC 3251, LMG 17239",1,Actinotalea fermentans,2636415524,facultative anaerobe
,,,,,2734481966,
,,,,,43671.3,
,,,,,862422.3,
,,,,,862422.7,
,,,,,862422.8,
,,,,,GCA_000767215,
,,,,,GCA_001313965,
,,,,,GCA_004769145,
,,,,,GCA_007991475,
145,B 5329,"DSM 15541, CCUG 27420, CIP 105739, LMG 18293, CCM 4738",1,Actinotignum schaalii,1120932.3,facultative anaerobe
,,,,,2524614731,
,,,,,2585427650,
,,,,,59505.5,
,,,,,GCA_000429205,
,,,,,GCA_000724605,
226,"UW06, UW 06","DSM 15819, CCM 4911, CCUG 28831, CIP 106115, JCM 18985, ATCC 48849, LMG 19525",1,Aerococcus christensenii,2687453475,facultative anaerobe
,,,,,2728369595,
,,,,,525247.5,
,,,,,87541.3,
,,,,,GCA_001466745,
,,,,,GCA_001543105,
224,SS-1647,"DSM 15633, CCUG 43001, CDC 348-00, CIP 106533, JCM 11549, ATCC BAA-465",1,Aerococcus sanguinicola,119206.53,facultative anaerobe
,,,,,2687453481,
,,,,,GCA_001543145,
227,1821/02,"DSM 21500, CCUG 52530, CECT 7139, JCM 18035, CIP 109714",1,Aerococcus suis,2622736423,facultative anaerobe
,,,,,371602.3,
,,,,,GCA_900176325,
223,E2,"DSM 7446, ATCC 51268, JCM 18986, NCFB 2893, NCTC 12142, CCM 4310, CCUG 29291, CCUG 29564, CCUG 34223, CCUG 36881, CIP 104688, IFO 15544, LMG 17750, LMG 19527, NBRC 15544, NCIMB 702893",1,Aerococcus urinae,1216979.3,facultative anaerobe
,,,,,1376.123,
,,,,,1376.307,
,,,,,1376.448,
,,,,,2681812972,
,,,,,2687453482,
,,,,,GCA_001543175,
,,,,,GCA_001544335,
,,,,,GCA_002087935,
222,PUE,"CCUG 28094, CIP 103442, NCIMB 701636, DSM 20341, ATCC 29723, JCM 12519, NCDO 1636, LMG 11420, LMG 13989",1,Aerococcus urinaeequi,1120952.3,facultative anaerobe
,,,,,2524614650,
,,,,,2671180343,
,,,,,51665.4,
,,,,,GCA_000425085,
,,,,,GCA_001543205,
225,,"CCUG 42038 B, CCM 7338, DSM 15634, ATCC BAA-464, CIP 106675, JCM 18987, CCUG 42038, CCUG 42038b",1,Aerococcus urinaehominis,128944.7,facultative anaerobe
,,,,,2619619005,
,,,,,GCA_001543245,
,,,,,GCA_900103385,
221,M1,"DSM 20340, ATCC 11563, CCM 1914, IAM 13649, JCM 20461, NCDO 1225, NCTC 8251, WDCM 00061, CCUG 4311, CIP 54.145, IAM 12302, IFO 12219, LMG 17931, NBRC 12219, NISL 7400, IMET 11154, NCIMB 11775, CECT 978",1,Aerococcus viridans,1377.15,facultative anaerobe
,,,,,1377.3,
,,,,,2684623177,
,,,,,2811995224,
,,,,,647000207,
,,,,,655812.3,
,,,,,GCA_000178435,
,,,,,GCA_001543285,
,,,,,GCA_900445095,
11064,"TYLN1, TYLNI","DSM 19355, CCTCC AB 206046, JCM 16538, NBRC 107625, CIP 110459",1,Aeromicrobium flavum,416568.3,facultative anaerobe
,,,,,GCA_007992115,
