ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Oxygen tolerance
12654,15,"DSM 20276, ATCC 4874, CCM 1865, CCUG 28149, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCIB 5966, CGMCC 1.2228, CIP 103029, LMG 16731, NCIMB 5966, VPI 0412, VTT E-79095",1,Acidipropionibacterium thoenii,1122998.3,microaerophile
,,,,,2523231069,
,,,,,GCA_000423445,
11688,P. 907,"DSM 22258, ATCC 13376, CCUG 24862, CIP 107664, MCCM 00398, CCM 5500, Wetmore 1706, HIM 1034-2",1,Actinobacillus arthritidis,GCA_029774155,microaerophile
11672,4074,"DSM 13472, ATCC 27088, CCM 5869, Shope 4074, CIP 100916, CCUG 41656",1,Actinobacillus pleuropneumoniae,715.77,microaerophile
11684,"NM319, NM 319","DSM 22435, CCUG 38924, CIP 105315",1,Actinobacillus porcinus,GCA_900773985,microaerophile
,,,,,GCA_901764995,
11682,1276/61,"DSM 22433, ATCC 33415, CCM 5586, CCUG 11624, CIP 103354, NCTC 12996",1,Actinobacillus suis,2597489880,microaerophile
,,,,,2773858066,
,,,,,716.12,
,,,,,743972.3,
,,,,,GCA_000739435,
,,,,,GCA_900187155,
11670,3520/59,"DSM 5568, ATCC 25976, NCTC 10219, CCUG 2139, CIP 62.8, CCM 5774",1,Actinobacillus ureae,649989900,microaerophile
,,,,,887324.3,
,,,,,GCA_000188255,
132079,"FC1, FC3","DSM 100580, CSUR P1982",1,Actinobaculum massiliense,2811995073,microaerophile
,,,,,GCA_001457435,
177,"M1327/95/1, M1327/96/1","DSM 15435, CCUG 37421, CIP 106647",1,Actinomyces bowdenii,131109.7,microaerophile
,,,,,GCA_017592395,
131091,"21_37, ERD15F",DSM 28589,0,Actinomyces bowdenii,GCA_024623335,microaerophile
149,Sh8/4303,"DSM 20671, ATCC 43322, NCTC 11490, CCUG 32758, CIP 103126",1,Actinomyces denticolens,2808606642,microaerophile
,,,,,52767.4,
,,,,,52767.5,
,,,,,52767.7,
,,,,,GCA_001995055,
,,,,,GCA_002072185,
,,,,,GCA_900445045,
