ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Oxygen tolerance
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,Acaricomes phytoseiuli,1120917.3,obligate aerobe
,,,,,2517572146,
,,,,,GCA_000376245,
2,L 40,"DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,Acetobacter aceti,2547132264,obligate aerobe
,,,,,2784746776,
,,,,,887700.1,
,,,,,887700.6,
,,,,,887700.7,
,,,,,GCA_000193495,
,,,,,GCA_000963905,
,,,,,GCA_004341595,
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,Acetobacter cerevisiae,178900.5,obligate aerobe
,,,,,2724679583,
,,,,,GCA_001580535,
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,Acetobacter cibinongensis,1231339.3,obligate aerobe
,,,,,146475.5,
,,,,,2901808964,
,,,,,GCA_000963925,
,,,,,GCA_007989305,
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,Acetobacter malorum,178901.12,obligate aerobe
,,,,,2713897233,
,,,,,GCA_001580615,
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,Acetobacter oeni,2829864053,obligate aerobe
,,,,,304077.8,
,,,,,304077.9,
,,,,,GCA_011516825,
,,,,,GCA_014196315,
16,21F-2,"DSM 15550, IFO 16606, NBRC 16606, NRIC 0481, JCM 11195, CIP 107379",1,Acetobacter orientalis,1231341.3,obligate aerobe
,,,,,146474.1,
,,,,,2899144674,
,,,,,GCA_000963965,
,,,,,GCA_007989335,
11,,"DSM 11825, LTH 2458, CIP 105762",1,Acetobacter pomorum,2828617574,obligate aerobe
,,,,,65959.23,
21,CWBI-B418,"DSM 18889, LMG 23690",1,Acetobacter senegalensis,2728368907,obligate aerobe
,,,,,446692.4,
,,,,,GCA_001580995,
14,9H-2,"DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378",1,Acetobacter syzygii,1231343.3,obligate aerobe
,,,,,146476.13,
,,,,,2905254764,
,,,,,GCA_000964225,
,,,,,GCA_007989285,
318,"12, 55B","DSM 30026, ATCC 15173, NCTC 8582, CCUG 407, LMG 1231, CIP 77.15, JCM 5490, LMG 3510, CECT 449, BCRC 12838, BCRC 14342, CCM 3427, CGMCC 1.1800, IAM 12370, IFO 15125, JCM 9657, NBRC 15125, NCIMB 11961, VTT E-991293, NCIB 11961",1,Achromobacter denitrificans,1255278.4,obligate aerobe
,,,,,2731957627,
,,,,,2811995195,
,,,,,32002.3,
,,,,,32002.36,
,,,,,32002.39,
,,,,,GCA_001571365,
,,,,,GCA_900444675,
,,,,,GCA_902859715,
136807,Aulb.court,"CIP 60.83, CCUG 61949, LMG 1860, JCM 20672, IAM 12595",0,Achromobacter denitrificans,32002.37,obligate aerobe
,,,,,GCA_902859985,
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84, Gilardi 3038",1,Achromobacter insolitus,217204.13,obligate aerobe
,,,,,217204.3,
,,,,,217204.5,
,,,,,2751185845,
,,,,,2855745187,
,,,,,GCA_001971645,
,,,,,GCA_002209555,
,,,,,GCA_902859615,
136829,,"CIP 60.81, ATCC 13138, JCM 20671, IAM 12594, LMG 3415, JCM 9658",0,Achromobacter mucicolens,1389922.7,obligate aerobe
,,,,,GCA_902859995,
320,366-5,"DSM 10342, ATCC 43552, CIP 60.75, IAM 12591, LMG 1873, JCM 20668, CGMCC 1.10399, NBRC 102461, NCTC 11970, CCUG 724, NBIMCC 557, Hugh 366-5",1,Achromobacter piechaudii,1216977.3,obligate aerobe
,,,,,2681812971,
,,,,,72556.17,
,,,,,GCA_001571245,
,,,,,GCA_902859685,
309,,"DSM 653, ATCC 15749, CCUG 38886, LMG 1866, JCM 20676, CGMCC 1.10394, CIP 77.26, IAM 12600, IAM 12693, IAM 12694, JCM 20751, JCM 20752, NCIMB 11475, VKM B-1333, CCM 7494",1,Achromobacter ruhlandii,72557.63,obligate aerobe
,,,,,GCA_902859695,
323,,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,Achromobacter spanius,217203.1,obligate aerobe
,,,,,217203.24,
,,,,,2802429335,
,,,,,GCA_002812705,
,,,,,GCA_902859605,
136825,,"CIP 71.33, JCM 9660, ATCC 27062, IAM 12685, LMG 3429, NCTC 10808",0,Achromobacter xylosoxidans,2841492466,obligate aerobe
,,,,,85698.131,
,,,,,GCA_900475575,
297,KM543,"DSM 2402, ATCC 27061, DSM 10346, NRRL 84082, CCUG 56438, CIP 71.32, NCTC 10807, LMG 1863, CCM 2741, IFO 15126, NCIMB 12033, JCM 9659, CCUG 12689, CECT 467, CECT 927, IAM 12684, NBRC 15126, NRRL B-4082, NCIB 12033",1,Achromobacter xylosoxidans subsp. xylosoxidans,1216976.3,obligate aerobe
,,,,,1216976.8,
,,,,,2558309085,
,,,,,2667527485,
,,,,,2731957707,
,,,,,85698.244,
,,,,,85698.28,
,,,,,GCA_000508285,
,,,,,GCA_001457475,
,,,,,GCA_001598595,
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,Acidibrevibacterium fodinaquatile,2841042143,obligate aerobe
,,,,,GCA_003352165,
159192,CJ-2,"DSM 105150, KCTC 4683",1,Acidithiobacillus sulfuriphilus,1867749.3,obligate aerobe
,,,,,2840828123,
,,,,,GCA_003721225,
2900,P1G31,"DSM 16745, CFBP 3232, CCUG 64016, CIP 107058",1,Acidovorax anthurii,2636415976,obligate aerobe
,,,,,78229.3,
2891,,"DSM 7227, ATCC 19860, ICMP 3183, ICPB PA117, NCPPB 1011, CCUG 15838, LMG 2117, CIP 106500, JCM 20985, CFBP 2425, IAM 13658",1,Acidovorax avenae,643561.4,obligate aerobe
,,,,,650716004,
,,,,,GCA_000176855,
2902,,"DSM 17101, ATCC 33619, CFBP 2423, ICMP 2826, ICPB PC21, LMG 2364, NCPPB 961, NRRL B835, CCUG 21975, NRRL B-835, CIP 106435, LMG 5286",1,Acidovorax cattleyae,2634166355,obligate aerobe
,,,,,80868.3,
,,,,,GCA_900104515,
2888,,"DSM 649, ATCC 11228, CCUG 2113, LMG 6221, LMG 2193, CCM 4561, CIP 103302, NCIMB 9938",1,Acidovorax facilis,GCA_023913775,obligate aerobe
2893,K2,"DSM 7481, ATCC 33996, CCUG 17394, ICMP 7733, LMG 5691, JCM 2397, CIP 106439, CFBP 4460, NCPPB 3698",1,Acidovorax konjaci,2634166315,obligate aerobe
,,,,,32040.4,
,,,,,GCA_900112675,
135927,,"CIP 106433, CCUG 15836, LMG 1806, NCPPB 1392, ATCC 19882, ICMP 3960, CFBP 2426",0,Acidovorax oryzae,1408420.3,obligate aerobe
,,,,,2563366540,
,,,,,GCA_000687165,
2892,,"DSM 7270, ATCC 49665, CCUG 11779, LMG 7169, CIP 103457, CCM 4562",1,Acidovorax temperans,2818991434,obligate aerobe
,,,,,80878.16,
,,,,,GCA_006716905,
2899,,"DSM 16619, CFBP 4730, NCPPB 4283, CIP 107997",1,Acidovorax valerianellae,187868.3,obligate aerobe
,,,,,2615840716,
,,,,,GCA_900102625,
