ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Temperature
159652,R-68213,"DSM 105287, LMG 29911",1,Abditibacterium utsteinense,1960156.3,20
,,,,,GCA_002973605,
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,Abyssibacter profundi,2831460164,Oct-45
,,,,,GCA_003151135,
132478,L81,"DSM 29592, JCM 30920",1,Vallitalea guaymasensis,1185412.3,15-42
,,,,,GCA_003313305,
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,Acanthopleuribacter pedis,442870.4,15-30
,,,,,GCA_017377855,
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,Acaricomes phytoseiuli,1120917.3,15-30
,,,,,2517572146,
,,,,,GCA_000376245,
164491,HSLZ-75,"JCM 33270, CICC 6269",1,Acetilactobacillus jinshanensis,GCA_004359375,20-40
2,L 40,"DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,Acetobacter aceti,2547132264,10
,,,,,2784746776,
,,,,,887700.1,
,,,,,887700.6,
,,,,,887700.7,
,,,,,GCA_000193495,
,,,,,GCA_000963905,
,,,,,GCA_004341595,
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,Acetobacter cerevisiae,178900.5,10
,,,,,2724679583,
,,,,,GCA_001580535,
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,Acetobacter cibinongensis,1231339.3,10
,,,,,146475.5,
,,,,,2901808964,
,,,,,GCA_000963925,
,,,,,GCA_007989305,
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,Acetobacter malorum,178901.12,10
,,,,,2713897233,
,,,,,GCA_001580615,
16,21F-2,"DSM 15550, IFO 16606, NBRC 16606, NRIC 0481, JCM 11195, CIP 107379",1,Acetobacter orientalis,1231341.3,10
,,,,,146474.1,
,,,,,2899144674,
,,,,,GCA_000963965,
,,,,,GCA_007989335,
11,,"DSM 11825, LTH 2458, CIP 105762",1,Acetobacter pomorum,2828617574,10
,,,,,65959.23,
14,9H-2,"DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378",1,Acetobacter syzygii,1231343.3,10
,,,,,146476.13,
,,,,,2905254764,
,,,,,GCA_000964225,
,,,,,GCA_007989285,
5409,"Z-4391, Z-S11",DSM 8239,1,Acetobacterium bakii,2654587740,20
,,,,,52689.1,
,,,,,52689.11,
,,,,,GCA_001263355,
,,,,,GCA_008086625,
5407,"Z-4092, Z-B12",DSM 8237,1,Acetobacterium paludosum,52693.4,20
,,,,,GCA_008086595,
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,Achromobacter aloeverae,2881412998,20.0-42.0
,,,,,GCA_004121055,
318,"12, 55B","DSM 30026, ATCC 15173, NCTC 8582, CCUG 407, LMG 1231, CIP 77.15, JCM 5490, LMG 3510, CECT 449, BCRC 12838, BCRC 14342, CCM 3427, CGMCC 1.1800, IAM 12370, IFO 15125, JCM 9657, NBRC 15125, NCIMB 11961, VTT E-991293, NCIB 11961",1,Achromobacter denitrificans,1255278.4,15-41
,,,,,2731957627,5
,,,,,2811995195,
,,,,,32002.3,
,,,,,32002.36,
,,,,,32002.39,
,,,,,GCA_001571365,
,,,,,GCA_900444675,
,,,,,GCA_902859715,
136807,Aulb.court,"CIP 60.83, CCUG 61949, LMG 1860, JCM 20672, IAM 12595",0,Achromobacter denitrificans,32002.37,15-37
,,,,,GCA_902859985,5
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84, Gilardi 3038",1,Achromobacter insolitus,217204.13,15-37
,,,,,217204.3,5
,,,,,217204.5,
,,,,,2751185845,
,,,,,2855745187,
,,,,,GCA_001971645,
,,,,,GCA_002209555,
,,,,,GCA_902859615,
136829,,"CIP 60.81, ATCC 13138, JCM 20671, IAM 12594, LMG 3415, JCM 9658",0,Achromobacter mucicolens,1389922.7,15-41
,,,,,GCA_902859995,5
