"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."
"When using BacDive for research please cite our paper https://doi.org/10.1093/nar/gkae959"

ID,designation_header,strain_number_header,is_type_strain_header,species,domain,phylum,class,genus,"Genome seq. accession number"
159652,R-68213,"DSM 105287, LMG 29911",1,"Abditibacterium utsteinense",Bacteria,Abditibacteriota,Abditibacteriia,Abditibacterium,1960156.3
,,,,,,,,,GCA_002973605
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,"Abiotrophia defectiva",Bacteria,Bacillota,Bacilli,Abiotrophia,2562617177
,,,,,,,,,46125.34
,,,,,,,,,592010.4
,,,,,,,,,GCA_000160075
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,"Absicoccus porci",Bacteria,Bacillota,Erysipelotrichia,Absicoccus,GCA_003725415
,,,,,,,,,RJQC00000000
170183,MT3330,"MCCC 1K06012, KCTC 82823",1,"Abyssalbus ytuae",Bacteria,Bacteroidota,Flavobacteriia,Abyssalbus,GCA_022807975
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,"Abyssibacter profundi",Bacteria,Pseudomonadota,Gammaproteobacteria,Abyssibacter,2831460164
,,,,,,,,,GCA_003151135
132558,,"DSM 29158, CCTCC AB 2014213, YIM M12140, JCM 30296",1,"Abyssicoccus albus",Bacteria,Bacillota,Bacilli,Abyssicoccus,1817405.3
,,,,,,,,,2786546168
,,,,,,,,,GCA_003815035
164056,,"JCM 31420, KCTC 15524",1,"Abyssisolibacter fermentans",Bacteria,Bacillota,Clostridia,Abyssisolibacter,GCA_001559865
132478,L81,"DSM 29592, JCM 30920",1,"Vallitalea guaymasensis",Bacteria,Bacillota,Clostridia,Vallitalea,1185412.3
,,,,,,,,,GCA_003313305
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,"Acanthopleuribacter pedis",Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacter,442870.4
,,,,,,,,,GCA_017377855
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,"Acaricomes phytoseiuli",Bacteria,Actinomycetota,Actinomycetes,Acaricomes,1120917.3
,,,,,,,,,2517572146
,,,,,,,,,GCA_000376245
160325,SAP-6,"DSM 104038, KCTC 52622",1,"Acerihabitans arboris",Bacteria,Pseudomonadota,Gammaproteobacteria,Acerihabitans,GCA_010131535
169741,"CLA-AA-M01, SCP101-BHI2-D7","DSM 110981, JCM 36051",0,"Acetatifactor aquisgranensis",Bacteria,Bacillota,Clostridia,Acetatifactor,GCA_943193215
18089,CT-m2,"DSM 23669, ATCC BAA-2170",1,"Acetatifactor muris",Bacteria,Bacillota,Clostridia,Acetatifactor,GCA_024623325
164491,HSLZ-75,"JCM 33270, CICC 6269",1,"Acetilactobacillus jinshanensis",Bacteria,Bacillota,Bacilli,Acetilactobacillus,GCA_004359375
6338,"12185, 139 B","DSM 5522, ATCC 43876",1,"Acetitomaculum ruminis",Bacteria,Bacillota,Clostridia,Acetitomaculum,1120918.3
,,,,,,,,,2651870361
,,,,,,,,,GCA_900112085
2838,Z-7026,"DSM 17461, VKM B-2349",1,"Acetivibrio alkalicellulosi",Bacteria,Bacillota,Clostridia,Acetivibrio,2509887034
,,,,,,,,,320502.3
,,,,,,,,,GCA_008125075
17674,CD2,"DSM 1870, ATCC 33288, NRC 2248",1,"Acetivibrio cellulolyticus",Bacteria,Bacillota,Clostridia,Acetivibrio,2510461053
,,,,,,,,,509191.4
,,,,,,,,,GCA_000179595
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,"Acetivibrio clariflavus",Bacteria,Bacillota,Clostridia,Acetivibrio,2507262051
,,,,,,,,,720554.3
,,,,,,,,,GCA_000237085
157972,N2K1,"DSM 107956, CECT 9704",1,"Acetivibrio mesophilus",Bacteria,Bacillota,Clostridia,Acetivibrio,2487273.3
,,,,,,,,,2880951795
,,,,,,,,,GCA_004102745
132679,GGR1,"DSM 101079, CECT 9155",1,"Acetivibrio saccincola",Bacteria,Bacillota,Clostridia,Acetivibrio,1677857.3
,,,,,,,,,2775506833
,,,,,,,,,GCA_002844395
164132,,"JCM 31827, DSM 104321",0,"Acetivibrio saccincola",Bacteria,Bacillota,Clostridia,Acetivibrio,1677857.4
,,,,,,,,,GCA_002969215
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,"Acetivibrio straminisolvens",Bacteria,Bacillota,Clostridia,Acetivibrio,1294263.3
,,,,,,,,,2772190653
,,,,,,,,,GCA_000521465
2729,,"DSM 1237, ATCC 27405, JCM 9322, NCIMB 10682, CECT 593, IAM 13660, LMG 10435, NBRC 103400, NRRL B-4536, VPI 7372",1,"Acetivibrio thermocellus",Bacteria,Bacillota,Clostridia,Acetivibrio,203119.11
,,,,,,,,,640069309
,,,,,,,,,GCA_000015865
2728,LQ8,"DSM 1313",0,"Acetivibrio thermocellus",Bacteria,Bacillota,Clostridia,Acetivibrio,1515.11
,,,,,,,,,2825454334
,,,,,,,,,637887.3
,,,,,,,,,650377924
,,,,,,,,,GCA_000184925
2730,LQR1,"DSM 2360, JCM 9323, ATCC 35609",0,"Acetivibrio thermocellus",Bacteria,Bacillota,Clostridia,Acetivibrio,572545.3
,,,,,,,,,572545.4
,,,,,,,,,645058753
,,,,,,,,,GCA_001692755
