ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Temperature,Kind of temperature
159652,R-68213,"DSM 105287, LMG 29911",1,Abditibacterium utsteinense,1960156.3,20,growth
,,,,,GCA_002973605,,
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,Abiotrophia defectiva,2562617177,25-41,growth
,,,,,46125.34,37,growth
,,,,,592010.4,45,growth
,,,,,GCA_000160075,,
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,Absicoccus porci,GCA_003725415,30-40,growth
,,,,,RJQC00000000,37,growth
,,,,,,37,optimum
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,Abyssibacter profundi,2831460164,Oct-45,growth
,,,,,GCA_003151135,37,growth
,,,,,,37,optimum
132558,,"DSM 29158, CCTCC AB 2014213, YIM M12140, JCM 30296",1,Abyssicoccus albus,1817405.3,28,growth
,,,,,2786546168,,
,,,,,GCA_003815035,,
164056,,"JCM 31420, KCTC 15524",1,Abyssisolibacter fermentans,GCA_001559865,30,growth
132478,L81,"DSM 29592, JCM 30920",1,Vallitalea guaymasensis,1185412.3,15-42,growth
,,,,,GCA_003313305,37,growth
,,,,,,37,optimum
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,Acanthopleuribacter pedis,442870.4,15-30,growth
,,,,,GCA_017377855,25,growth
,,,,,,28,growth
,,,,,,30,optimum
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,Acaricomes phytoseiuli,1120917.3,15-30,growth
,,,,,2517572146,25,growth
,,,,,GCA_000376245,25,optimum
,,,,,,30,growth
160325,SAP-6,"DSM 104038, KCTC 52622",1,Acerihabitans arboris,GCA_010131535,28,growth
169741,"CLA-AA-M01, SCP101-BHI2-D7","DSM 110981, JCM 36051",0,Acetatifactor aquisgranensis,GCA_943193215,37,growth
18089,CT-m2,"DSM 23669, ATCC BAA-2170",1,Acetatifactor muris,GCA_024623325,37,growth
164491,HSLZ-75,"JCM 33270, CICC 6269",1,Acetilactobacillus jinshanensis,GCA_004359375,20-40,growth
,,,,,,35,optimum
,,,,,,37,growth
6338,"12185, 139 B","DSM 5522, ATCC 43876",1,Acetitomaculum ruminis,1120918.3,37,growth
,,,,,2651870361,,
,,,,,GCA_900112085,,
2838,Z-7026,"DSM 17461, VKM B-2349",1,Acetivibrio alkalicellulosi,2509887034,35,growth
,,,,,320502.3,,
,,,,,GCA_008125075,,
17674,CD2,"DSM 1870, ATCC 33288, NRC 2248",1,Acetivibrio cellulolyticus,2510461053,37,growth
,,,,,509191.4,,
,,,,,GCA_000179595,,
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,Acetivibrio clariflavus,2507262051,45-65,growth
,,,,,720554.3,55,growth
,,,,,GCA_000237085,55-60,optimum
,,,,,,57.5,optimum
157972,N2K1,"DSM 107956, CECT 9704",1,Acetivibrio mesophilus,2487273.3,30-50,growth
,,,,,2880951795,45,growth
,,,,,GCA_004102745,45,optimum
132679,GGR1,"DSM 101079, CECT 9155",1,Acetivibrio saccincola,1677857.3,45-65,growth
,,,,,2775506833,55,growth
,,,,,GCA_002844395,60,optimum
164132,,"JCM 31827, DSM 104321",0,Acetivibrio saccincola,1677857.4,55,growth
,,,,,GCA_002969215,,
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,Acetivibrio straminisolvens,1294263.3,50,growth
,,,,,2772190653,50.0-55.0,optimum
,,,,,GCA_000521465,<45.0,growth
,,,,,,>65.0,growth
2729,,"DSM 1237, ATCC 27405, JCM 9322, NCIMB 10682, CECT 593, IAM 13660, LMG 10435, NBRC 103400, NRRL B-4536, VPI 7372",1,Acetivibrio thermocellus,203119.11,55,growth
,,,,,640069309,60,growth
,,,,,GCA_000015865,,
2728,LQ8,DSM 1313,0,Acetivibrio thermocellus,1515.11,60,growth
,,,,,2825454334,,
,,,,,637887.3,,
,,,,,650377924,,
,,,,,GCA_000184925,,
2730,LQR1,"DSM 2360, JCM 9323, ATCC 35609",0,Acetivibrio thermocellus,572545.3,60,growth
,,,,,572545.4,,
,,,,,645058753,,
,,,,,GCA_001692755,,
2731,JW 20,"DSM 4150, ATCC 31549",0,Acetivibrio thermocellus,492476.4,60,growth
22965,YS,DSM 25991,0,Acetivibrio thermocellus,GCA_000255575,60,growth
22966,AD2,DSM 25992,0,Acetivibrio thermocellus,GCA_000255615,60,growth
,,,,,GCA_002564085,,
131392,ST07-YE,"DSM 27512, JCM 19400",1,Acetoanaerobium pronyense,1482736.4,35,growth
,,,,,2913505501,,
,,,,,GCA_017874355,,
2717,HF,"DSM 519, ATCC 12662, CCUG 9281, JCM 1433, NCIMB 10654, BCRC 14485",1,Acetoanaerobium sticklandii,499177.3,35,growth
,,,,,649633033,37,growth
,,,,,GCA_000196455,,
2,L 40,"DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,Acetobacter aceti,2547132264,10,growth
,,,,,2784746776,22-30,growth
,,,,,887700.1,25,growth
,,,,,887700.6,30,growth
,,,,,887700.7,37,growth
,,,,,GCA_000193495,41,growth
,,,,,GCA_000963905,45,growth
,,,,,GCA_004341595,,
135985,"58, A-34","CIP 102998, IAM 1802, IFO 3281, JCM 20268, LMG 1512, NBRC 3281",0,Acetobacter aceti,435.8,25,growth
,,,,,GCA_002723895,30,growth
162842,,"JCM 20276, IAM 1814, LMG 1372, LMG 1695",0,Acetobacter aceti,435.23,25,growth
,,,,,GCA_014218315,,
163302,,"JCM 25076, LMG 1590",1,Acetobacter pasteurianus,2663762691,30,growth
,,,,,481146.3,,
,,,,,481146.6,,
,,,,,481146.7,,
,,,,,481146.8,,
,,,,,GCA_001766235,,
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,Acetobacter cerevisiae,178900.5,10,growth
,,,,,2724679583,22-41,growth
,,,,,GCA_001580535,28,growth
,,,,,,30,growth
,,,,,,45,growth
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,Acetobacter cibinongensis,1231339.3,10,growth
,,,,,146475.5,22-41,growth
,,,,,2901808964,30,growth
,,,,,GCA_000963925,45,growth
,,,,,GCA_007989305,,
10,,"DSM 4493, ATCC 23753, CCUG 18130, IAM 14359, LMG 1626, NCIMB 8935, JCM 21172, BCRC 12953, CCM 3613, IFO 13751, NBRC 13751",1,Acetobacter estunensis,104097.5,25,growth
,,,,,GCA_011516945,28,growth
23,"985, R-36330","DSM 19596, LMG 24244",1,Acetobacter fabarum,483199.11,28,growth
,,,,,GCA_011516925,,
22,"430A, R-29337","DSM 18895, LMG 23848",1,Acetobacter ghanensis,2675903422,30,growth
,,,,,431306.8,,
,,,,,GCA_011516865,,
18,5H-1,"DSM 15552, IFO 16471, JCM 10948, NBRC 16471, NRIC 0313, BCRC 17167, LMG 19824",1,Acetobacter indonesiensis,104101.1,30,growth
,,,,,1231340.3,,
,,,,,2899141447,,
,,,,,GCA_000963945,,
,,,,,GCA_007991075,,
23489,R-49742,"DSM 27328, LMG 27439",1,Acetobacter lambici,1332824.3,28,growth
,,,,,GCA_011516885,,
9,,"DSM 4491, ATCC 12875, CCUG 18127, IMET 10734, JCM 17121, LMD 31.2, LMG 1579, LMG 1617, NCIMB 8620, CCM 3606, ICMP 8610, IFO 13753, NBRC 13753, NCCB 31002",1,Acetobacter lovaniensis,104100.5,28,growth
,,,,,104100.6,,
,,,,,2861688124,,
,,,,,GCA_011516875,,
,,,,,GCA_014207635,,
