"sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note","group"
"MG165.1",1.54791398873037,0.0681694999005823,0.424632779825406,7.24773876654503,1.63234496603146,80.9758119019606,80.7305,0.0668492398035639,"","MG1655"
"MG165.2",1.59204810528176,0.0688598461402671,0.425751067838863,7.27300050750451,1.62805740941156,83.2478975980098,82.9976666666666,0.0682231730850938,"","MG1655"
"MG165.3",1.58278961257077,0.0860870857160084,0.377811704004741,7.55842186212973,1.83463660128233,82.2421007201638,81.9765,0.0808982498963332,"","MG1655"
"MG165.4",1.60665844228117,0.091763800425763,0.370192437873143,7.57412360803747,1.87239692021335,83.4396822853479,83.1533333333333,0.084906063230608,"","MG1655"
"MG165.5",1.6729518248655,0.102715410350491,0.350410278957434,7.7823610649697,1.97810173440758,86.4974299134434,86.1685,0.0850220564938912,"","MG1655"
"MG165.6",1.70013942355946,0.0831175535809469,0.38522814463882,7.70474720459283,1.79931604221136,88.1212933032083,87.8096666666667,0.0699774923132946,"","MG1655"
"MG165.7",1.69766767497921,0.0833609886597517,0.381752134106377,7.762839141598,1.81569955642159,87.8915426110463,87.5735,0.0638788532051579,"","MG1655"
"MG165.8",1.67109968062318,0.0727563090457966,0.423763469476823,7.29087705063004,1.63569356607284,87.3496247727665,87.0620000000001,0.0595800996832026,"","MG1655"
"MG165.9",1.68692555099383,0.0861660804130016,0.379444206564527,7.70062320791976,1.82674334874071,87.4297565344709,87.1161666666667,0.0638059319586144,"","MG1655"
"MG165.10",1.69884784862777,0.084817498730251,0.380332841886769,7.74581485976096,1.82247522228518,87.9768592513242,87.6531666666666,0.0637830850913245,"","MG1655"
"MG165.11",1.65542268316643,0.081132350868409,0.399517708269409,7.42264491190177,1.73495984336327,86.2777177543908,85.9273333333334,0.0757687998243936,"","MG1655"
"MG165.12",1.69642767203059,0.082440146282081,0.377569711582882,7.87772561819874,1.83581245872205,87.6323647792333,87.3053333333333,0.0612326834053253,"","MG1655"
"MG165.13",1.68690787570543,0.0799024641294888,0.377453077852697,7.95150766246967,1.83637972831805,87.0218429620453,86.6998333333333,0.0623437594350205,"","MG1655"
"MG165.14",1.70602151362659,0.0715618554092366,0.404838814205415,7.72778016419423,1.71215594018671,88.4282770526932,88.1261666666666,0.0611653350426625,"","MG1655"
"MG165.15",1.70878164774101,0.0800859246196997,0.386390566005382,7.79634637237767,1.7939029612599,88.4227703058063,88.1276666666667,0.0586646859384217,"","MG1655"
"MG165.16",1.78702821806722,0.126920923233876,0.300632465997351,8.55221429709952,2.30562982697302,90.9050479997769,90.5085,0.0779400429257746,"","MG1655"
"SL598R.1",1.57394152691502,0.0536141954357508,0.401695544479055,8.32687121640636,1.72555356933038,80.6700376641011,80.3798333333333,0.0633394067025877,"","SL598R"
"SL598R.2",1.5720537449853,0.0467417617574429,0.432647837461864,8.05578099411375,1.60210480798033,81.025410911194,80.7626666666667,0.0811227555175604,"","SL598R"
"SL598R.3",1.5853730450223,0.0614818047597869,0.371430795058088,8.64301274499134,1.8661543140265,80.7227035724408,80.4028333333334,0.0608220073608227,"","SL598R"
"SL598R.4",1.60304446549387,0.0726951231200316,0.341228180293735,8.92944133164972,2.03133041345903,81.1160071189314,80.7675,0.0653083996323158,"","SL598R"
"SL598R.5",1.66035536347713,0.0498792304884644,0.421540519902386,8.2428148458921,1.64431922397509,85.2617283672329,84.9611666666667,0.077686863159585,"","SL598R"
"SL598R.6",1.61080495570673,0.0626407925055947,0.367543484881892,8.72660930116891,1.88589162662667,81.8806635627562,81.5458333333333,0.0636447414840517,"","SL598R"
"SL598R.7",1.60328143193034,0.067243586168892,0.361211730431153,8.66151248149351,1.91894980745111,81.5854389231285,81.2615,0.0600287947841236,"","SL598R"
"SL598R.8",1.60967292710316,0.0553166482111204,0.398590019967527,8.36885693915499,1.73899783194877,82.4314740313834,82.1403333333334,0.096498573784343,"","SL598R"
"SL598R.9",1.52280653594464,0.0477522635060188,0.425208865423148,8.067620110616,1.63013341659788,78.4612637532702,78.2176666666667,0.0916855204218612,"","SL598R"
"SL598R.10",1.49956072897817,0.0450535065011584,0.425516922062871,8.16553102024127,1.62895326747436,77.1215779035745,76.8721666666667,0.0937006911821453,"","SL598R"
"SL598R.11",1.59156033830277,0.0741370885482545,0.340826871364795,8.85743839825496,2.03372221733671,80.6432021602113,80.3153333333333,0.0765441244863296,"","SL598R"
"SL598R.12",1.56600197104888,0.0724805093838562,0.339804247561271,8.9038743325928,2.03984260212922,79.2762382394529,78.9541666666667,0.076260625582247,"","SL598R"
"SL598R.13",1.5990728595503,0.0643087058388978,0.36581354254596,8.67227868108707,1.89481006016298,81.3643127821772,81.0661666666667,0.0852719520235564,"","SL598R"
"SL598R.14",1.60993760880392,0.0604873949555119,0.372603749955703,8.70420775729745,1.86027966879654,81.8809139974738,81.5516666666667,0.0681743094943235,"","SL598R"
"SL598R.15",1.66227066551352,0.0710514518080062,0.358040955217215,8.68294944810031,1.93594383675865,84.545926571015,84.1795,0.0678913730233372,"","SL598R"
"SL598R.16",1.66177912446242,0.0610245936806196,0.383641534691929,8.51564057947479,1.80675739689279,84.8396464653043,84.5073333333333,0.0638306915076573,"","SL598R"
