MG165-1,MG165-2,MG165-3,MG165-4,MG165-5,MG165-6,MG165-7,MG165-8,MG165-9,MG165-10,MG165-11,MG165-12, MG165-13,MG165-14,MG165-15,MG165-16,SL598R-1,SL598R-2,SL598R-3,SL598R-4,SL598R-5,SL598R-6,SL598R-7,SL598R-8,SL598R-9,SL598R-10,SL598R-11,SL598R-12,SL598R-13,SL598R-14,SL598R-15,SL598R-16,time
0.19,0.172,0.179,0.182,0.178,0.187,0.213,0.196,0.173,0.197,0.218,0.184,0.22,0.182,0.198,0.217,0.19,0.197,0.17,0.178,0.183,0.192,0.195,0.181,0.171,0.19,0.189,0.198,0.223,0.203,0.185,0.191,0
0.189,0.171,0.176,0.18,0.175,0.186,0.21,0.192,0.168,0.193,0.219,0.185,0.218,0.179,0.197,0.208,0.187,0.195,0.168,0.175,0.184,0.192,0.195,0.18,0.167,0.187,0.187,0.198,0.21,0.199,0.186,0.188,20
0.19,0.174,0.179,0.182,0.179,0.188,0.216,0.198,0.171,0.199,0.221,0.185,0.219,0.18,0.195,0.217,0.187,0.191,0.167,0.174,0.182,0.188,0.191,0.179,0.17,0.188,0.188,0.197,0.219,0.197,0.185,0.188,40
0.197,0.18,0.186,0.188,0.185,0.193,0.221,0.202,0.177,0.203,0.224,0.19,0.223,0.185,0.2,0.221,0.188,0.192,0.167,0.173,0.182,0.189,0.191,0.179,0.171,0.189,0.19,0.199,0.218,0.197,0.186,0.189,60
0.206,0.19,0.196,0.198,0.195,0.201,0.23,0.212,0.185,0.21,0.234,0.2,0.229,0.193,0.207,0.227,0.19,0.194,0.169,0.176,0.185,0.192,0.193,0.182,0.173,0.192,0.192,0.201,0.219,0.2,0.188,0.192,80
0.222,0.206,0.211,0.212,0.207,0.216,0.241,0.223,0.198,0.221,0.247,0.216,0.245,0.207,0.223,0.231,0.191,0.194,0.172,0.178,0.19,0.197,0.199,0.185,0.175,0.194,0.193,0.202,0.216,0.201,0.193,0.193,100
0.244,0.228,0.233,0.236,0.229,0.238,0.261,0.246,0.218,0.239,0.268,0.238,0.265,0.227,0.242,0.253,0.195,0.199,0.176,0.181,0.193,0.2,0.203,0.189,0.179,0.199,0.198,0.205,0.219,0.204,0.198,0.195,120
0.27,0.262,0.266,0.269,0.262,0.268,0.295,0.28,0.249,0.277,0.296,0.267,0.295,0.258,0.276,0.289,0.2,0.207,0.181,0.186,0.196,0.203,0.205,0.194,0.183,0.205,0.202,0.211,0.23,0.209,0.2,0.201,140
0.31,0.302,0.305,0.308,0.298,0.303,0.326,0.316,0.284,0.31,0.329,0.301,0.328,0.291,0.307,0.322,0.208,0.219,0.189,0.193,0.204,0.211,0.211,0.201,0.192,0.213,0.209,0.218,0.236,0.216,0.207,0.207,160
0.38,0.38,0.377,0.385,0.368,0.372,0.394,0.384,0.352,0.379,0.399,0.37,0.39,0.355,0.373,0.393,0.217,0.226,0.199,0.201,0.213,0.22,0.221,0.213,0.202,0.222,0.218,0.225,0.245,0.224,0.217,0.218,180
0.453,0.461,0.458,0.466,0.454,0.457,0.474,0.463,0.428,0.454,0.48,0.456,0.471,0.441,0.454,0.471,0.23,0.238,0.211,0.213,0.228,0.236,0.234,0.227,0.216,0.235,0.229,0.237,0.252,0.238,0.232,0.232,200
0.533,0.549,0.543,0.55,0.54,0.543,0.562,0.552,0.507,0.539,0.561,0.543,0.551,0.523,0.54,0.561,0.249,0.26,0.23,0.232,0.246,0.25,0.249,0.242,0.233,0.253,0.246,0.253,0.274,0.252,0.246,0.248,220
0.613,0.632,0.625,0.625,0.623,0.625,0.639,0.627,0.582,0.617,0.637,0.627,0.637,0.608,0.622,0.641,0.275,0.284,0.255,0.256,0.27,0.272,0.273,0.265,0.257,0.275,0.267,0.271,0.296,0.272,0.267,0.269,240
0.684,0.705,0.703,0.701,0.705,0.705,0.716,0.71,0.655,0.695,0.716,0.715,0.716,0.691,0.707,0.723,0.31,0.322,0.288,0.287,0.304,0.302,0.304,0.299,0.29,0.307,0.296,0.3,0.324,0.303,0.299,0.299,260
0.743,0.764,0.763,0.773,0.772,0.766,0.778,0.773,0.717,0.75,0.772,0.784,0.775,0.756,0.77,0.786,0.352,0.37,0.332,0.327,0.348,0.344,0.346,0.342,0.329,0.347,0.335,0.338,0.362,0.342,0.338,0.34,280
0.81,0.824,0.825,0.838,0.836,0.833,0.843,0.842,0.777,0.803,0.825,0.842,0.834,0.817,0.831,0.852,0.398,0.416,0.379,0.372,0.396,0.387,0.39,0.386,0.371,0.391,0.375,0.376,0.403,0.384,0.38,0.383,300
0.884,0.891,0.892,0.905,0.908,0.904,0.912,0.915,0.841,0.865,0.875,0.91,0.9,0.887,0.903,0.924,0.456,0.481,0.431,0.415,0.445,0.429,0.436,0.43,0.421,0.434,0.414,0.417,0.444,0.427,0.422,0.424,320
0.952,0.956,0.959,0.969,0.972,0.97,0.975,0.98,0.902,0.922,0.931,0.985,0.963,0.952,0.974,0.995,0.536,0.563,0.511,0.49,0.528,0.504,0.513,0.508,0.498,0.502,0.481,0.481,0.504,0.497,0.491,0.498,340
0.993,0.998,1.013,1.019,1.021,1.016,1.023,1.029,0.955,0.97,0.981,1.043,1.024,1.008,1.023,1.046,0.621,0.639,0.595,0.573,0.62,0.587,0.599,0.597,0.579,0.584,0.557,0.557,0.581,0.577,0.571,0.577,360
1.034,1.042,1.056,1.061,1.069,1.061,1.068,1.077,1.001,1.014,1.021,1.081,1.068,1.053,1.069,1.097,0.689,0.705,0.667,0.652,0.703,0.662,0.684,0.679,0.647,0.66,0.634,0.635,0.665,0.656,0.652,0.65,380
1.075,1.079,1.103,1.105,1.113,1.103,1.11,1.121,1.048,1.054,1.054,1.114,1.11,1.097,1.111,1.141,0.748,0.757,0.726,0.714,0.767,0.726,0.749,0.74,0.705,0.722,0.692,0.696,0.73,0.716,0.715,0.71,400
1.121,1.119,1.146,1.142,1.154,1.142,1.149,1.16,1.092,1.097,1.087,1.153,1.153,1.142,1.152,1.187,0.805,0.799,0.78,0.771,0.833,0.782,0.81,0.801,0.759,0.779,0.747,0.75,0.787,0.772,0.773,0.766,420
