"sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note","group"
"MG165.1",1.45194157716268,0.0641840664982687,0.51157026041224,6.00834267552507,1.35494033605743,21.1562788549194,20.9723333333333,0.0593399114609764,"","MG1655"
"MG165.2",1.39716895862432,0.0622806044929261,0.538296481723062,5.69380070011133,1.28766804928989,20.8020860884366,20.6426666666667,0.0577037837676476,"","MG1655"
"MG165.3",1.38262653690465,0.0522417747594966,0.58180756561957,5.56428140152244,1.19136845500077,20.7897890774644,20.6351666666667,0.0495350738868889,"","MG1655"
"MG165.4",1.38953494882135,0.0635725925483104,0.535768758700231,5.66981797536296,1.29374318547709,20.7180286394417,20.5313333333333,0.065221599901209,"","MG1655"
"MG165.5",1.45953741583298,0.0663696424321412,0.521085919483995,5.84183055691842,1.33019748690645,21.508284980411,21.3196666666667,0.0634866846611644,"","MG1655"
"MG165.6",1.38412943780157,0.057735837571452,0.551788583241233,5.68032933659606,1.256182533695,20.6367944918835,20.4631666666667,0.0583909800817833,"","MG1655"
"MG165.7",1.37071401337302,0.0528020105695504,0.566997065454946,5.67419987543163,1.22248812699547,20.455908992837,20.3036666666667,0.0505462705334317,"","MG1655"
"MG165.8",1.41431526878016,0.0640471892337148,0.528657633152824,5.76637523899749,1.31114569636711,20.9507447698675,20.7613333333333,0.0650163817878194,"","MG1655"
"MG165.9",1.37178291182513,0.0619612415345625,0.518750820745464,5.8817010062143,1.33618522196045,20.1607724529968,19.9838333333333,0.0591814322220096,"","MG1655"
"MG165.10",1.41368287845499,0.0611275786335192,0.518351119875036,5.97430514784368,1.33721555521487,20.6511305435453,20.47,0.05739502003564,"","MG1655"
"MG165.11",1.39157755360301,0.0705997311212624,0.479309533235097,6.1110847517856,1.44613685415675,20.1067674417171,19.9118333333333,0.0672451285371341,"","MG1655"
"MG165.12",1.3398055736215,0.050769545968227,0.595318912177119,5.43297583944668,1.1643291795066,20.3235040445284,20.1498333333333,0.0613430865232931,"","MG1655"
"X.MG165.13",1.39886174843605,0.0526783972182874,0.557460167063082,5.81355128166503,1.24340216846652,20.6817686670328,20.507,0.0528177561214929,"","MG1655"
"MG165.14",1.43021985351333,0.0566717175708798,0.549023814307733,5.80644625974456,1.26250840582196,21.1488044083338,20.967,0.0581024203711042,"","MG1655"
"MG165.15",1.43943147400188,0.0604273132775328,0.532080446984671,5.87820075593761,1.30271124317394,21.1719973101771,20.9876666666667,0.061247264284599,"","MG1655"
"MG165.16",1.49666233161539,0.0634295214803746,0.522273668731482,5.96958773377146,1.32717236586613,21.8737959580686,21.6771666666667,0.0618849884166435,"","MG1655"
"SL598R.1",1.42344750934535,0.0332214658425701,0.458900308451303,8.13689887944327,1.51045263599665,17.7720726649079,17.5198333333333,0.0675305322439939,"","SL598R"
"SL598R.2",1.20317555774534,0.0228587546630103,0.532195608774681,7.41119226349238,1.30242934953153,15.9072491213675,15.7246666666667,0.0493844254130614,"","SL598R"
"SL598R.3",1.43213113213495,0.0327860639493524,0.459384491154358,8.17127291947784,1.50886064703268,17.8328472859625,17.5833333333333,0.0660853284599436,"","SL598R"
"SL598R.4",1.39930149117702,0.0300370107394064,0.468537357677446,8.15217532576242,1.47938508894125,17.4552137744822,17.2101666666667,0.0659065568285985,"","SL598R"
"SL598R.5",1.53054152970281,0.032824074965439,0.46660938724856,8.18786633252843,1.48549771929623,19.0379042458389,18.7733333333333,0.0698910222129184,"","SL598R"
"SL598R.6",1.40159351278609,0.0322108220951972,0.455343726468414,8.23512573594542,1.52225042373133,17.3630962681485,17.1201666666667,0.0658231554505008,"","SL598R"
"SL598R.7",1.47061341106394,0.0298303232554507,0.473396149320566,8.19063827672572,1.4642011379999,18.2922002060754,18.0438333333333,0.0657789487982341,"","SL598R"
"SL598R.8",1.45441309047228,0.0331795865360238,0.458232533988129,8.19964829237104,1.5126537928839,18.0694159625963,17.8126666666667,0.0694035006361706,"","SL598R"
"SL598R.9",1.35632372376932,0.0308734810050403,0.465430038896519,8.07771217335321,1.48926180657208,17.0159008450851,16.7888333333333,0.0614306347967996,"","SL598R"
"SL598R.10",1.35455100707164,0.0287560151092791,0.476726385155214,8.03588956929776,1.45397276539302,17.0549479989569,16.829,0.061652326395441,"","SL598R"
"SL598R.11",1.35613982939561,0.0306949043414902,0.452853338160972,8.3148483157591,1.53062177563889,16.6933575224127,16.4588333333333,0.0626409859678368,"","SL598R"
"SL598R.12",1.34980065370545,0.0288688186294286,0.459571439787565,8.31933905960464,1.50824685903099,16.6129967256534,16.3801666666667,0.0614144263852049,"","SL598R"
"SL598R.13",1.38680419830759,0.0311994776000261,0.456051246956769,8.27012664954519,1.51988879579941,17.1330210757219,16.8985,0.0649515420471777,"","SL598R"
"SL598R.14",1.41321107846941,0.0309777220652279,0.454063514064741,8.36488161561252,1.52654234284307,17.3276887069581,17.0795,0.0652048004432295,"","SL598R"
"SL598R.15",1.42168132280906,0.0326846002250769,0.450137846601945,8.32952169131857,1.5398553705103,17.4782430519011,17.2285,0.0667700655536292,"","SL598R"
"SL598R.16",1.36572233095094,0.031394853600333,0.454960436059509,8.24146102173593,1.52353287367889,16.910078874819,16.667,0.0651557733664026,"","SL598R"
