EcoliMG1655_noIPTG_37_1,EcoliMG1655_noIPTG_37_2,EcoliMG1655_noIPTG_37_3,EcoliMG1655_noIPTG_37_4,EcoliMG1655_noIPTG_37_5,SL598R_noIPTG_37_1,SL598R_noIPTG_37_2,SL598R_noIPTG_37_3,SL598R_noIPTG_37_4,SL598R_noIPTG_37_5,WTIF2_30m_noIPTG_37_1,WTIF2_30m_noIPTG_37_2,WTIF2_30m_noIPTG_37_3,WTIF2_30m_noIPTG_37_4,WTIF2_30m_noIPTG_37_5,time
0.141,0.126,0.18,0.124,0.132,0.159,0.124,0.134,0.138,0.138,0.152,0.12,0.155,0.169,0.147,0
0.137,0.138,0.163,0.126,0.124,0.144,0.117,0.129,0.126,0.138,0.142,0.116,0.142,0.18,0.141,15
0.144,0.128,0.178,0.135,0.135,0.164,0.126,0.138,0.155,0.139,0.165,0.122,0.146,0.185,0.151,30
0.144,0.129,0.179,0.136,0.135,0.155,0.125,0.137,0.158,0.14,0.162,0.122,0.144,0.182,0.15,45
0.14,0.141,0.168,0.131,0.129,0.143,0.121,0.132,0.132,0.138,0.14,0.118,0.137,0.179,0.141,60
0.153,0.135,0.185,0.14,0.142,0.159,0.132,0.144,0.161,0.145,0.16,0.123,0.145,0.183,0.15,75
0.162,0.142,0.191,0.146,0.148,0.178,0.138,0.151,0.169,0.152,0.161,0.123,0.145,0.182,0.151,90
0.17,0.152,0.2,0.154,0.15,0.18,0.149,0.162,0.177,0.16,0.16,0.125,0.147,0.183,0.152,105
0.18,0.162,0.207,0.167,0.161,0.198,0.162,0.178,0.192,0.174,0.161,0.126,0.148,0.183,0.152,120
0.195,0.177,0.222,0.18,0.178,0.212,0.181,0.198,0.208,0.21,0.159,0.129,0.149,0.183,0.155,135
0.213,0.196,0.239,0.2,0.213,0.238,0.207,0.228,0.236,0.216,0.162,0.128,0.15,0.184,0.155,150
0.246,0.232,0.267,0.227,0.222,0.261,0.24,0.262,0.268,0.246,0.166,0.135,0.153,0.188,0.157,165
0.303,0.277,0.312,0.271,0.26,0.302,0.265,0.285,0.288,0.271,0.166,0.174,0.155,0.188,0.16,180
0.393,0.332,0.38,0.336,0.34,0.344,0.3,0.316,0.323,0.322,0.172,0.178,0.158,0.19,0.163,195
0.409,0.389,0.394,0.368,0.366,0.377,0.335,0.35,0.357,0.332,0.18,0.142,0.161,0.195,0.167,210
0.454,0.437,0.424,0.392,0.373,0.437,0.387,0.394,0.404,0.379,0.187,0.141,0.166,0.197,0.171,225
0.504,0.499,0.482,0.457,0.423,0.499,0.441,0.45,0.469,0.427,0.196,0.144,0.172,0.2,0.175,240
0.531,0.525,0.495,0.478,0.444,0.543,0.495,0.497,0.486,0.486,0.181,0.148,0.172,0.199,0.174,255
0.588,0.563,0.567,0.536,0.493,0.64,0.555,0.556,0.568,0.533,0.208,0.159,0.191,0.21,0.192,270
0.609,0.603,0.607,0.587,0.566,0.68,0.635,0.622,0.645,0.597,0.223,0.167,0.202,0.22,0.203,285
0.65,0.621,0.6,0.608,0.594,0.716,0.64,0.626,0.659,0.62,0.24,0.177,0.213,0.232,0.212,300
0.681,0.653,0.632,0.617,0.598,0.734,0.668,0.639,0.67,0.619,0.26,0.197,0.228,0.242,0.231,315
0.701,0.674,0.647,0.636,0.615,0.765,0.684,0.645,0.67,0.625,0.283,0.209,0.25,0.26,0.248,330
