ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Oxygen tolerance
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,Abiotrophia defectiva,2562617177,anaerobe
,,,,,46125.34,
,,,,,592010.4,
,,,,,GCA_000160075,
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,Absicoccus porci,GCA_003725415,anaerobe
,,,,,RJQC00000000,
18089,CT-m2,"DSM 23669, ATCC BAA-2170",1,Acetatifactor muris,GCA_024623325,anaerobe
6338,"12185, 139 B","DSM 5522, ATCC 43876",1,Acetitomaculum ruminis,1120918.3,anaerobe
,,,,,2651870361,
,,,,,GCA_900112085,
2838,Z-7026,"DSM 17461, VKM B-2349",1,Acetivibrio alkalicellulosi,2509887034,anaerobe
,,,,,320502.3,
,,,,,GCA_008125075,
17674,CD2,"DSM 1870, ATCC 33288, NRC 2248",1,Acetivibrio cellulolyticus,2510461053,anaerobe
,,,,,509191.4,
,,,,,GCA_000179595,
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,Acetivibrio clariflavus,2507262051,anaerobe
,,,,,720554.3,
,,,,,GCA_000237085,
157972,N2K1,"DSM 107956, CECT 9704",1,Acetivibrio mesophilus,2487273.3,anaerobe
,,,,,2880951795,
,,,,,GCA_004102745,
132679,GGR1,"DSM 101079, CECT 9155",1,Acetivibrio saccincola,1677857.3,anaerobe
,,,,,2775506833,
,,,,,GCA_002844395,
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,Acetivibrio straminisolvens,1294263.3,anaerobe
,,,,,2772190653,
,,,,,GCA_000521465,
2729,,"DSM 1237, ATCC 27405, JCM 9322, NCIMB 10682, CECT 593, IAM 13660, LMG 10435, NBRC 103400, NRRL B-4536, VPI 7372",1,Acetivibrio thermocellus,203119.11,anaerobe
,,,,,640069309,
,,,,,GCA_000015865,
2728,LQ8,DSM 1313,0,Acetivibrio thermocellus,1515.11,anaerobe
,,,,,2825454334,
,,,,,637887.3,
,,,,,650377924,
,,,,,GCA_000184925,
2730,LQR1,"DSM 2360, JCM 9323, ATCC 35609",0,Acetivibrio thermocellus,572545.3,anaerobe
,,,,,572545.4,
,,,,,645058753,
,,,,,GCA_001692755,
2731,JW 20,"DSM 4150, ATCC 31549",0,Acetivibrio thermocellus,492476.4,anaerobe
22965,YS,DSM 25991,0,Acetivibrio thermocellus,GCA_000255575,anaerobe
22966,AD2,DSM 25992,0,Acetivibrio thermocellus,GCA_000255615,anaerobe
,,,,,GCA_002564085,
131392,ST07-YE,"DSM 27512, JCM 19400",1,Acetoanaerobium pronyense,1482736.4,anaerobe
,,,,,2913505501,
,,,,,GCA_017874355,
2717,HF,"DSM 519, ATCC 12662, CCUG 9281, JCM 1433, NCIMB 10654, BCRC 14485",1,Acetoanaerobium sticklandii,499177.3,anaerobe
,,,,,649633033,
,,,,,GCA_000196455,
5409,"Z-4391, Z-S11",DSM 8239,1,Acetobacterium bakii,2654587740,anaerobe
,,,,,52689.1,
,,,,,52689.11,
,,,,,GCA_001263355,
,,,,,GCA_008086625,
5410,MC,DSM 11527,0,Acetobacterium dehalogenans,1068975.11,anaerobe
,,,,,2513237154,
,,,,,GCA_000472665,
5407,"Z-4092, Z-B12",DSM 8237,1,Acetobacterium paludosum,52693.4,anaerobe
,,,,,GCA_008086595,
5401,C,"DSM 1911, ATCC 43740, JCM 2380",1,Acetobacterium wieringae,2690315663,anaerobe
,,,,,52694.3,
,,,,,GCA_001766835,
5402,,"DSM 1030, ATCC 29683, JCM 2381, WB 1",1,Acetobacterium woodii,2512047040,anaerobe
,,,,,931626.3,
,,,,,GCA_000247605,
5978,Z-7288,"DSM 5501, ATCC 49924",1,Acetohalobium arabaticum,574087.3,anaerobe
,,,,,648028002,
,,,,,GCA_000144695,
1580,P,"DSM 20664, ATCC 43122",1,Acetomicrobium flavidum,2695420966,anaerobe
,,,,,49896.3,
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,Acetomicrobium mobile,2509601011,anaerobe
,,,,,891968.3,
,,,,,GCA_000266925,
17778,RWcit2,"DSM 13490, ACM 5076",1,Acetomicrobium thermoterrenum,1120987.3,anaerobe
,,,,,2544872.3,
,,,,,2599185146,
,,,,,GCA_900107215,
17111,APO-1,"DSM 6540, ATCC 51454",1,Acetonema longum,1009370.3,anaerobe
,,,,,651324002,
,,,,,GCA_000219125,
168915,,"LMG 30378, CCUG 71558",1,Achromobacter veterisilvae,2069367.3,anaerobe
,,,,,GCA_900496975,
,,,,,UFQC01000000,
17960,,"DSM 2784, Glu 65, CIP 106102",1,Acidaminobacter hydrogenoformans,1120920.3,anaerobe
,,,,,2599185234,
,,,,,GCA_900103005,
98,VR4,"CCUG 9996, CIP 106432, DSM 20731, ATCC 25085",1,Acidaminococcus fermentans,591001.17,anaerobe
,,,,,591001.18,
,,,,,591001.3,
,,,,,646311901,
,,,,,GCA_000025305,
,,,,,GCA_020735645,
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,Acidaminococcus intestini,1120921.3,anaerobe
,,,,,2524614855,
,,,,,GCA_000425045,
16643,,"DSM 3772, JCM 9191, LEI 10",1,Acidianus ambivalens,GCA_009428885,anaerobe
,,,,,GCA_009729015,
16642,So4a,"DSM 3191, NBRC 106462, JCM 8955, IFO 15270, NBRC 15270",1,Acidianus infernus,GCA_009729545,anaerobe
17800,345-15,"DSM 16705, JCM 18335, VKM B-2471",1,Acidilobus saccharovorans,648028003,anaerobe
,,,,,666510.18,
,,,,,GCA_000144915,
12633,"14X, 0179","DSM 4900, ATCC 25562, VPI 0399, CIP 103025, NCIMB 11858",1,Acidipropionibacterium acidipropionici,1111734.3,anaerobe
,,,,,2513237117,
,,,,,GCA_000427845,
12651,29,"CCUG 48883, CIP 103028, NCIMB 8071, DSM 20535, ATCC 4868, NCDO 850, NCIB 8071",1,Acidipropionibacterium jensenii,1122997.3,anaerobe
,,,,,2523533551,
,,,,,GCA_000425285,
12654,15,"DSM 20276, ATCC 4874, CCM 1865, CCUG 28149, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCIB 5966, CGMCC 1.2228, CIP 103029, LMG 16731, NCIMB 5966, VPI 0412, VTT E-79095",1,Acidipropionibacterium thoenii,1122998.3,anaerobe
,,,,,2523231069,
,,,,,GCA_000423445,
158421,JS278,"DSM 106790, VTT E-113202",1,Acidipropionibacterium virtanenii,2834914592,anaerobe
,,,,,GCA_003325455,
23434,T469,DSM 19572,1,Aciduliprofundum boonei,439481.1,anaerobe
,,,,,439481.9,
,,,,,646564501,
,,,,,GCA_000025665,
,,,,,GCA_000151085,
132079,"FC1, FC3","DSM 100580, CSUR P1982",1,Actinobaculum massiliense,2811995073,anaerobe
,,,,,GCA_001457435,
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,Actinobaculum suis,1657.8,anaerobe
,,,,,2675903157,
,,,,,GCA_900102025,
189,R18165,"DSM 19115, CCUG 48064, CIP 108337, KCTC 15232",1,Actinomyces dentalis,1120941.3,anaerobe
,,,,,2523533597,
,,,,,GCA_000429225,
149,Sh8/4303,"DSM 20671, ATCC 43322, NCTC 11490, CCUG 32758, CIP 103126",1,Actinomyces denticolens,2808606642,anaerobe
,,,,,52767.4,
,,,,,52767.5,
,,,,,52767.7,
,,,,,GCA_001995055,
,,,,,GCA_002072185,
,,,,,GCA_900445045,
159,2-606-032,"DSM 6844, ATCC 23860, CDC W838, CIP 105418, JCM 12963, VPI 12594, CCUG 32936, CCUG 34703",1,Actinomyces gerencseriae,1120943.3,anaerobe
,,,,,2524023137,
,,,,,GCA_000429265,
147057,,"CCUG 32757, ATCC 43323, NCTC 11636",1,Actinomyces howellii,2867030179,anaerobe
,,,,,52771.3,
,,,,,GCA_900637165,
151,Jr 277 (CDC W855),"DSM 43320, ATCC 12102, JCM 12964, CCUG 18307, IMET 10792, CCUG 2271, NIH 277, WVU 46, CIP 103259, KCTC 15377, NCTC 12972",1,Actinomyces israelii,1120944.3,anaerobe
,,,,,1659.4,
,,,,,2565956542,
,,,,,2843235134,
,,,,,GCA_000711965,
,,,,,GCA_900637225,
