"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."
"When using BacDive for research please cite our paper https://doi.org/10.1093/nar/gkae959"

ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number","16S seq. accession number",GC-content
159652,R-68213,"DSM 105287, LMG 29911",1,"Abditibacterium utsteinense",1960156.3,KY386500,54.27
,,,,,GCA_002973605,,
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,"Abiotrophia defectiva",2562617177,AY351327,46.6
,,,,,46125.34,D50541,
,,,,,592010.4,,
,,,,,GCA_000160075,,
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,"Absicoccus porci",GCA_003725415,MG931004,38.4
,,,,,RJQC00000000,,
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,"Abyssibacter profundi",2831460164,KY612316,63.1
,,,,,GCA_003151135,,
132558,,"DSM 29158, CCTCC AB 2014213, YIM M12140, JCM 30296",1,"Abyssicoccus albus",1817405.3,KT935587,41.3-43.5
,,,,,2786546168,,42.4
,,,,,GCA_003815035,,
132478,L81,"DSM 29592, JCM 30920",1,"Vallitalea guaymasensis",1185412.3,KP233895,31.7
,,,,,GCA_003313305,,
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,"Acanthopleuribacter pedis",442870.4,AB303221,56.7
,,,,,GCA_017377855,,
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,"Acaricomes phytoseiuli",1120917.3,AJ812213,57.2-58.2
,,,,,2517572146,,57.7
,,,,,GCA_000376245,,62.3
18089,CT-m2,"DSM 23669, ATCC BAA-2170",1,"Acetatifactor muris",GCA_024623325,HM989805,48.5
164491,HSLZ-75,"JCM 33270, CICC 6269",1,"Acetilactobacillus jinshanensis",GCA_004359375,KT783533,39.7
,,,,,,,41.7
6338,"12185, 139 B","DSM 5522, ATCC 43876",1,"Acetitomaculum ruminis",1120918.3,M59083,34.0
,,,,,2651870361,,
,,,,,GCA_900112085,,
2838,Z-7026,"DSM 17461, VKM B-2349",1,"Acetivibrio alkalicellulosi",2509887034,AY959944,30
,,,,,320502.3,,
,,,,,GCA_008125075,,
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,"Acetivibrio clariflavus",2507262051,AB186359,36.9
,,,,,720554.3,,
,,,,,GCA_000237085,,
157972,N2K1,"DSM 107956, CECT 9704",1,"Acetivibrio mesophilus",2487273.3,MK138666,38.36
,,,,,2880951795,,
,,,,,GCA_004102745,,
132679,GGR1,"DSM 101079, CECT 9155",1,"Acetivibrio saccincola",1677857.3,LN868252,34.9
,,,,,2775506833,,
,,,,,GCA_002844395,,
164132,,"JCM 31827, DSM 104321",0,"Acetivibrio saccincola",1677857.4,KX714804,34.9
,,,,,GCA_002969215,,
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,"Acetivibrio straminisolvens",1294263.3,AB125279,41.3
,,,,,2772190653,,
,,,,,GCA_000521465,,
2729,,"DSM 1237, ATCC 27405, JCM 9322, NCIMB 10682, CECT 593, IAM 13660, LMG 10435, NBRC 103400, NRRL B-4536, VPI 7372",1,"Acetivibrio thermocellus",203119.11,AB558166,38
,,,,,640069309,L09173,
,,,,,GCA_000015865,,
131392,ST07-YE,"DSM 27512, JCM 19400",1,"Acetoanaerobium pronyense",1482736.4,KJ174056,32.9
,,,,,2913505501,,
,,,,,GCA_017874355,,
2717,HF,"DSM 519, ATCC 12662, CCUG 9281, JCM 1433, NCIMB 10654, BCRC 14485",1,"Acetoanaerobium sticklandii",499177.3,LC053841,31
,,,,,649633033,M26494,31.0
,,,,,GCA_000196455,,33.3
2,"L 40","DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,"Acetobacter aceti",2547132264,AB003967,57.4
,,,,,2784746776,AB111902,58.6
,,,,,887700.10,AB665077,
,,,,,887700.6,AB680674,
,,,,,887700.7,AJ621845,
,,,,,GCA_000193495,D30768,
,,,,,GCA_000963905,JF793947,
,,,,,GCA_004341595,JF793949,
,,,,,,X74066,
135985,"58, A-34","CIP 102998, IAM 1802, IFO 3281, JCM 20268, LMG 1512, NBRC 3281",0,"Acetobacter aceti",435.8,AB003968,56.2
,,,,,GCA_002723895,AB161358,
,,,,,,AB680045,
,,,,,,AJ012545,
163302,,"JCM 25076, LMG 1590",1,"Acetobacter pasteurianus",2663762691,GU205099,52.9
,,,,,481146.3,,
,,,,,481146.6,,
,,,,,481146.7,,
,,,,,481146.8,,
,,,,,GCA_001766235,,
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,"Acetobacter cerevisiae",178900.5,AB665080,56.0-57.6
,,,,,2724679583,AJ419843,57.6
,,,,,GCA_001580535,JF793954,
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,"Acetobacter cibinongensis",1231339.3,AB052710,54.5
,,,,,146475.5,AB681085,
,,,,,2901808964,,
,,,,,GCA_000963925,,
,,,,,GCA_007989305,,
10,,"DSM 4493, ATCC 23753, CCUG 18130, IAM 14359, LMG 1626, NCIMB 8935, JCM 21172, BCRC 12953, CCM 3613, IFO 13751, NBRC 13751",1,"Acetobacter estunensis",104097.5,AB003970,59.3
,,,,,GCA_011516945,AB032349,
,,,,,,AB680505,
,,,,,,AJ419838,
,,,,,,FM178867,
,,,,,,JF793958,
23,"985, R-36330","DSM 19596, LMG 24244",1,"Acetobacter fabarum",483199.11,AB665084,57.6
,,,,,GCA_011516925,AB936622,57.60
,,,,,,AM905849,
22,"430A, R-29337","DSM 18895, LMG 23848",1,"Acetobacter ghanensis",2675903422,AB665083,57.3
,,,,,431306.8,EF030713,57.30
,,,,,GCA_011516865,,
18,5H-1,"DSM 15552, IFO 16471, JCM 10948, NBRC 16471, NRIC 0313, BCRC 17167, LMG 19824",1,"Acetobacter indonesiensis",104101.10,AB032356,53.7
,,,,,1231340.3,AB681067,
,,,,,2899141447,,
,,,,,GCA_000963945,,
,,,,,GCA_007991075,,
23489,R-49742,"DSM 27328, LMG 27439",1,"Acetobacter lambici",1332824.3,HF969863,56.2
,,,,,GCA_011516885,,
9,,"DSM 4491, ATCC 12875, CCUG 18127, IMET 10734, JCM 17121, LMD 31.2, LMG 1579, LMG 1617, NCIMB 8620, CCM 3606, ICMP 8610, IFO 13753, NBRC 13753, NCCB 31002",1,"Acetobacter lovaniensis",104100.5,AB032351,58.6
,,,,,104100.6,AB665079,
,,,,,2861688124,AB680507,
,,,,,GCA_011516875,AJ419837,
,,,,,GCA_014207635,FM178869,
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,"Acetobacter malorum",178901.12,AB665081,57.2
,,,,,2713897233,AJ419844,57.20
,,,,,GCA_001580615,JF793956,
,,,,,,JF793957,
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,"Acetobacter nitrogenifigens",1120919.3,AB682235,64.1
,,,,,1120919.6,AY669513,64.10
,,,,,2522572157,HG424425,
,,,,,2927201423,,
,,,,,GCA_000429165,,
,,,,,GCA_007991375,,
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,"Acetobacter oeni",2829864053,AY829472,58.1
,,,,,304077.8,HQ398213,58.10
,,,,,304077.9,JF793961,
,,,,,GCA_011516825,,
,,,,,GCA_014196315,,
163333,,"JCM 25146, KACC 19723, LMG 26457, NBRC 111467, NRIC 0658",1,"Acetobacter okinawensis",1236501.3,AB665068,59.2
,,,,,2579778976,AB936619,
,,,,,GCA_000613865,,
