Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination
GCF_000146045.2	R64	Saccharomyces cerevisiae S288C		S288C					SGD R64-4-1	12071326	Complete Genome	12/17/14		16		
GCF_000002985.6	WBcel235	Caenorhabditis elegans		Bristol N2					WormBase WS292	100272607	Complete Genome	2/7/13		6		
GCF_000001735.4	TAIR10.1	Arabidopsis thaliana				Columbia			Annotation submitted by TAIR and Araport	119146348	Chromosome	3/15/18		5		
GCF_000001405.40	GRCh38.p14	Homo sapiens							GCF_000001405.40-RS_2023_10	3099441038	Chromosome	2/3/22		470		
GCF_000001635.27	GRCm39	Mus musculus		C57BL/6J					GCF_000001635.27-RS_2024_02	2728206152	Chromosome	6/24/20		101		
GCF_000001215.4	Release 6 plus ISO1 MT	Drosophila melanogaster							FlyBase Release 6.54	143706478	Chromosome	8/1/14		1869		
GCF_000002035.6	GRCz11	Danio rerio		Tuebingen					NCBI Danio rerio Annotation Release 106	1373454788	Chromosome	5/9/17		1917		
GCF_003013715.1	ASM301371v2	[Candida] auris		B11220					Annotation submitted by Centers for Disease Control and Prevention	12249773	Complete Genome	9/10/19		7		
GCF_003054445.1	ASM305444v1	Pichia kudriavzevii		CBS573					Annotation submitted by University College Dublin	10812555	Complete Genome	4/17/18		5		
GCF_030384665.1	ASM3038466v1	Lodderomyces elongisporus		NRRL YB-4239					Annotation submitted by University of Illinois Urbana-Champaign	16086460	Complete Genome	7/2/23		8		
GCF_000026945.1	ASM2694v1	Candida dubliniensis CD36		CD36					Annotation submitted by Wellcome Trust Sanger Institute	14618422	Complete Genome	2/16/09		8		
GCF_000090985.2	ASM9098v2	Micromonas commoda		RCC299					Annotation submitted by Micromonas genome consortium	20989326	Complete Genome	4/10/09		17		
GCF_947243775.1	Skud-IFO1802	Saccharomyces kudriavzevii IFO 1802		IFO1802					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	11913776	Complete Genome	11/1/22		16		
GCF_947241705.1	Smik-IFO1815	Saccharomyces mikatae IFO 1815		IFO1815					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	12104871	Complete Genome	11/1/22		16		
GCF_036426115.1	ASM3642611v1	Kwoniella botswanensis		CBS 12716					Annotation submitted by Broad Institute	23007246	Complete Genome	2/7/24		3		
GCF_001640025.1	ASM164002v2	Sugiyamaella lignohabitans		CBS 10342					Annotation submitted by University of Natural Resources and Life Sciences	15938258	Complete Genome	5/6/16		4		
GCA_029542845.1	ASM2954284v1	Malassezia nana		CBS 9557					Annotation submitted by Duke University	7702145	Complete Genome	4/3/23		8		
GCA_029542905.1	ASM2954290v1	Malassezia arunalokei		CBS 13387					Annotation submitted by Duke University	7331251	Complete Genome	4/3/23		9		
GCF_029542785.1	ASM2954278v1	Malassezia japonica		CBS 9431					Annotation submitted by Duke University	8433779	Complete Genome	4/3/23		9		
GCF_029542925.1	ASM2954292v1	Malassezia vespertilionis		CBS 15041					Annotation submitted by Duke University	7595203	Complete Genome	4/3/23		9		
GCA_029449355.1	ASM2944935v1	Emydomyces testavorans		16-2883					Annotation submitted by University of Illinois Urbana-Champaign	31798767	Complete Genome	3/28/23		5		
GCA_000512585.3	ASM51258v3	Kwoniella bestiolae CBS 10118		CBS 10118					"Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University"	24551665	Complete Genome	2/14/24		8		
GCF_027921745.1	ASM2792174v1	Schizosaccharomyces osmophilus		CBS 15793					"Annotation submitted by National Institute of Biological Sciences, Beijing China"	11416521	Complete Genome	1/20/23		3		
GCA_000512565.3	ASM51256v3	Kwoniella dejecticola CBS 10117		CBS 10117					"Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University"	23932770	Complete Genome	2/22/24		11		
GCF_035658355.1	ASM3565835v1	Kwoniella shivajii					CBS 11374		Annotation submitted by Broad Institute	22171496	Complete Genome	1/15/24		12		
GCA_000512605.3	ASM51260v3	Kwoniella pini CBS 10737		CBS 10737					"Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University"	20887338	Complete Genome	2/22/24		11		
GCA_008629635.2	ASM862963v2	Kwoniella shandongensis		CBS 12478					"Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University"	21305292	Complete Genome	2/22/24		14		
GCF_001548555.1	ASM154855v1	Eremothecium sinecaudum		ATCC 58844					Annotation submitted by Duke University	8922523	Complete Genome	2/4/16		7		
GCF_014133895.1	ASM1413389v1	Torulaspora globosa		CBS764					Annotation submitted by University College Dublin	9281121	Complete Genome	8/10/20		8		
GCF_005498985.1	PGRAM_IIB_1.0	Sporisorium graminicola		CBS 10092					"Annotation submitted by University of Liverpool, Institute of Integrative Biology"	19565848	Complete Genome	6/6/19	SRRM01	22		
