ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Temperature
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,Acetivibrio clariflavus,2507262051,45-65
,,,,,720554.3,55
,,,,,GCA_000237085,55-60
,,,,,,57.5
157972,N2K1,"DSM 107956, CECT 9704",1,Acetivibrio mesophilus,2487273.3,30-50
,,,,,2880951795,
,,,,,GCA_004102745,
132679,GGR1,"DSM 101079, CECT 9155",1,Acetivibrio saccincola,1677857.3,45-65
,,,,,2775506833,55
,,,,,GCA_002844395,60
164132,,"JCM 31827, DSM 104321",0,Acetivibrio saccincola,1677857.4,55
,,,,,GCA_002969215,
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,Acetivibrio straminisolvens,1294263.3,50
,,,,,2772190653,50.0-55.0
,,,,,GCA_000521465,>65.0
2729,,"DSM 1237, ATCC 27405, JCM 9322, NCIMB 10682, CECT 593, IAM 13660, LMG 10435, NBRC 103400, NRRL B-4536, VPI 7372",1,Acetivibrio thermocellus,203119.11,55
,,,,,640069309,60
,,,,,GCA_000015865,
2728,LQ8,DSM 1313,0,Acetivibrio thermocellus,1515.11,60
,,,,,2825454334,
,,,,,637887.3,
,,,,,650377924,
,,,,,GCA_000184925,
2730,LQR1,"DSM 2360, JCM 9323, ATCC 35609",0,Acetivibrio thermocellus,572545.3,60
,,,,,572545.4,
,,,,,645058753,
,,,,,GCA_001692755,
2731,JW 20,"DSM 4150, ATCC 31549",0,Acetivibrio thermocellus,492476.4,60
22965,YS,DSM 25991,0,Acetivibrio thermocellus,GCA_000255575,60
22966,AD2,DSM 25992,0,Acetivibrio thermocellus,GCA_000255615,60
,,,,,GCA_002564085,
1580,P,"DSM 20664, ATCC 43122",1,Acetomicrobium flavidum,2695420966,55
,,,,,49896.3,
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,Acetomicrobium mobile,2509601011,35-65
,,,,,891968.3,55
,,,,,GCA_000266925,55-60
17778,RWcit2,"DSM 13490, ACM 5076",1,Acetomicrobium thermoterrenum,1120987.3,28-60
,,,,,2544872.3,50
,,,,,2599185146,55
,,,,,GCA_900107215,
16643,,"DSM 3772, JCM 9191, LEI 10",1,Acidianus ambivalens,GCA_009428885,80
,,,,,GCA_009729015,
16640,,"DSM 1651, IFO 15269, NBRC 15269",1,Acidianus brierleyi,41673.4,70
,,,,,GCA_003201835,
16642,So4a,"DSM 3191, NBRC 106462, JCM 8955, IFO 15270, NBRC 15270",1,Acidianus infernus,GCA_009729545,85
,,,,,,88
131324,RZ1,"DSM 29099, JCM 30227",0,Acidianus sp.,GCA_013133895,65
16644,JP7,"DSM 18786, JCM 13667",1,Acidianus sulfidivorans,619593.4,70
,,,,,GCA_003201765,
17800,345-15,"DSM 16705, JCM 18335, VKM B-2471",1,Acidilobus saccharovorans,648028003,80
,,,,,666510.18,
,,,,,GCA_000144915,
106,ICP,"DSM 10331, NBRC 103882, JCM 15462",1,Acidimicrobium ferrooxidans,525909.11,45.0-50.0
,,,,,525909.36,
,,,,,525909.37,
,,,,,525909.38,
,,,,,525909.39,
,,,,,525909.4,
,,,,,525909.41,
