Name	Sequence Length
GCA_000002495.2_Eukaryote_Pyricularia_oryzae_70-15	467
GCA_000002945.2_Eukaryote_Schizosaccharomyces_pombe	482
GCA_000004695.1_Eukaryote_Dictyostelium_discoideum_AX4	458
GCA_000007345.1_Archaea_Halobacteriota_Methanosarcina_acetivorans_C2A	7
GCA_000009625.1_Bacteria_Pseudomonadota_Mesorhizobium_japonicum_MAFF_303099	358
GCA_000009965.1_Archaea_Methanobacteriota_B_Thermococcus_kodakarensis_KOD1	5
GCA_000010785.1_Bacteria_Aquificota_Hydrogenobacter_thermophilus_TK-6	246
GCA_000011205.1_Archaea_Thermoproteota_Sulfurisphaera_tokodaii_str._7	10
GCA_000012985.1_Bacteria_Pseudomonadota_Hahella_chejuensis_KCTC_2396	362
GCA_000013445.1_Archaea_Halobacteriota_Methanospirillum_hungatei_JF-1	18
GCA_000013725.1_Archaea_Halobacteriota_Methanococcoides_burtonii_DSM_6242	7
GCA_000014565.1_Bacteria_Actinomycetota_Rhodococcus_jostii_RHA1	476
GCA_000015145.1_Archaea_Thermoproteota_Hyperthermus_butylicus_DSM_5456	11
GCA_000015205.1_Archaea_Thermoproteota_Pyrobaculum_islandicum_DSM_4184	3
GCA_000015225.1_Archaea_Thermoproteota_Thermofilum_pendens_Hrk_5	10
GCA_000015765.1_Archaea_Halobacteriota_Methanocorpusculum_labreanum_Z	5
GCA_000015805.1_Archaea_Thermoproteota_Pyrobaculum_calidifontis_JCM_11548	5
GCA_000015945.1_Archaea_Thermoproteota_Staphylothermus_marinus_F1	11
GCA_000017165.1_Archaea_Methanobacteriota_A_Methanococcus_vannielii_SB	3
GCA_000019805.1_Archaea_Thermoproteota_Pyrobaculum_neutrophilum_V24Sta	3
GCA_000020045.1_Bacteria_Pseudomonadota_Paraburkholderia_phymatum_STM815	465
GCA_000020325.1_Bacteria_Aquificota_Sulfurihydrogenibium_sp._YO3AOP1	432
GCA_000021545.1_Bacteria_Aquificota_Sulfurihydrogenibium_azorense_Az-Fu1	434
GCA_000021565.1_Bacteria_Aquificota_Persephonella_marina_EX-H1	379
GCA_000022085.1_Bacteria_Pseudomonadota_Methylobacterium_nodulans_ORS_2060	471
GCA_000022485.1_Archaea_Thermoproteota_Sulfolobus_islandicus_Y.N.15.51	10
GCA_000023945.1_Archaea_Halobacteriota_Halorhabdus_utahensis_DSM_12940	15
GCA_000023985.1_Archaea_Methanobacteriota_A_Methanocaldococcus_fervens_AG86	14
GCA_000024005.1_Bacteria_Bacteroidota_Chitinophaga_pinensis_DSM_2588	704
GCA_000024025.1_Bacteria_Actinomycetota_Catenulispora_acidiphila_DSM_44928	544
GCA_000024345.1_Bacteria_Actinomycetota_Kribbella_flavida_DSM_17836	578
GCA_000024545.1_Bacteria_Actinomycetota_Stackebrandtia_nassauensis_DSM_44728	474
GCA_000024625.1_Archaea_Methanobacteriota_A_Methanocaldococcus_vulcanius_M7	17
GCA_000024805.1_Bacteria_Myxococcota_Haliangium_ochraceum_DSM_14365	562
GCA_000025285.1_Archaea_Halobacteriota_Archaeoglobus_profundus_DSM_5631	8
GCA_000025325.1_Archaea_Halobacteriota_Haloterrigena_turkmenica_DSM_5511	12
GCA_000025505.1_Archaea_Halobacteriota_Ferroglobus_placidus_DSM_10642	4
GCA_000025605.1_Bacteria_Aquificota_Thermocrinis_albus_DSM_14484	188
GCA_000025665.1_Archaea_Thermoplasmatota_Aciduliprofundum_boonei_T469	2
GCA_000025865.1_Archaea_Halobacteriota_Methanohalophilus_mahii_DSM_5219	7
GCA_000026045.1_Archaea_Halobacteriota_Natronomonas_pharaonis_DSM_2160	15
GCA_000063445.1_Archaea_Halobacteriota_Methanocella_arvoryzae_MRE50	11
GCA_000092185.1_Archaea_Thermoproteota_Thermosphaera_aggregans_DSM_11486	13
GCA_000092305.1_Archaea_Methanobacteriota_A_Methanocaldococcus_infernus_ME	11
GCA_000092465.1_Archaea_Thermoproteota_Staphylothermus_hellenicus_DSM_12710	15
GCA_000147335.1_Bacteria_Cyanobacteriota_Gloeothece_verrucosa_PCC_7822	602
GCA_000147875.1_Archaea_Halobacteriota_Methanolacinia_petrolearia_DSM_11571	19
GCA_000149555.1_Eukaryote_Fusarium_verticillioides_7600	460
GCA_000155735.2_Bacteria_Pseudomonadota_Octadecabacter_arcticus_238	324
GCA_000164135.1_Bacteria_Actinomycetota_Mycobacterium_parascrofulaceum_ATCC_BAA-614	140
GCA_000164905.1_Bacteria_Aquificota_Hydrogenobacter_thermophilus_TK-6	246
GCA_000166135.1_Bacteria_Actinomycetota_Pseudofrankia_inefficax	564
GCA_000172555.1_Bacteria_Verrucomicrobiota_Pedosphaera_parvula_Ellin514	381
GCA_000177675.1_Bacteria_Actinomycetota_Parafrankia_sp._EUN1f	241
GCA_000179575.2_Archaea_Methanobacteriota_A_Methanothermococcus_okinawensis_IH1	3
GCA_000185805.1_Bacteria_Aquificota_Thermovibrio_ammonificans_HB-1	375
GCA_000186365.1_Archaea_Thermoproteota_Desulfurococcus_mucosus_DSM_2162	9
GCA_000190315.1_Archaea_Thermoproteota_Vulcanisaeta_moutnovskia_768-28	11
GCA_000191045.1_Bacteria_Aquificota_Desulfurobacterium_thermolithotrophum_DSM_11699	384
GCA_000193375.1_Archaea_Thermoproteota_Thermoproteus_uzoniensis_768-20	4
GCA_000196515.1_Bacteria_Cyanobacteriota_Nostoc_azollae_0708	536
GCA_000196655.1_Archaea_Halobacteriota_Methanohalobium_evestigatum_Z-7303	7
