"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."
"When using BacDive for research please cite our paper https://doi.org/10.1093/nar/gkae959"

ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number","PH range",pH,"Salt conc."
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,"Abyssibacter profundi",2831460164,alkaliphile,7.0-9.0,0-7
,,,,,GCA_003151135,,,2-3
164491,HSLZ-75,"JCM 33270, CICC 6269",1,"Acetilactobacillus jinshanensis",GCA_004359375,acidophile,3-5,0
,,,,,,,,0-5
132679,GGR1,"DSM 101079, CECT 9155",1,"Acetivibrio saccincola",1677857.3,alkaliphile,6.5-9.0,0-2.0
,,,,,2775506833,,,0.2
,,,,,GCA_002844395,,,
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,"Acetomicrobium mobile",2509601011,alkaliphile,5.4-8.7,0-1.5
,,,,,891968.3,,,0-15
,,,,,GCA_000266925,,,0.08
,,,,,,,,0.8
17778,RWcit2,"DSM 13490, ACM 5076",1,"Acetomicrobium thermoterrenum",1120987.3,alkaliphile,5.5-8.6,0-20
,,,,,2544872.3,,,10
,,,,,2599185146,,,
,,,,,GCA_900107215,,,
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,"Achromobacter aloeverae",2881412998,alkaliphile,6.0-9.0,4
,,,,,GCA_004121055,,,5
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,"Acidibrevibacterium fodinaquatile",2841042143,acidophile,2.5-5,1
,,,,,GCA_003352165,,,
133383,SK-11,"DSM 100508, NBRC 111227",1,"Acidicapsa acidisoli",GCA_025685625,acidophile,4.0-5.5,0.0-0.1
,,,,,,,,0.0-0.4
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,"Acidicapsa dinghuensis",GCA_025685685,acidophile,4-6.5,0-1
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,"Acidicapsa ligni",GCA_025685655,acidophile,3.5,<2.0
6149,V6,"DSM 14174, JCM 32253",1,"Acidihalobacter aeolianus",160660.18,acidophile,1.5-3,0.06-1-283
,,,,,160660.9,,,0.428
,,,,,GCA_001753165,,,
24820,V8,"DSM 14175, JCM 32254",1,"Acidihalobacter ferrooxydans",1765967.4,acidophile,1-3,0.06-0.856
,,,,,2751185721,,,0.428
,,,,,GCA_001975725,,,
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,"Acidimangrovimonas sediminis",2833082749,acidophile,3.6-7.5,0.5-10.0
,,,,,GCA_002871005,,,4
158421,JS278,"DSM 106790, VTT E-113202",1,"Acidipropionibacterium virtanenii",2834914592,alkaliphile,5-9,0
,,,,,GCA_003325455,,,0-1.1
,,,,,,,,6.5
2903,R-24608,"DSM 19327, LMG 24103",1,"Acidovorax caeni",2634166357,alkaliphile,5.5-10.5,0.5-2
,,,,,2740892283,,,
,,,,,343013.6,,,
,,,,,GCA_001298675,,,
,,,,,GCA_900116825,,,
2905,N35,"DSM 23535, LMG 25767",1,"Acidovorax radicis",2547132374,alkaliphile,5.0-9.0,0.0
,,,,,999386.3,,,0.0-2.0
,,,,,GCA_000204195,,,
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,"Acidovorax soli",2675903230,alkaliphile,06-09,0-1
,,,,,592050.4,,,
,,,,,GCA_900107605,,,
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,"Acinetobacter defluvii",2767802242,alkaliphile,5-10,0-3
,,,,,GCA_001704615,,,
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702, ANC 4215",1,"Acinetobacter indicus",1341679.3,alkaliphile,07-09,0-5
,,,,,1341679.5,,,1
,,,,,2579779046,,,
,,,,,2663763131,,,
,,,,,GCA_000488255,,,
,,,,,GCA_000830155,,,
133403,BRTC-1,"ACCC 19936, JCM 31367",1,"Acinetobacter larvae",1789224.3,alkaliphile,5.0-9.0,0
,,,,,2767802241,,,0.0-5.0
,,,,,GCA_001704115,,,
163942,GC2,"JCM 31073, DSM 26953",0,"Acinetobacter mesopotamicus",1538357.4,alkaliphile,6-11,0-3
,,,,,GCA_011058205,,,
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,"Acinetobacter piscicola",2791355509,alkaliphile,5-9,0
,,,,,GCA_002233755,,,0-2
164465,S23,"JCM 33150, KACC 19921",1,"Acinetobacter pullicarnis",GCA_006352475,alkaliphile,5-9,0
,,,,,,,,0-2
159774,WCHAc060041,"CCTCC AB 2018118, GDMCC 1.1383, KCTC 62575",1,"Acinetobacter sichuanensis",2814123059,alkaliphile,5-10,0-2
,,,,,GCA_003024515,,,
159758,WCHA60,"CCTCC AB 2016204, GDMCC 1.1100, KCTC 52505",1,"Acinetobacter wuhouensis",2767802240,alkaliphile,5-10,0-3
,,,,,GCA_001696605,,,
23319,PS33-18,"DSM 45867, BCC 46906, NBRC 108782",1,"Acrocarpospora phusangensis",1070424.3,alkaliphile,07-11,0
,,,,,GCA_016862995,,,0-1
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,"Actibacterium pelagium",2029103.7,alkaliphile,6.5-8.5,0
,,,,,2832254508,,,0.5-5.0
,,,,,GCA_002285415,,,3
,,,,,GCA_014644355,,,
141055,LS-811,"BCRC 80823, JCM 30681",1,"Actibacterium ureilyticum",2832212542,alkaliphile,5.0-9.0,1-6
,,,,,GCA_002285435,,,3
13193,RMV-1378,"DSM 44848, JCM 12472, MTCC 6194, BCRC 16823, CBS 11706, CIP 109023, NBRC 102582, NCIMB 14384",1,"Actinoalloteichus spitiensis",1114962.3,alkaliphile,06-11,<2
,,,,,2563366745,,,
,,,,,GCA_000239155,,,
7797,CS5-AC17,"DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660",1,"Actinocatenispora rupis",519421.3,alkaliphile,5.1-12.1,0-4
,,,,,GCA_016861975,,,7.1
