ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Oxygen tolerance
132478,L81,"DSM 29592, JCM 30920",1,Vallitalea guaymasensis,1185412.3,obligate anaerobe
,,,,,GCA_003313305,
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,Acetomicrobium mobile,2509601011,obligate anaerobe
,,,,,891968.3,
,,,,,GCA_000266925,
17778,RWcit2,"DSM 13490, ACM 5076",1,Acetomicrobium thermoterrenum,1120987.3,obligate anaerobe
,,,,,2544872.3,
,,,,,2599185146,
,,,,,GCA_900107215,
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,Acidaminococcus intestini,1120921.3,obligate anaerobe
,,,,,2524614855,
,,,,,GCA_000425045,
12634,4,"DSM 20272, ATCC 4875, NCDO 570, NCIB 8070, JCM 6432, IFO 12425, NBRC 12425, NCIMB 8070, VPI 10402, CIP 53.164",0,Acidipropionibacterium acidipropionici,1171373.8,obligate anaerobe
,,,,,2518285597,
,,,,,2521172602,
,,,,,GCA_000310065,
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,Actinobaculum suis,1657.8,obligate anaerobe
,,,,,2675903157,
,,,,,GCA_900102025,
23522,B71,"DSM 27982, CGMCC 1.5030, JCM 13352, CIP 109388, CGMCC 15030",1,Actinomyces ruminicola,2651870319,obligate anaerobe
,,,,,332524.1,
,,,,,GCA_900103885,
22982,NR06,"DSM 22242, CCUG 57646, KCTC 15365",1,Adlercreutzia caecicola,2824484654,obligate anaerobe
,,,,,2831651148,
,,,,,747645.17,
,,,,,747645.3,
,,,,,GCA_003725335,
,,,,,GCA_014192485,
,,,,,GCA_024623225,
132395,JK 623,"DSM 29029, LMG 28559",1,Agathobacter ruminis,GCA_028539255,obligate anaerobe
132618,SR79,"DSM 100391, KCTC 15532, JCM 30795",1,Agathobaculum butyriciproducens,1628085.3,obligate anaerobe
,,,,,2756170243,
133155,,"ATCC 43058, CCUG 27818, JCM 6566",1,Agathobaculum desmolans,1408437.3,obligate anaerobe
,,,,,1408437.6,
,,,,,2561511082,
,,,,,GCA_000701665,
14335,ASpG1,"DSM 14872, ATCC BAA-392",1,Alkalispirochaeta americana,2706795025,obligate anaerobe
,,,,,GCA_900156105,
23792,M8,"DSM 24762, CCM 7944",1,Alloscardovia macacae,1160091.5,obligate anaerobe
,,,,,2788500374,
,,,,,GCA_002259705,
24764,9403502,"DSM 26346, CSUR P122",1,Anaerococcus pacaensis,2915063958,obligate anaerobe
,,,,,GCA_000308255,
132584,,"DSM 100423, JCM 30819, SN 021",1,Anaerocolumna cellulosilytica,2861627031,obligate anaerobe
,,,,,433286.3,
,,,,,GCA_014202875,
132583,FH052,"DSM 100431, JCM 30820",1,Anaerotaenia torta,2861347227,obligate anaerobe
2806,G17,"DSM 14214, LMG 20954",1,Anaerotignum lactatifermentans,1121323.3,obligate anaerobe
,,,,,2585428190,
,,,,,GCA_900142265,
2765,X4,"DSM 3847, KCTC 15564",1,Anaerotignum neopropionicum,2651869904,obligate anaerobe
,,,,,2728369180,
2646,X2,"DSM 1682, ATCC 25522, NCIMB 10656, CCUG 9280, JCM 1430, VPI 5303",1,Anaerotignum propionicum,2582581271,obligate anaerobe
,,,,,2808606817,
,,,,,991789.25,
,,,,,991789.4,
,,,,,GCA_001561955,
,,,,,GCA_900129165,
5416,MK-1,"DSM 1989, ATCC 43737",1,Andreesenia angusta,2775507286,obligate anaerobe
,,,,,39480.3,
,,,,,39480.4,
,,,,,GCA_001855385,
3042,,"DSM 15642, ATCC 43386, CCUG 45424, CIP 106638, JCM 9981, NCTC 11919, VPB 2127",1,Atopobium fossor,1121023.3,obligate anaerobe
,,,,,1121023.4,
,,,,,2523231056,
,,,,,GCA_000483125,
1617,3452A,"DSM 19024, ATCC 43185, CCUG 38735, CIP 104201, JCM 9498, NCTC 13051, VPI 3452A",1,Bacteroides caccae,2806310690,obligate anaerobe
,,,,,2806310790,
,,,,,411901.7,
,,,,,47678.1024,
,,,,,47678.1222,
,,,,,47678.18,
,,,,,47678.99,
,,,,,640963023,
,,,,,818.184,
,,,,,GCA_000169015,
1623,CRE21,"DSM 14838, CCUG 44979, JCM 15632",1,Bacteroides cellulosilyticus,537012.5,obligate anaerobe
,,,,,643886111,
,,,,,GCA_000158035,
,,,,,GCA_028539415,
158883,KGMB02408,"DSM 107828, KCTC 15687, JCM 34008",1,Bacteroides faecalis,2447885.3,obligate anaerobe
,,,,,2916288202,
,,,,,GCA_003865075,
1592,LRA 044 07 88,"DSM 1896, ATCC 8483, NCTC 11153, CCUG 4943, CIP 103756, JCM 5824, KCTC 5011, BCRC 10623",1,Bacteroides ovatus,2684623200,obligate anaerobe
,,,,,2693429857,
,,,,,28116.125,
,,,,,28116.16,
,,,,,28116.1884,
,,,,,28116.197,
,,,,,28116.7,
,,,,,411476.11,
,,,,,641380449,
,,,,,GCA_000154125,
1626,XB1A,"DSM 18836, CCUG 53782, JCM 15633",1,Bacteroides xylanisolvens,650377911,obligate anaerobe
,,,,,657309.4,
,,,,,GCA_000210075,
23789,GG01,"DSM 27321, JCM 18751",1,Bifidobacterium moukalabense,1435051.3,obligate anaerobe
,,,,,2609460007,
,,,,,GCA_000522505,
,,,,,GCA_005405645,
158361,BB10,"DSM 104997, ATCC TSD-102",1,Butyricicoccus porcorum,1945634.3,obligate anaerobe
,,,,,2882308280,
,,,,,GCA_002157465,
158474,H184,"DSM 106867, JCM 33535, LMG 30602",1,Butyricimonas faecalis,2093856.3,obligate anaerobe
,,,,,GCA_003991565,
140656,OB47,"ATCC BAA-2073, JCM 16842",1,Caldicellulosiruptor obsidiansis,608506.3,obligate anaerobe
,,,,,648028013,
,,,,,GCA_000145215,
18027,OL,"DSM 13100, ATCC 700167",1,Caldicellulosiruptor owensensis,632518.3,obligate anaerobe
,,,,,649633025,
,,,,,GCA_000166335,
2138,CH001A,"DSM 21671, CCUG 45161, CIP 107682, LMG 19568, NCTC 13146",1,Campylobacter hominis,2808606638,obligate anaerobe
,,,,,76517.4,
,,,,,76517.51,
,,,,,76517.52,
,,,,,76517.53,
,,,,,76517.54,
,,,,,GCA_900446395,
132488,,"DSM 101949, CCUG 39713",1,Caviibacter abscessus,1766719.4,obligate anaerobe
,,,,,2788499922,
,,,,,GCA_001517835,
2396,4930,DSM 1677,1,Chlorobaculum limnaeum,2501846309,obligate anaerobe
,,,,,274537.5,
,,,,,GCA_001747405,
2397,,DSM 263,1,Chlorobaculum parvum,642555120,obligate anaerobe
2395,TLS,"DSM 12025, ATCC 49652",1,Chlorobaculum tepidum,637000073,obligate anaerobe
,,,,,GCA_000006985,
