Name	Sequence Length
GCA_000002495.2_Eukaryote_Pyricularia_oryzae_70-15	26
GCA_000002945.2_Eukaryote_Schizosaccharomyces_pombe	27
GCA_000004695.1_Eukaryote_Dictyostelium_discoideum_AX4	26
GCA_000007345.1_Archaea_Halobacteriota_Methanosarcina_acetivorans_C2A	32
GCA_000009965.1_Archaea_Methanobacteriota_B_Thermococcus_kodakarensis_KOD1	33
GCA_000011205.1_Archaea_Thermoproteota_Sulfurisphaera_tokodaii_str._7	36
GCA_000013445.1_Archaea_Halobacteriota_Methanospirillum_hungatei_JF-1	32
GCA_000013725.1_Archaea_Halobacteriota_Methanococcoides_burtonii_DSM_6242	32
GCA_000015145.1_Archaea_Thermoproteota_Hyperthermus_butylicus_DSM_5456	42
GCA_000015205.1_Archaea_Thermoproteota_Pyrobaculum_islandicum_DSM_4184	25
GCA_000015225.1_Archaea_Thermoproteota_Thermofilum_pendens_Hrk_5	33
GCA_000015765.1_Archaea_Halobacteriota_Methanocorpusculum_labreanum_Z	32
GCA_000015805.1_Archaea_Thermoproteota_Pyrobaculum_calidifontis_JCM_11548	27
GCA_000015945.1_Archaea_Thermoproteota_Staphylothermus_marinus_F1	36
GCA_000017165.1_Archaea_Methanobacteriota_A_Methanococcus_vannielii_SB	34
GCA_000019805.1_Archaea_Thermoproteota_Pyrobaculum_neutrophilum_V24Sta	26
GCA_000022485.1_Archaea_Thermoproteota_Sulfolobus_islandicus_Y.N.15.51	36
GCA_000023945.1_Archaea_Halobacteriota_Halorhabdus_utahensis_DSM_12940	32
GCA_000023985.1_Archaea_Methanobacteriota_A_Methanocaldococcus_fervens_AG86	34
GCA_000024625.1_Archaea_Methanobacteriota_A_Methanocaldococcus_vulcanius_M7	34
GCA_000025285.1_Archaea_Halobacteriota_Archaeoglobus_profundus_DSM_5631	32
GCA_000025325.1_Archaea_Halobacteriota_Haloterrigena_turkmenica_DSM_5511	32
GCA_000025505.1_Archaea_Halobacteriota_Ferroglobus_placidus_DSM_10642	32
GCA_000025665.1_Archaea_Thermoplasmatota_Aciduliprofundum_boonei_T469	29
GCA_000025865.1_Archaea_Halobacteriota_Methanohalophilus_mahii_DSM_5219	32
GCA_000026045.1_Archaea_Halobacteriota_Natronomonas_pharaonis_DSM_2160	32
GCA_000063445.1_Archaea_Halobacteriota_Methanocella_arvoryzae_MRE50	32
GCA_000092185.1_Archaea_Thermoproteota_Thermosphaera_aggregans_DSM_11486	34
GCA_000092305.1_Archaea_Methanobacteriota_A_Methanocaldococcus_infernus_ME	34
GCA_000092465.1_Archaea_Thermoproteota_Staphylothermus_hellenicus_DSM_12710	36
GCA_000147335.1_Bacteria_Cyanobacteriota_Gloeothece_verrucosa_PCC_7822	3
GCA_000147875.1_Archaea_Halobacteriota_Methanolacinia_petrolearia_DSM_11571	32
GCA_000149555.1_Eukaryote_Fusarium_verticillioides_7600	26
GCA_000179575.2_Archaea_Methanobacteriota_A_Methanothermococcus_okinawensis_IH1	34
GCA_000186365.1_Archaea_Thermoproteota_Desulfurococcus_mucosus_DSM_2162	36
GCA_000190315.1_Archaea_Thermoproteota_Vulcanisaeta_moutnovskia_768-28	27
GCA_000193375.1_Archaea_Thermoproteota_Thermoproteus_uzoniensis_768-20	28
GCA_000196515.1_Bacteria_Cyanobacteriota_Nostoc_azollae_0708	4
GCA_000196655.1_Archaea_Halobacteriota_Methanohalobium_evestigatum_Z-7303	32
GCA_000196895.1_Archaea_Halobacteriota_Halalkalicoccus_jeotgali_B3	32
GCA_000211475.1_Archaea_Methanobacteriota_B_Pyrococcus_sp._NA2	33
GCA_000213215.1_Archaea_Thermoproteota_Acidianus_hospitalis_W1	36
GCA_000214725.1_Archaea_Methanobacteriota_Methanobacterium_paludis	36
GCA_000215995.1_Archaea_Methanobacteriota_B_Pyrococcus_yayanosii_CH1	33
GCA_000217715.1_Archaea_Halobacteriota_Halopiger_xanaduensis_SH-6	32
GCA_000217995.1_Archaea_Halobacteriota_Methanosalsum_zhilinae_DSM_4017	32
GCA_000224475.1_Archaea_Halobacteriota_halophilic_archaeon_DL31	32
GCA_000234805.1_Archaea_Thermoproteota_Pyrobaculum_ferrireducens	28
GCA_000243255.1_Archaea_Halobacteriota_Methanoplanus_limicola_DSM_2279	32
GCA_000243315.1_Archaea_Thermoproteota_Metallosphaera_yellowstonensis_MK1	36
GCA_000247545.1_Archaea_Thermoproteota_Pyrobaculum_oguniense_TE7	28
GCA_000258425.1_Archaea_Thermoproteota_Fervidicoccus_fontis_Kam940	33
GCA_000264495.1_Archaea_Thermoproteota_Thermogladius_calderae_1633	36
GCA_000275605.1_Archaea_Methanobacteriota_B_Pyrococcus_furiosus_COM1	33
GCA_000275865.1_Archaea_Halobacteriota_Methanofollis_liminatans_DSM_4140	32
GCA_000306725.1_Archaea_Halobacteriota_Methanolobus_psychrophilus_R15	32
GCA_000316115.1_Bacteria_Cyanobacteriota_Leptolyngbya_sp._PCC_7375	5
GCA_000317105.1_Bacteria_Cyanobacteriota_Oscillatoria_acuminata_PCC_6304	3
GCA_000317145.1_Bacteria_Cyanobacteriota_Chamaesiphon_minutus_PCC_6605	3
GCA_000317515.1_Bacteria_Cyanobacteriota_Allocoleopsis_franciscana_PCC_7113	3
GCA_000317535.1_Bacteria_Cyanobacteriota_Cylindrospermum_stagnale_PCC_7417	4
GCA_000317695.1_Bacteria_Cyanobacteriota_Anabaena_cylindrica_PCC_7122	4
GCA_000317795.1_Archaea_Thermoproteota_Caldisphaera_lagunensis_DSM_15908	48
GCA_000327485.1_Archaea_Halobacteriota_Methanoregula_formicica_SMSP	32
GCA_000328525.1_Archaea_Halobacteriota_Halovivax_ruber_XH-70	32
GCA_000328665.1_Archaea_Halobacteriota_Methanomethylovorans_hollandica_DSM_15978	32
GCA_000328685.1_Archaea_Halobacteriota_Natronococcus_occultus_SP4	32
GCA_000331735.1_Bacteria_Myxococcota_Myxococcus_stipitatus_DSM_14675	1
GCA_000336875.1_Archaea_Halobacteriota_Halorubrum_californiense_DSM_19288	32
GCA_000337095.1_Archaea_Halobacteriota_Halogeometricum_pallidum_JCM_14848	32
GCA_000337235.1_Archaea_Halobacteriota_Natronorubrum_tibetense_GA33	32
GCA_000337355.1_Archaea_Halobacteriota_Halorubrum_kocurii_JCM_14978	32
GCA_000337475.1_Archaea_Halobacteriota_Natrinema_limicola_JCM_13563	32
GCA_000337535.1_Archaea_Halobacteriota_Natrialba_aegyptia_DSM_13077	32
GCA_000337715.1_Archaea_Halobacteriota_Natronorubrum_bangense_JCM_10635	32
GCA_000337795.1_Archaea_Halobacteriota_Haloferax_denitrificans_ATCC_35960	32
GCA_000337875.1_Archaea_Halobacteriota_Natrialba_magadii_ATCC_43099	32
GCA_000340665.2_Eukaryote_Cajanus_cajan	26
GCA_000346485.2_Bacteria_Cyanobacteriota_Scytonema_hofmannii_PCC_7110	4
GCA_000385565.1_Archaea_Halobacteriota_Archaeoglobus_sulfaticallidus_PM70-1	32
GCA_000403645.1_Archaea_Halobacteriota_Salinarchaeum_sp._Harcht-Bsk1	32
GCA_000495475.1_Archaea_Halobacteriota_Candidatus_Halobonum_tyrrellensis_G22	32
GCA_000517625.1_Archaea_Halobacteriota_Halostagnicola_larsenii_XH-48	32
GCA_000591035.1_Archaea_Thermoproteota_Aeropyrum_camini_SY1___JCM_12091	44
GCA_000591055.1_Archaea_Halobacteriota_Natronomonas_moolapensis_8.8.11	32
GCA_000632495.1_Archaea_Thermoproteota_Candidatus_Acidianus_copahuensis	36
GCA_000685635.1_Archaea_Halobacteriota_Haloferax_mediterranei_ATCC_33500	32
GCA_000698785.1_Archaea_Thermoproteota_Nitrososphaera_viennensis_EN76	33
GCA_000725425.1_Archaea_Methanobacteriota_B_Palaeococcus_pacificus_DY20341	33
GCA_000734035.1_Archaea_Halobacteriota_Archaeoglobus_fulgidus_DSM_8774	32
GCA_000737315.1_Bacteria_Myxococcota_Hyalangium_minutum	1
GCA_000760695.4_Bacteria_Cyanobacteriota_Tolypothrix_bouteillei_VB521301	4
GCA_000765475.1_Archaea_Halobacteriota_Methanococcoides_methylutens	32
GCA_000769655.1_Archaea_Methanobacteriota_B_Thermococcus_eurythermalis	33
GCA_000828075.3_Bacteria_Cyanobacteriota_Tolypothrix_campylonemoides_VB511288	10
GCA_000828085.3_Bacteria_Cyanobacteriota_Scytonema_tolypothrichoides_VB-61278	4
GCA_000979205.1_Archaea_Halobacteriota_Methanosarcina_mazei	32
GCA_000993805.1_Archaea_Thermoproteota_Infirmifilum_uzonense	33
GCA_001006045.1_Archaea_Halobacteriota_Geoglobus_ahangari	32
GCA_001017125.1_Archaea_Halobacteriota_Methanoculleus_sediminis	32
GCA_001022135.1_Bacteria_Pseudomonadota_Phytobacter_ursingii	1
GCA_001275395.1_Bacteria_Cyanobacteriota_Hapalosiphon_sp._MRB220	5
GCA_001280425.1_Archaea_Halobacteriota_Haloarcula_rubripromontorii	32
GCA_001304615.2_Archaea_Halobacteriota_Methanosarcina_flavescens	32
GCA_001305655.1_Archaea_Halobacteriota_Halanaeroarchaeum_sulfurireducens	32
GCA_001433455.1_Archaea_Methanobacteriota_B_Thermococcus_barophilus	33
GCA_001481685.1_Archaea_Thermoproteota_Ignicoccus_islandicus_DSM_13165	36
GCA_001625445.1_Archaea_Halobacteriota_Haladaptatus_sp._R4	32
GCA_001639275.1_Archaea_Methanobacteriota_Methanobrevibacter_oralis	37
GCA_001647085.1_Archaea_Methanobacteriota_B_Thermococcus_piezophilus	33
GCA_001742225.1_Bacteria_Pseudomonadota_Novosphingobium_resinovorum	1
GCA_001886955.1_Archaea_Halobacteriota_Halodesulfurarchaeum_formicicum	32
GCA_001904715.1_Bacteria_Cyanobacteriota_Nostoc_calcicola_FACHB-389	4
GCA_001904725.1_Bacteria_Cyanobacteriota_Phormidium_ambiguum_IAM_M-71	3
GCA_001989615.1_Archaea_Halobacteriota_Halorientalis_sp._IM1011	32
GCA_002025255.2_Archaea_Halobacteriota_Halolamina_sp._CBA1230	32
GCA_002072215.1_Archaea_Methanobacteriota_Methanobrevibacter_arboriphilus_JCM_13429___DSM_1125	37
GCA_002073995.1_Bacteria_Pseudomonadota_Vibrio_coralliilyticus	1
GCA_002095535.1_Bacteria_Pseudomonadota_Pantoea_cypripedii	1
GCA_002116695.1_Archaea_Thermoproteota_Acidianus_manzaensis	36
GCA_002156705.1_Archaea_Halobacteriota_Natrarchaeobaculum_aegyptiacum	32
GCA_002177135.1_Archaea_Halobacteriota_Natronolimnobius_baerhuensis	32
GCA_002194565.1_Archaea_Thermoproteota_Pyrodictium_delaneyi	34
GCA_002214365.1_Archaea_Methanobacteriota_B_Thermococcus_celer_Vu_13___JCM_8558	33
GCA_002214385.1_Archaea_Methanobacteriota_B_Thermococcus_gorgonarius	33
GCA_002214485.1_Archaea_Methanobacteriota_B_Thermococcus_pacificus	33
GCA_002214505.1_Archaea_Methanobacteriota_B_Thermococcus_siculi	33
GCA_002214565.1_Archaea_Methanobacteriota_B_Thermococcus_radiotolerans	33
GCA_002214585.1_Archaea_Methanobacteriota_B_Thermococcus_profundus	33
GCA_002220235.1_Eukaryote_Bathycoccus_prasinos	31
GCA_002289455.1_Bacteria_Cyanobacteriota_Calothrix_elsteri_CCALA_953	4
GCA_002305875.1_Bacteria_Myxococcota_Cystobacter_fuscus	1
GCA_002367995.1_Bacteria_Cyanobacteriota_Calothrix_brevissima_NIES-22	4
GCA_002368015.1_Bacteria_Cyanobacteriota_Trichormus_variabilis_NIES-23	4
GCA_002368095.1_Bacteria_Cyanobacteriota_Calothrix_parasitica_NIES-267	4
GCA_002646595.1_Bacteria_Bacteroidota_Flavilitoribacter_nigricans_DSM_23189___NBRC_102662	2
GCA_002692925.1_Bacteria_Pseudomonadota_Hyphomonas_sp.	1
GCA_002727185.1_Bacteria_Planctomycetota_Rhodopirellula_bahusiensis	1
GCA_002788215.1_Archaea_Halobacteriota_Halohasta_litchfieldiae	32
GCA_002906575.1_Archaea_Halobacteriota_Salinigranum_rubrum	32
GCA_002952775.1_Archaea_Halobacteriota_Halalkaliarchaeum_desulfuricum	32
GCA_003003795.1_Bacteria_Cyanobacteriota_Stenomitos_frigidus_ULC18	4
GCA_003058365.1_Archaea_Halobacteriota_Halococcoides_cellulosivorans	32
GCA_003111625.1_Archaea_Methanobacteriota_Methanobrevibacter_thaueri	37
GCA_003173335.1_Archaea_Halobacteriota_Methanospirillum_stamsii	32
GCA_003173355.1_Archaea_Halobacteriota_Methanospirillum_lacunae	32
GCA_003201675.2_Archaea_Thermoproteota_Metallosphaera_hakonensis_JCM_8857___DSM_7519	35
GCA_003201765.2_Archaea_Thermoproteota_Acidianus_sulfidivorans_JP7	36
GCA_003201835.2_Archaea_Thermoproteota_Acidianus_brierleyi	36
GCA_003205235.1_Archaea_Thermoplasmatota_Thermoplasma_sp._Kam2015	31
GCA_003290485.1_Eukaryote_Malassezia_restricta	26
GCA_003330725.1_Bacteria_Acidobacteriota_Acidisarcina_polymorpha	3
GCA_003336245.1_Archaea_Halobacteriota_Haloplanus_salinus	32
GCA_003342675.1_Archaea_Halobacteriota_Haloplanus_rubicundus	32
GCA_003351865.1_Archaea_Methanobacteriota_A_Methanofervidicoccus_sp._A16	34
GCA_003576455.2_Bacteria_Bacteroidota_Mucilaginibacter_celer	1
GCA_003605575.1_Archaea_Halobacteriota_Halonotius_aquaticus	32
GCA_003605635.1_Archaea_Halobacteriota_Halonotius_pteroides	32
GCA_003633755.1_Bacteria_Actinomycetota_Solirubrobacter_pauli	1
GCA_003688715.1_Archaea_Halobacteriota_Haloplanus_aerogenes	32
GCA_003721175.2_Archaea_Halobacteriota_Halarchaeum_sp._CBA1220	32
GCA_003838195.1_Bacteria_Cyanobacteriota_Okeania_hirsuta	2
GCA_003841465.1_Archaea_Halobacteriota_Natrarchaeobius_chitinivorans	32
GCA_003841485.1_Archaea_Halobacteriota_Natrarchaeobius_halalkaliphilus	32
GCA_003991895.1_Bacteria_Cyanobacteriota_Chroococcidiopsis_cubana_SAG_39.79	2
GCA_003991905.1_Bacteria_Cyanobacteriota_Dulcicalothrix_desertica_PCC_7102	5
GCA_004011695.2_Eukaryote_Ascochyta_rabiei	26
GCA_004102725.1_Archaea_Halobacteriota_Methanoculleus_taiwanensis	32
GCA_004118325.1_Archaea_Halobacteriota_Halorientalis_pallida	32
GCA_004297185.1_Archaea_Halobacteriota_Methanofollis_fontis	32
GCA_004310395.1_Archaea_Methanobacteriota_A_Methanofervidicoccus_abyssi	34
GCA_004745425.1_Archaea_Halobacteriota_Methanolobus_halotolerans	32
GCA_004799665.1_Archaea_Halobacteriota_Halapricum_salinum	32
GCA_005144635.2_Bacteria_Myxococcota_Polyangium_aurulentum	1
GCA_005239135.1_Archaea_Halobacteriota_Natronomonas_salsuginis	32
GCA_005576615.1_Archaea_Halobacteriota_Natrinema_versiforme	32
GCA_007421925.1_Archaea_Halobacteriota_Haloglomus_irregulare	32
GCA_007741535.1_Bacteria_Planctomycetota_Rubripirellula_lacrimiformis	1
GCA_007744675.1_Bacteria_Planctomycetota_Gimesia_alba	5
GCA_007746795.1_Bacteria_Planctomycetota_Gimesia_algae	4
GCA_007747995.1_Bacteria_Planctomycetota_Symmachiella_dynata	7
GCA_007751035.1_Bacteria_Planctomycetota_Lignipirellula_cremea	2
GCA_007751945.1_Bacteria_Planctomycetota_Gimesia_panareensis	4
GCA_007754155.1_Bacteria_Planctomycetota_Stieleria_neptunia	1
GCA_007826885.1_Archaea_Thermoproteota_Candidatus_Nitrosocosmicus_arcticus	33
GCA_007833275.1_Archaea_Halobacteriota_Salarchaeum_sp._JOR-1	32
GCA_007860045.1_Bacteria_Planctomycetota_Stieleria_varia	1
GCA_007860125.1_Bacteria_Planctomycetota_Rubripirellula_tenax	1
GCA_007860135.1_Bacteria_Planctomycetota_Novipirellula_artificiosorum	1
GCA_007860175.1_Bacteria_Planctomycetota_Rubripirellula_reticaptiva	1
GCA_008122205.1_Archaea_Halobacteriota_Natronococcus_pandeyae	32
GCA_008682415.1_Bacteria_Acidobacteriota_Acidobacteria_bacterium_AB60	8
GCA_009184545.1_Archaea_Halobacteriota_Halosegnis_rubeus	32
GCA_009392895.1_Archaea_Halobacteriota_Natronorubrum_aibiense	32
GCA_009689005.1_Bacteria_Desulfobacterota_Desulfosarcina_ovata_subsp._ovata	1
GCA_009720545.1_Bacteria_Planctomycetota_Gimesia_maris	4
GCA_009729035.1_Archaea_Thermoproteota_Stygiolobus_azoricus	36
GCA_009729515.1_Archaea_Thermoproteota_Sulfolobus_metallicus_DSM_6482___JCM_9184	36
GCA_009741925.1_Archaea_Halobacteriota_Natronomonas_sp._CBA1123	32
GCA_009762275.1_Archaea_Halobacteriota_Haloplanus_rallus	32
GCA_009791395.1_Archaea_Halobacteriota_Halomarina_oriensis	32
GCA_009831575.1_Archaea_Halobacteriota_Halovenus_sp._WSH3	32
GCA_009831625.1_Archaea_Halobacteriota_Halobaculum_sp._WSA2	32
GCA_009834785.1_Archaea_Halobacteriota_Natronorubrum_sp._JWXQ-INN-674	32
GCA_011046735.1_Bacteria_Pseudomonadota_Nordella_sp._HKS_07	1
GCA_011440285.1_Archaea_Halobacteriota_Halostella_sp._JP-L12	32
GCA_011440375.1_Archaea_Halobacteriota_Halorubellus_sp._JP-L1	32
GCA_012912125.1_Bacteria_Cyanobacteriota_Brasilonema_octagenarum_UFV-OR1	4
GCA_013179805.1_Bacteria_Cyanobacteriota_Microcoleus_sp._IPMA8	2
GCA_013343295.1_Archaea_Thermoproteota_Metallosphaera_tengchongensis	35
GCA_013388255.1_Archaea_Halobacteriota_Methanolobus_zinderi	32
GCA_013391085.1_Archaea_Halobacteriota_Natronomonas_halophila	32
GCA_013391105.1_Archaea_Halobacteriota_Natronomonas_salina	32
