Name,Sequence Length
AAM04679.1,1
ABC28110.1,151
ABD40543.1,7
ABE52097.1,1
ABG98415.1,14
ABL77692.1,4
ABL87877.1,1
ABM81398.1,1
ABN06549.1,13
ABN69907.1,1
ABO09510.1,1
ABX03124.1,98
ACB40882.1,1
ACC70912.1,146
ACD66210.1,10
ACL59483.1,188
ACN99504.1,10
ACO04570.1,13
ACP48038.1,1
ACU58150.1,69
ACU76573.1,4
ACV10965.1,1
ACY16354.1,169
ADB32003.1,9
ADB37264.1,67
ADB58042.1,1
ADB59256.1,1
ADC64928.1,1
ADC89802.1,8
ADD08896.1,1
ADD41126.1,23
ADE36061.1,1
ADG91663.1,1
ADI32746.1,1
ADI63085.1,50
ADI73678.1,1
ADJ16276.1,1
ADM28047.1,1
ADN17257.1,21
ADN36485.1,13
ADO44433.1,8
ADP77447.1,1
ADP79173.1,58
ADU97644.1,16
ADV65656.1,1
ADY02259.1,7
ADY72697.1,13
AEA13297.1,1
AEA26822.1,22
AEC51046.1,1
AEE93630.1,1
AEF19974.1,8
AEG17281.1,1
AEG47259.1,8
AEH24083.1,1
AEH36365.1,1
AEH60378.1,1
AEI49393.1,67
AEN04702.1,1
AET33574.1,1
AFA40567.1,1
AFH42588.1,1
AFK50946.1,1
AFM16829.1,27
AFN04342.1,1
AFV23220.1,1
AFY85183.1,45
AFY96275.1,38
AFZ19175.1,52
AFZ27123.1,50
AFZ58280.1,50
AFZ71204.1,1
AFZ72427.1,1
AGB02082.1,16
AGB15103.1,1
AGB33392.1,1
AGB36081.1,1
AGB50099.1,1
AGC43677.1,189
AGI74349.1,188
AGK60717.1,1
AGN02649.1,1
AGP54664.1,6
AGS72146.1,8
AGW91032.1,146
AGZ45453.1,14
AHF98362.1,1
AHZ22513.1,1
AIC15586.1,16
AIF68968.1,1
AIG98886.1,1
AIJ22536.1,16
AIQ59186.1,23
AIU70018.1,1
AJP04092.1,4
AKG38014.1,14
AKL14971.1,152
AKQ68020.1,189
ALG12950.1,18
ALG81404.1,1
ALI36134.1,12
ALM74268.1,1
ALU12002.1,1
AMK24078.1,174
AMN38574.1,189
AMW13204.1,8
