gtdb_genome_representative,accession,ncbi_genbank_assembly_accession,gtdb_taxonomy,gtdb_superkingdom,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,ncbi_taxonomy,ncbi_taxonomy_unfiltered,ncbi_organism_name,ncbi_species_taxid,ncbi_assembly_level,genome_size,gc_count,gc_percentage,ncbi_protein_count,checkm_completeness,checkm_contamination,checkm2_completeness,checkm2_contamination,checkm_marker_count,checkm_marker_set_count,checkm_strain_heterogeneity,contig_count
GCF_000196895.1,RS_GCF_000485535.1,GCA_000485535.1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halalkalicoccaceae;g__Halalkalicoccus;s__Halalkalicoccus jeotgali,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halalkalicoccaceae,Halalkalicoccus,Halalkalicoccus jeotgali,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halalkalicoccus;s__Halalkalicoccus jeotgali,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halalkalicoccus;s__Halalkalicoccus jeotgali;x__Halalkalicoccus jeotgali B3,Halalkalicoccus jeotgali B3,413810,Scaffold,3637498,2278221,62.6317117747193,3723,99.84,0.43,98.72,0.11,359,235,100,36
GCF_000008645.1,RS_GCF_003385755.1,GCA_003385755.1,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteraceae;g__Methanothermobacter;s__Methanothermobacter thermautotrophicus,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanothermobacteraceae,Methanothermobacter,Methanothermobacter thermautotrophicus,d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter defluvii,d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter defluvii,Methanothermobacter defluvii,49339,Scaffold,1709557,846102,49.4980589271799,none,100,0.25,99.99,0.09,188,125,25,7
GCF_000328665.1,RS_GCF_000328665.1,GCA_000328665.1,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans hollandica,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Methanomethylovorans hollandica,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans hollandica,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans hollandica;x__Methanomethylovorans hollandica DSM 15978,Methanomethylovorans hollandica DSM 15978,101192,Complete Genome,2714013,1136277,41.8670433782005,2574,99.84,0.33,99.99,0.31,228,153,0,2
GCA_030549835.1,GB_GCA_038832395.1,GCA_038832395.1,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__DSZV01;s__DSZV01 sp030549835,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,DSZV01,DSZV01 sp030549835,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Acidilobales;f__Acidilobaceae;g__;s__,d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Acidilobales;f__Acidilobaceae;x__unclassified Acidilobaceae;s__Acidilobaceae archaeon,Acidilobaceae archaeon,2933264,Scaffold,1416998,548836,38.7455401076163,none,99.05,1.27,96.89,0.18,245,158,0,26
GCF_002508705.1,GB_GCA_036773885.1,GCA_036773885.1,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus sp002508705,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanoculleaceae,Methanoculleus,Methanoculleus sp002508705,d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__,d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;s__Euryarchaeota archaeon,Euryarchaeota archaeon,2026739,Scaffold,2598510,1579415,60.8330669296039,none,96.57,0.65,99.07,2.18,234,153,0,125
GCF_900110215.1,RS_GCF_900110215.1,GCA_900110215.1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorientalis;s__Halorientalis persica,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halorientalis,Halorientalis persica,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorientalis;s__Halorientalis persicus,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorientalis;s__Halorientalis persicus,Halorientalis persicus,1367881,Scaffold,4869758,3090182,63.4567127498179,4911,99.93,1.7,100,4.1,359,235,0,122
GCF_002945325.1,RS_GCF_000828555.1,GCA_000828555.1,d__Archaea;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis,d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis,d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis;x__Methanococcus maripaludis OS7,Methanococcus maripaludis OS7,39152,Complete Genome,1749749,576248,32.9331807019178,none,99.52,0.95,99.87,0.91,308,210,50,1
GCA_001560915.1,GB_GCA_001560915.1,GCA_001560915.1,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp001560915,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanomethylophilus,Methanomethylophilus sp001560915,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__;f__;g__;s__,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;x__unclassified Thermoplasmata;s__methanogenic archaeon ISO4-H5,methanogenic archaeon ISO4-H5,1495144,Complete Genome,1937883,1046533,54.0039310938793,none,97.18,1.61,99.9,0.35,187,124,50,1
GCF_000970205.1,GB_GCA_030539765.1,GCA_030539765.1,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei,Methanosarcina mazei,2209,Scaffold,3767682,1578401,41.8984298185818,none,100,0.65,99.95,0.93,228,153,0,158
GCA_018396635.1,GB_GCA_038841275.1,GCA_038841275.1,d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__DTEX01;g__DTEX01;s__DTEX01 sp018396635,Archaea,Thermoproteota,Bathyarchaeia,Bathyarchaeales,DTEX01,DTEX01,DTEX01 sp018396635,d__Archaea;p__Candidatus Bathyarchaeota;c__Candidatus Bathyarchaeia;o__;f__;g__;s__,d__Archaea;x__TACK group;p__Candidatus Bathyarchaeota;c__Candidatus Bathyarchaeia;x__unclassified Candidatus Bathyarchaeia;s__Candidatus Bathyarchaeia archaeon,Candidatus Bathyarchaeia archaeon,3045160,Scaffold,1358517,606336,44.6417935172744,none,98.13,3.74,97.49,0.45,149,107,0,28
